,group,variable,month,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,8,59,58,61,66,127
ACHACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,20,22,125,121,145,143,288
ACHOCALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,12,7,46,80,58,87,145
AIQUILE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,18,13,172,175,190,188,378
ALALAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,5,9,9,12,14,26
ALCALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,2,57,57,57,59,116
ALTO BENI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,14,9,76,92,90,101,191
ANCORAIMES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,8,97,81,99,89,188
ANDAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,3,67,62,73,65,138
ANTEQUERA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,2,30,20,31,22,53
ANZALDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,10,28,36,35,46,81
APOLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,7,106,126,117,133,250
ARAMPAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,3,26,37,30,40,70
ARANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,1,69,54,70,55,125
