,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,2,22,16,25,18,43
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,11,8,26,25,37,33,70
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,62,67,63,68,131
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,7,5,54,58,61,63,124
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,13,6,13,6,19
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,9,16,9,16,25
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,0,3,0,3,3
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,6,6,14,13,20,19,39
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,8,7,8,8,16
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,2,14,14,14,16,30
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,4,16,21,20,25,45
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,4,21,20,22,24,46
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,10,4,10,4,14
