,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,4,5,12,11,16,16,32
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,13,5,138,125,151,130,281
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,14,18,74,73,88,91,179
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,16,16,195,185,211,201,412
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,3,1,15,10,18,11,29
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,4,2,15,11,19,13,32
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,7,6,55,69,62,75,137
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,5,2,60,66,65,68,133
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,1,0,30,40,31,40,71
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,2,0,16,23,18,23,41
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,1,0,3,3,4,3,7
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,15,7,139,116,154,123,277
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2016-01-01,0,0,9,10,9,10,19
