,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos  de 1 a 4 anos,2015-01-01,56,70,0,1,56,71,127
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2015-01-01,178,156,122,108,300,264,564
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2015-01-01,61,48,27,33,88,81,169
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2015-01-01,183,177,13,9,196,186,382
ALALAY,consulta externa,ninos  de 1 a 4 anos,2015-01-01,14,11,6,2,20,13,33
ALCALA,consulta externa,ninos  de 1 a 4 anos,2015-01-01,62,54,0,2,62,56,118
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2015-01-01,328,242,3,1,331,243,574
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2015-01-01,48,49,4,4,52,53,105
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2015-01-01,36,27,4,1,40,28,68
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2015-01-01,33,21,13,2,46,23,69
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2015-01-01,40,33,16,6,56,39,95
APOLO,consulta externa,ninos  de 1 a 4 anos,2015-01-01,193,172,80,57,273,229,502
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2015-01-01,71,53,1,1,72,54,126
ARANI,consulta externa,ninos  de 1 a 4 anos,2015-01-01,77,52,8,3,85,55,140
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2015-01-01,171,152,42,22,213,174,387
ARQUE,consulta externa,ninos  de 1 a 4 anos,2015-01-01,150,144,6,3,156,147,303
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2015-01-01,453,574,6,8,459,582,1041
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2015-01-01,171,155,18,12,189,167,356
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2015-01-01,34,33,0,0,34,33,67
AYATA,consulta externa,ninos  de 1 a 4 anos,2015-01-01,83,60,5,3,88,63,151
