municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
ACACIO,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,2,2
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,19,19
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,33,33
APOLO,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,11,11
ARQUE,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,29,29
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,22,22
AZURDUY,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,10,10
BAURES,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,5,5
BELLA FLOR,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,1,1
BERMEJO,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,46,46
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,2,2
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,6,6
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,25,25
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,3,3
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,22,22
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,19,19
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,13,13
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,9,9
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,63,63
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,8,8
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,34,34
CHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,2,2
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,14,14
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,31,31
CHUMA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,2,2
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,9,9
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,14,14
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,132,132
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,1119,1119
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,48,48
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,4,4
COLQUECHACA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,20,20
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,28,28
COROICO,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,20,20
COTAGAITA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,2,2
COTOCA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,64,64
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,14,14
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,1244,1244
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,8,8
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,97,97
EL VILLAR,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,10,10
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2019-01-01,10,10
