municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2019-01-01,1,1
AIQUILE,atencion de partos en servicios,cesareas,2019-01-01,11,11
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2019-01-01,21,21
ATOCHA,atencion de partos en servicios,cesareas,2019-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2019-01-01,4,4
BERMEJO,atencion de partos en servicios,cesareas,2019-01-01,28,28
CAMARGO,atencion de partos en servicios,cesareas,2019-01-01,9,9
CAMIRI,atencion de partos en servicios,cesareas,2019-01-01,57,57
CARANAVI,atencion de partos en servicios,cesareas,2019-01-01,27,27
CHALLAPATA,atencion de partos en servicios,cesareas,2019-01-01,8,8
CHARAGUA,atencion de partos en servicios,cesareas,2019-01-01,11,11
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2019-01-01,6,6
CLIZA,atencion de partos en servicios,cesareas,2019-01-01,3,3
COBIJA,atencion de partos en servicios,cesareas,2019-01-01,85,85
COCHABAMBA,atencion de partos en servicios,cesareas,2019-01-01,936,936
COLCAPIRHUA,atencion de partos en servicios,cesareas,2019-01-01,15,15
COMARAPA,atencion de partos en servicios,cesareas,2019-01-01,12,12
COROICO,atencion de partos en servicios,cesareas,2019-01-01,5,5
COTOCA,atencion de partos en servicios,cesareas,2019-01-01,10,10
CUATRO CAÑADAS,atencion de partos en servicios,cesareas,2019-01-01,1,1
EL ALTO,atencion de partos en servicios,cesareas,2019-01-01,384,384
EL TORNO,atencion de partos en servicios,cesareas,2019-01-01,51,51
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2019-01-01,6,6
ESCOMA,atencion de partos en servicios,cesareas,2019-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2019-01-01,54,54
HUANUNI,atencion de partos en servicios,cesareas,2019-01-01,15,15
LA PAZ,atencion de partos en servicios,cesareas,2019-01-01,707,707
LLALLAGUA,atencion de partos en servicios,cesareas,2019-01-01,21,21
MAGDALENA,atencion de partos en servicios,cesareas,2019-01-01,7,7
MAIRANA,atencion de partos en servicios,cesareas,2019-01-01,13,13
MIZQUE,atencion de partos en servicios,cesareas,2019-01-01,4,4
MONTEAGUDO,atencion de partos en servicios,cesareas,2019-01-01,13,13
MONTERO,atencion de partos en servicios,cesareas,2019-01-01,205,205
ORURO,atencion de partos en servicios,cesareas,2019-01-01,338,338
PADILLA,atencion de partos en servicios,cesareas,2019-01-01,4,4
PAILON,atencion de partos en servicios,cesareas,2019-01-01,3,3
PATACAMAYA,atencion de partos en servicios,cesareas,2019-01-01,4,4
