municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicios,vaginales,2019-01-01,2,2
ACHACACHI,atencion de partos en servicios,vaginales,2019-01-01,17,17
ACHOCALLA,atencion de partos en servicios,vaginales,2019-01-01,3,3
AIQUILE,atencion de partos en servicios,vaginales,2019-01-01,23,23
ALCALA,atencion de partos en servicios,vaginales,2019-01-01,1,1
ALTO BENI,atencion de partos en servicios,vaginales,2019-01-01,8,8
ANCORAIMES,atencion de partos en servicios,vaginales,2019-01-01,1,1
ANDAMARCA,atencion de partos en servicios,vaginales,2019-01-01,1,1
ANZALDO,atencion de partos en servicios,vaginales,2019-01-01,3,3
APOLO,atencion de partos en servicios,vaginales,2019-01-01,11,11
ARANI,atencion de partos en servicios,vaginales,2019-01-01,4,4
ARBIETO,atencion de partos en servicios,vaginales,2019-01-01,2,2
ARQUE,atencion de partos en servicios,vaginales,2019-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2019-01-01,29,29
ATOCHA,atencion de partos en servicios,vaginales,2019-01-01,6,6
AYO AYO,atencion de partos en servicios,vaginales,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2019-01-01,19,19
AZURDUY,atencion de partos en servicios,vaginales,2019-01-01,16,16
BATALLAS,atencion de partos en servicios,vaginales,2019-01-01,3,3
BAURES,atencion de partos en servicios,vaginales,2019-01-01,6,6
BELEN DE ANDAMARCA,atencion de partos en servicios,vaginales,2019-01-01,1,1
BELLA FLOR,atencion de partos en servicios,vaginales,2019-01-01,1,1
BERMEJO,atencion de partos en servicios,vaginales,2019-01-01,26,26
BETANZOS,atencion de partos en servicios,vaginales,2019-01-01,20,20
BOYUIBE,atencion de partos en servicios,vaginales,2019-01-01,3,3
BUENA VISTA,atencion de partos en servicios,vaginales,2019-01-01,6,6
CABEZAS,atencion de partos en servicios,vaginales,2019-01-01,25,25
CAIROMA,atencion de partos en servicios,vaginales,2019-01-01,5,5
"CAIZA ""D""",atencion de partos en servicios,vaginales,2019-01-01,4,4
CAJUATA,atencion de partos en servicios,vaginales,2019-01-01,13,13
CALAMARCA,atencion de partos en servicios,vaginales,2019-01-01,3,3
CAMARGO,atencion de partos en servicios,vaginales,2019-01-01,15,15
CAMIRI,atencion de partos en servicios,vaginales,2019-01-01,29,29
CAPINOTA,atencion de partos en servicios,vaginales,2019-01-01,13,13
CAQUIAVIRI,atencion de partos en servicios,vaginales,2019-01-01,3,3
CARACOLLO,atencion de partos en servicios,vaginales,2019-01-01,10,10
CARANAVI,atencion de partos en servicios,vaginales,2019-01-01,50,50
CARAPARI,atencion de partos en servicios,vaginales,2019-01-01,13,13
CARIPUYO,atencion de partos en servicios,vaginales,2019-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2019-01-01,8,8
CHALLAPATA,atencion de partos en servicios,vaginales,2019-01-01,28,28
CHAQUI,atencion de partos en servicios,vaginales,2019-01-01,2,2
CHARAGUA,atencion de partos en servicios,vaginales,2019-01-01,24,24
CHAYANTA,atencion de partos en servicios,vaginales,2019-01-01,6,6
CHIMORE,atencion de partos en servicios,vaginales,2019-01-01,16,16
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2019-01-01,25,25
CHUMA,atencion de partos en servicios,vaginales,2019-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2019-01-01,2,2
CKOCHAS,atencion de partos en servicios,vaginales,2019-01-01,11,11
CLIZA,atencion de partos en servicios,vaginales,2019-01-01,11,11
COBIJA,atencion de partos en servicios,vaginales,2019-01-01,61,61
COCAPATA,atencion de partos en servicios,vaginales,2019-01-01,8,8
COCHABAMBA,atencion de partos en servicios,vaginales,2019-01-01,822,822
COLCAPIRHUA,atencion de partos en servicios,vaginales,2019-01-01,33,33
"COLCHA ""K""",atencion de partos en servicios,vaginales,2019-01-01,4,4
COLLANA,atencion de partos en servicios,vaginales,2019-01-01,1,1
COLOMI,atencion de partos en servicios,vaginales,2019-01-01,18,18
COLPA BELGICA,atencion de partos en servicios,vaginales,2019-01-01,3,3
COLQUECHACA,atencion de partos en servicios,vaginales,2019-01-01,22,22
COLQUENCHA,atencion de partos en servicios,vaginales,2019-01-01,3,3
COLQUIRI,atencion de partos en servicios,vaginales,2019-01-01,3,3
COMARAPA,atencion de partos en servicios,vaginales,2019-01-01,16,16
CONCEPCION,atencion de partos en servicios,vaginales,2019-01-01,26,26
COPACABANA,atencion de partos en servicios,vaginales,2019-01-01,13,13
CORIPATA,atencion de partos en servicios,vaginales,2019-01-01,5,5
CORO CORO,atencion de partos en servicios,vaginales,2019-01-01,1,1
COROICO,atencion de partos en servicios,vaginales,2019-01-01,19,19
CORQUE,atencion de partos en servicios,vaginales,2019-01-01,3,3
COTAGAITA,atencion de partos en servicios,vaginales,2019-01-01,8,8
COTOCA,atencion de partos en servicios,vaginales,2019-01-01,54,54
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2019-01-01,13,13
CULPINA,atencion de partos en servicios,vaginales,2019-01-01,16,16
CURAHUARA DE CARANGAS,atencion de partos en servicios,vaginales,2019-01-01,2,2
DESAGUADERO,atencion de partos en servicios,vaginales,2019-01-01,7,7
EL ALTO,atencion de partos en servicios,vaginales,2019-01-01,991,991
EL PUENTE(STC),atencion de partos en servicios,vaginales,2019-01-01,8,8
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2019-01-01,6,6
EL TORNO,atencion de partos en servicios,vaginales,2019-01-01,47,47
EL VILLAR,atencion de partos en servicios,vaginales,2019-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2019-01-01,8,8
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2019-01-01,27,27
ESCOMA,atencion de partos en servicios,vaginales,2019-01-01,5,5
EUCALIPTUS,atencion de partos en servicios,vaginales,2019-01-01,2,2
EXALTACION,atencion de partos en servicios,vaginales,2019-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,vaginales,2019-01-01,7,7
FILADELFIA,atencion de partos en servicios,vaginales,2019-01-01,4,4
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2019-01-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,vaginales,2019-01-01,2,2
GUANAY,atencion de partos en servicios,vaginales,2019-01-01,12,12
GUAQUI,atencion de partos en servicios,vaginales,2019-01-01,4,4
GUAYARAMERIN,atencion de partos en servicios,vaginales,2019-01-01,43,43
GUTIERREZ,atencion de partos en servicios,vaginales,2019-01-01,5,5
HUACARETA,atencion de partos en servicios,vaginales,2019-01-01,7,7
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,vaginales,2019-01-01,3,3
HUACHACALLA,atencion de partos en servicios,vaginales,2019-01-01,1,1
HUANUNI,atencion de partos en servicios,vaginales,2019-01-01,7,7
HUARACAJE,atencion de partos en servicios,vaginales,2019-01-01,2,2
HUARINA,atencion de partos en servicios,vaginales,2019-01-01,2,2
HUATAJATA,atencion de partos en servicios,vaginales,2019-01-01,2,2
HUAYLLAMARCA,atencion de partos en servicios,vaginales,2019-01-01,2,2
ICHOCA,atencion de partos en servicios,vaginales,2019-01-01,1,1
ICLA,atencion de partos en servicios,vaginales,2019-01-01,2,2
INCAHUASI,atencion de partos en servicios,vaginales,2019-01-01,9,9
INGAVI (HUMAITA),atencion de partos en servicios,vaginales,2019-01-01,2,2
INQUISIVI,atencion de partos en servicios,vaginales,2019-01-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,vaginales,2019-01-01,12,12
IXIAMAS,atencion de partos en servicios,vaginales,2019-01-01,4,4
JESUS DE MACHACA,atencion de partos en servicios,vaginales,2019-01-01,7,7
LA ASUNTA,atencion de partos en servicios,vaginales,2019-01-01,42,42
LA GUARDIA,atencion de partos en servicios,vaginales,2019-01-01,52,52
LA PAZ,atencion de partos en servicios,vaginales,2019-01-01,787,787
LAGUNILLAS,atencion de partos en servicios,vaginales,2019-01-01,3,3
LAJA,atencion de partos en servicios,vaginales,2019-01-01,11,11
LAS CARRERAS,atencion de partos en servicios,vaginales,2019-01-01,3,3
LICOMA PAMPA,atencion de partos en servicios,vaginales,2019-01-01,1,1
LLALLAGUA,atencion de partos en servicios,vaginales,2019-01-01,53,53
LLICA,atencion de partos en servicios,vaginales,2019-01-01,4,4
LURIBAY,atencion de partos en servicios,vaginales,2019-01-01,6,6
MACHACAMARCA,atencion de partos en servicios,vaginales,2019-01-01,1,1
MAGDALENA,atencion de partos en servicios,vaginales,2019-01-01,8,8
MAIRANA,atencion de partos en servicios,vaginales,2019-01-01,12,12
MAPIRI,atencion de partos en servicios,vaginales,2019-01-01,24,24
MECAPACA,atencion de partos en servicios,vaginales,2019-01-01,4,4
MINEROS,atencion de partos en servicios,vaginales,2019-01-01,10,10
MIZQUE,atencion de partos en servicios,vaginales,2019-01-01,20,20
MOJOCOYA,atencion de partos en servicios,vaginales,2019-01-01,4,4
MONTEAGUDO,atencion de partos en servicios,vaginales,2019-01-01,28,28
MONTERO,atencion de partos en servicios,vaginales,2019-01-01,111,111
MOROCHATA,atencion de partos en servicios,vaginales,2019-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,vaginales,2019-01-01,2,2
OCURI,atencion de partos en servicios,vaginales,2019-01-01,6,6
OKINAWA,atencion de partos en servicios,vaginales,2019-01-01,14,14
OMEREQUE,atencion de partos en servicios,vaginales,2019-01-01,4,4
ORURO,atencion de partos en servicios,vaginales,2019-01-01,330,330
PADCAYA,atencion de partos en servicios,vaginales,2019-01-01,3,3
PADILLA,atencion de partos en servicios,vaginales,2019-01-01,7,7
PAILON,atencion de partos en servicios,vaginales,2019-01-01,42,42
PALCA,atencion de partos en servicios,vaginales,2019-01-01,1,1
PALOS BLANCOS,atencion de partos en servicios,vaginales,2019-01-01,30,30
PAMPA GRANDE,atencion de partos en servicios,vaginales,2019-01-01,2,2
PAPEL PAMPA,atencion de partos en servicios,vaginales,2019-01-01,3,3
PASORAPA,atencion de partos en servicios,vaginales,2019-01-01,1,1
PATACAMAYA,atencion de partos en servicios,vaginales,2019-01-01,32,32
PAZÑA,atencion de partos en servicios,vaginales,2019-01-01,1,1
POCOATA,atencion de partos en servicios,vaginales,2019-01-01,7,7
POCONA,atencion de partos en servicios,vaginales,2019-01-01,7,7
POJO (CBBA),atencion de partos en servicios,vaginales,2019-01-01,15,15
POOPO,atencion de partos en servicios,vaginales,2019-01-01,1,1
PORCO,atencion de partos en servicios,vaginales,2019-01-01,12,12
POROMA,atencion de partos en servicios,vaginales,2019-01-01,10,10
PORONGO,atencion de partos en servicios,vaginales,2019-01-01,3,3
PORTACHUELO,atencion de partos en servicios,vaginales,2019-01-01,12,12
PORVENIR,atencion de partos en servicios,vaginales,2019-01-01,3,3
POSTRER VALLE,atencion de partos en servicios,vaginales,2019-01-01,1,1
POTOSI,atencion de partos en servicios,vaginales,2019-01-01,293,293
PRESTO,atencion de partos en servicios,vaginales,2019-01-01,5,5
PUCARA,atencion de partos en servicios,vaginales,2019-01-01,1,1
PUCARANI,atencion de partos en servicios,vaginales,2019-01-01,10,10
PUERTO ACOSTA,atencion de partos en servicios,vaginales,2019-01-01,2,2
PUERTO CARABUCO,atencion de partos en servicios,vaginales,2019-01-01,2,2
PUERTO GONZALO MORENO,atencion de partos en servicios,vaginales,2019-01-01,4,4
PUERTO QUIJARRO,atencion de partos en servicios,vaginales,2019-01-01,23,23
PUERTO RICO,atencion de partos en servicios,vaginales,2019-01-01,4,4
PUERTO SILES,atencion de partos en servicios,vaginales,2019-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,vaginales,2019-01-01,11,11
PUERTO VILLARROEL,atencion de partos en servicios,vaginales,2019-01-01,125,125
PUNA,atencion de partos en servicios,vaginales,2019-01-01,13,13
PUNATA,atencion de partos en servicios,vaginales,2019-01-01,39,39
QUILLACOLLO,atencion de partos en servicios,vaginales,2019-01-01,152,152
QUIME,atencion de partos en servicios,vaginales,2019-01-01,2,2
RAQAYPAMPA(ETA),atencion de partos en servicios,vaginales,2019-01-01,2,2
RAVELO,atencion de partos en servicios,vaginales,2019-01-01,2,2
REYES,atencion de partos en servicios,vaginales,2019-01-01,19,19
RIBERALTA,atencion de partos en servicios,vaginales,2019-01-01,178,178
ROBORE,atencion de partos en servicios,vaginales,2019-01-01,16,16
RURRENABAQUE,atencion de partos en servicios,vaginales,2019-01-01,27,27
SACABA,atencion de partos en servicios,vaginales,2019-01-01,178,178
SACACA,atencion de partos en servicios,vaginales,2019-01-01,8,8
SAIPINA,atencion de partos en servicios,vaginales,2019-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,vaginales,2019-01-01,4,4
SAMAIPATA,atencion de partos en servicios,vaginales,2019-01-01,4,4
SAN AGUSTIN,atencion de partos en servicios,vaginales,2019-01-01,1,1
SAN ANDRES,atencion de partos en servicios,vaginales,2019-01-01,6,6
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,vaginales,2019-01-01,9,9
SAN BENITO,atencion de partos en servicios,vaginales,2019-01-01,1,1
SAN BORJA,atencion de partos en servicios,vaginales,2019-01-01,49,49
SAN BUENA VENTURA,atencion de partos en servicios,vaginales,2019-01-01,16,16
SAN CARLOS,atencion de partos en servicios,vaginales,2019-01-01,23,23
SAN IGNACIO,atencion de partos en servicios,vaginales,2019-01-01,25,25
SAN IGNACIO DE VELASCO,atencion de partos en servicios,vaginales,2019-01-01,78,78
SAN JAVIER(BNI),atencion de partos en servicios,vaginales,2019-01-01,2,2
SAN JAVIER(STC),atencion de partos en servicios,vaginales,2019-01-01,18,18
SAN JOAQUIN,atencion de partos en servicios,vaginales,2019-01-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,vaginales,2019-01-01,18,18
SAN JUAN DE YAPACANI,atencion de partos en servicios,vaginales,2019-01-01,4,4
SAN JULIAN,atencion de partos en servicios,vaginales,2019-01-01,40,40
SAN LORENZO(PND),atencion de partos en servicios,vaginales,2019-01-01,2,2
SAN LORENZO(TJA),atencion de partos en servicios,vaginales,2019-01-01,4,4
SAN LUCAS,atencion de partos en servicios,vaginales,2019-01-01,22,22
SAN MATIAS,atencion de partos en servicios,vaginales,2019-01-01,18,18
SAN MIGUEL DE VELASCO,atencion de partos en servicios,vaginales,2019-01-01,14,14
SAN PEDRO,atencion de partos en servicios,vaginales,2019-01-01,5,5
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,vaginales,2019-01-01,13,13
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,vaginales,2019-01-01,2,2
SAN PEDRO DE QUEMES,atencion de partos en servicios,vaginales,2019-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,vaginales,2019-01-01,4,4
SAN RAFAEL,atencion de partos en servicios,vaginales,2019-01-01,3,3
SAN RAMON BENI,atencion de partos en servicios,vaginales,2019-01-01,4,4
SAN RAMON SCZ,atencion de partos en servicios,vaginales,2019-01-01,13,13
SANTA ANA,atencion de partos en servicios,vaginales,2019-01-01,10,10
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,vaginales,2019-01-01,1361,1361
SANTA ROSA,atencion de partos en servicios,vaginales,2019-01-01,13,13
SANTA ROSA DEL SARA,atencion de partos en servicios,vaginales,2019-01-01,12,12
SANTIAGO DE HUATA,atencion de partos en servicios,vaginales,2019-01-01,1,1
SANTIVAÑES,atencion de partos en servicios,vaginales,2019-01-01,3,3
SAPAHAQUI,atencion de partos en servicios,vaginales,2019-01-01,2,2
SENA,atencion de partos en servicios,vaginales,2019-01-01,8,8
SHINAOTA,atencion de partos en servicios,vaginales,2019-01-01,19,19
SICA SICA (VILLA AROMA),atencion de partos en servicios,vaginales,2019-01-01,6,6
SIPE SIPE,atencion de partos en servicios,vaginales,2019-01-01,33,33
SOPACHUY,atencion de partos en servicios,vaginales,2019-01-01,7,7
SORACACHI,atencion de partos en servicios,vaginales,2019-01-01,1,1
SORATA,atencion de partos en servicios,vaginales,2019-01-01,9,9
SUCRE,atencion de partos en servicios,vaginales,2019-01-01,255,255
TACACOMA,atencion de partos en servicios,vaginales,2019-01-01,3,3
TACOBAMBA,atencion de partos en servicios,vaginales,2019-01-01,1,1
TACOPAYA,atencion de partos en servicios,vaginales,2019-01-01,2,2
TAPACARI,atencion de partos en servicios,vaginales,2019-01-01,2,2
TARABUCO,atencion de partos en servicios,vaginales,2019-01-01,15,15
TARACO,atencion de partos en servicios,vaginales,2019-01-01,1,1
TARATA,atencion de partos en servicios,vaginales,2019-01-01,11,11
TARIJA,atencion de partos en servicios,vaginales,2019-01-01,223,223
TARVITA,atencion de partos en servicios,vaginales,2019-01-01,7,7
TEOPONTE,atencion de partos en servicios,vaginales,2019-01-01,15,15
TIAHUANACU,atencion de partos en servicios,vaginales,2019-01-01,8,8
TINGUIPAYA,atencion de partos en servicios,vaginales,2019-01-01,2,2
TIPUANI,atencion de partos en servicios,vaginales,2019-01-01,10,10
TIQUIPAYA,atencion de partos en servicios,vaginales,2019-01-01,65,65
TIRAQUE (CBBA),atencion de partos en servicios,vaginales,2019-01-01,18,18
TOCO,atencion de partos en servicios,vaginales,2019-01-01,5,5
TOLATA,atencion de partos en servicios,vaginales,2019-01-01,3,3
TOMAVE,atencion de partos en servicios,vaginales,2019-01-01,5,5
TOMINA,atencion de partos en servicios,vaginales,2019-01-01,14,14
TORO TORO,atencion de partos en servicios,vaginales,2019-01-01,9,9
TOTORA(CBBA),atencion de partos en servicios,vaginales,2019-01-01,17,17
TOTORA(ORR),atencion de partos en servicios,vaginales,2019-01-01,1,1
TRIGAL,atencion de partos en servicios,vaginales,2019-01-01,1,1
TRINIDAD,atencion de partos en servicios,vaginales,2019-01-01,175,175
TUPIZA,atencion de partos en servicios,vaginales,2019-01-01,45,45
TURCO,atencion de partos en servicios,vaginales,2019-01-01,1,1
UNCIA,atencion de partos en servicios,vaginales,2019-01-01,20,20
URIONDO (A. CONCEPCION),atencion de partos en servicios,vaginales,2019-01-01,3,3
URUBICHA,atencion de partos en servicios,vaginales,2019-01-01,4,4
UYUNI,atencion de partos en servicios,vaginales,2019-01-01,39,39
VACAS,atencion de partos en servicios,vaginales,2019-01-01,4,4
VALLEGRANDE,atencion de partos en servicios,vaginales,2019-01-01,14,14
VIACHA,atencion de partos en servicios,vaginales,2019-01-01,44,44
VILA VILA,atencion de partos en servicios,vaginales,2019-01-01,1,1
VILLA CHARCAS,atencion de partos en servicios,vaginales,2019-01-01,8,8
VILLA MONTES,atencion de partos en servicios,vaginales,2019-01-01,47,47
VILLA RIVERO,atencion de partos en servicios,vaginales,2019-01-01,4,4
VILLA SERRANO,atencion de partos en servicios,vaginales,2019-01-01,7,7
VILLA TUNARI,atencion de partos en servicios,vaginales,2019-01-01,76,76
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,vaginales,2019-01-01,5,5
VILLAZON,atencion de partos en servicios,vaginales,2019-01-01,29,29
VINTO,atencion de partos en servicios,vaginales,2019-01-01,39,39
VITICHI,atencion de partos en servicios,vaginales,2019-01-01,6,6
WALDO BALLIVIAN,atencion de partos en servicios,vaginales,2019-01-01,1,1
WARNES,atencion de partos en servicios,vaginales,2019-01-01,89,89
YACO,atencion de partos en servicios,vaginales,2019-01-01,3,3
YACUIBA,atencion de partos en servicios,vaginales,2019-01-01,114,114
YAMPARAEZ,atencion de partos en servicios,vaginales,2019-01-01,5,5
YANACACHI,atencion de partos en servicios,vaginales,2019-01-01,1,1
YAPACANI,atencion de partos en servicios,vaginales,2019-01-01,49,49
YOCALLA,atencion de partos en servicios,vaginales,2019-01-01,3,3
