,group,variable,month,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
APOLO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,0,1,0,1
CABEZAS,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,0,1,0,1
CONCEPCION,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,0,1,0,1
CORIPATA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,0,1,0,1
COTOCA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,0,1,0,1,1
ENTRE RIOS TRJ,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,0,1,0,1
ENTRE RIOS CBBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,5,0,5,0,5
GUAYARAMERIN,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,47,0,47,0,47
LA ASUNTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,0,1,0,1
MONTEAGUDO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,2,1,2,3
PADILLA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,0,1,0,1
PUERTO VILLARROEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,11,3,11,3,14
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,1,1,1,2
ROBORE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,0,1,0,1
SAN ANDRES,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,0,1,0,1,1
SAN BORJA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,3,1,3,4
SAN MIGUEL DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,1,0,1,0,1
SAN RAFAEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,0,1,0,1,1
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-04-01,8,2,8,2,10
CABEZAS,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,1,0,1,0,1
CHIMORE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,1,1,1,1,2
COCHABAMBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,1,1,1,1,2
EL TORNO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,1,0,1,0,1
ENTRE RIOS TRJ,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,1,0,1,0,1
ENTRE RIOS CBBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,3,1,3,1,4
GUAYARAMERIN,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,2,0,2,0,2
HUACARETA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,3,0,3,0,3
IRUPANA (VILLA DE LANZA),accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,2,0,2,0,2
MONTEAGUDO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,4,0,4,0,4
PUERTO VILLARROEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,5,3,5,3,8
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,4,0,4,0,4
SAN IGNACIO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,1,0,1,0,1
