municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones,dias camas ocupadas maternidad,2005-01-01,6,6
ACHACACHI,internaciones,dias camas ocupadas maternidad,2005-01-01,77,77
ACHOCALLA,internaciones,dias camas ocupadas maternidad,2005-01-01,6,6
AIQUILE,internaciones,dias camas ocupadas maternidad,2005-01-01,107,107
ALALAY,internaciones,dias camas ocupadas maternidad,2005-01-01,5,5
ALCALA,internaciones,dias camas ocupadas maternidad,2005-01-01,9,9
ANCORAIMES,internaciones,dias camas ocupadas maternidad,2005-01-01,4,4
ANDAMARCA,internaciones,dias camas ocupadas maternidad,2005-01-01,3,3
ANTEQUERA,internaciones,dias camas ocupadas maternidad,2005-01-01,5,5
APOLO,internaciones,dias camas ocupadas maternidad,2005-01-01,26,26
ARAMPAMPA,internaciones,dias camas ocupadas maternidad,2005-01-01,4,4
ARANI,internaciones,dias camas ocupadas maternidad,2005-01-01,10,10
ARBIETO,internaciones,dias camas ocupadas maternidad,2005-01-01,2,2
ARQUE,internaciones,dias camas ocupadas maternidad,2005-01-01,8,8
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas maternidad,2005-01-01,85,85
ATOCHA,internaciones,dias camas ocupadas maternidad,2005-01-01,98,98
AYATA,internaciones,dias camas ocupadas maternidad,2005-01-01,4,4
AYO AYO,internaciones,dias camas ocupadas maternidad,2005-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas maternidad,2005-01-01,55,55
AZURDUY,internaciones,dias camas ocupadas maternidad,2005-01-01,34,34
BATALLAS,internaciones,dias camas ocupadas maternidad,2005-01-01,12,12
BAURES,internaciones,dias camas ocupadas maternidad,2005-01-01,8,8
BELLA FLOR,internaciones,dias camas ocupadas maternidad,2005-01-01,2,2
BERMEJO,internaciones,dias camas ocupadas maternidad,2005-01-01,130,130
BETANZOS,internaciones,dias camas ocupadas maternidad,2005-01-01,57,57
BOLIVAR,internaciones,dias camas ocupadas maternidad,2005-01-01,6,6
BOYUIBE,internaciones,dias camas ocupadas maternidad,2005-01-01,9,9
BUENA VISTA,internaciones,dias camas ocupadas maternidad,2005-01-01,38,38
CABEZAS,internaciones,dias camas ocupadas maternidad,2005-01-01,75,75
CAIROMA,internaciones,dias camas ocupadas maternidad,2005-01-01,4,4
CAJUATA,internaciones,dias camas ocupadas maternidad,2005-01-01,6,6
CALAMARCA,internaciones,dias camas ocupadas maternidad,2005-01-01,8,8
CAMARGO,internaciones,dias camas ocupadas maternidad,2005-01-01,210,210
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas maternidad,2005-01-01,19,19
CAMIRI,internaciones,dias camas ocupadas maternidad,2005-01-01,215,215
CAPINOTA,internaciones,dias camas ocupadas maternidad,2005-01-01,44,44
CAQUIAVIRI,internaciones,dias camas ocupadas maternidad,2005-01-01,6,6
CARACOLLO,internaciones,dias camas ocupadas maternidad,2005-01-01,24,24
CARANAVI,internaciones,dias camas ocupadas maternidad,2005-01-01,101,101
CARIPUYO,internaciones,dias camas ocupadas maternidad,2005-01-01,2,2
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas maternidad,2005-01-01,12,12
CHALLAPATA,internaciones,dias camas ocupadas maternidad,2005-01-01,41,41
CHARAGUA,internaciones,dias camas ocupadas maternidad,2005-01-01,104,104
CHAYANTA,internaciones,dias camas ocupadas maternidad,2005-01-01,43,43
CHIMORE,internaciones,dias camas ocupadas maternidad,2005-01-01,34,34
CHIPAYA,internaciones,dias camas ocupadas maternidad,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas maternidad,2005-01-01,50,50
CHUMA,internaciones,dias camas ocupadas maternidad,2005-01-01,5,5
CLIZA,internaciones,dias camas ocupadas maternidad,2005-01-01,40,40
COBIJA,internaciones,dias camas ocupadas maternidad,2005-01-01,297,297
COCHABAMBA,internaciones,dias camas ocupadas maternidad,2005-01-01,3448,3448
COIPASA,internaciones,dias camas ocupadas maternidad,2005-01-01,1,1
COLCAPIRHUA,internaciones,dias camas ocupadas maternidad,2005-01-01,43,43
"COLCHA ""K""",internaciones,dias camas ocupadas maternidad,2005-01-01,3,3
COLOMI,internaciones,dias camas ocupadas maternidad,2005-01-01,64,64
