municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones,dias camas disponibles otros servicios,2005-01-01,124,124
ACHACACHI,internaciones,dias camas disponibles otros servicios,2005-01-01,300,300
AIQUILE,internaciones,dias camas disponibles otros servicios,2005-01-01,1302,1302
ALALAY,internaciones,dias camas disponibles otros servicios,2005-01-01,31,31
ALCALA,internaciones,dias camas disponibles otros servicios,2005-01-01,62,62
ANCORAIMES,internaciones,dias camas disponibles otros servicios,2005-01-01,93,93
ANDAMARCA,internaciones,dias camas disponibles otros servicios,2005-01-01,62,62
ANZALDO,internaciones,dias camas disponibles otros servicios,2005-01-01,62,62
APOLO,internaciones,dias camas disponibles otros servicios,2005-01-01,93,93
ARAMPAMPA,internaciones,dias camas disponibles otros servicios,2005-01-01,155,155
ARANI,internaciones,dias camas disponibles otros servicios,2005-01-01,93,93
ARBIETO,internaciones,dias camas disponibles otros servicios,2005-01-01,62,62
ARQUE,internaciones,dias camas disponibles otros servicios,2005-01-01,248,248
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles otros servicios,2005-01-01,837,837
ATOCHA,internaciones,dias camas disponibles otros servicios,2005-01-01,1147,1147
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles otros servicios,2005-01-01,1426,1426
AZURDUY,internaciones,dias camas disponibles otros servicios,2005-01-01,558,558
BATALLAS,internaciones,dias camas disponibles otros servicios,2005-01-01,93,93
BAURES,internaciones,dias camas disponibles otros servicios,2005-01-01,62,62
BERMEJO,internaciones,dias camas disponibles otros servicios,2005-01-01,1495,1495
BETANZOS,internaciones,dias camas disponibles otros servicios,2005-01-01,372,372
BOLIVAR,internaciones,dias camas disponibles otros servicios,2005-01-01,185,185
BOYUIBE,internaciones,dias camas disponibles otros servicios,2005-01-01,341,341
BUENA VISTA,internaciones,dias camas disponibles otros servicios,2005-01-01,558,558
CABEZAS,internaciones,dias camas disponibles otros servicios,2005-01-01,682,682
CAIROMA,internaciones,dias camas disponibles otros servicios,2005-01-01,31,31
CALAMARCA,internaciones,dias camas disponibles otros servicios,2005-01-01,124,124
CAMARGO,internaciones,dias camas disponibles otros servicios,2005-01-01,1029,1029
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas disponibles otros servicios,2005-01-01,124,124
CAMIRI,internaciones,dias camas disponibles otros servicios,2005-01-01,3937,3937
CAPINOTA,internaciones,dias camas disponibles otros servicios,2005-01-01,403,403
CAQUIAVIRI,internaciones,dias camas disponibles otros servicios,2005-01-01,93,93
CARACOLLO,internaciones,dias camas disponibles otros servicios,2005-01-01,124,124
CARANAVI,internaciones,dias camas disponibles otros servicios,2005-01-01,1085,1085
CARIPUYO,internaciones,dias camas disponibles otros servicios,2005-01-01,155,155
CARMEN RIVERO TORREZ,internaciones,dias camas disponibles otros servicios,2005-01-01,30,30
CHALLAPATA,internaciones,dias camas disponibles otros servicios,2005-01-01,496,496
CHAQUI,internaciones,dias camas disponibles otros servicios,2005-01-01,62,62
CHARAGUA,internaciones,dias camas disponibles otros servicios,2005-01-01,1054,1054
CHAYANTA,internaciones,dias camas disponibles otros servicios,2005-01-01,124,124
CHIMORE,internaciones,dias camas disponibles otros servicios,2005-01-01,155,155
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas disponibles otros servicios,2005-01-01,1240,1240
CHUMA,internaciones,dias camas disponibles otros servicios,2005-01-01,186,186
CLIZA,internaciones,dias camas disponibles otros servicios,2005-01-01,184,184
COBIJA,internaciones,dias camas disponibles otros servicios,2005-01-01,1755,1755
COCHABAMBA,internaciones,dias camas disponibles otros servicios,2005-01-01,38285,38285
COLCAPIRHUA,internaciones,dias camas disponibles otros servicios,2005-01-01,1178,1178
"COLCHA ""K""",internaciones,dias camas disponibles otros servicios,2005-01-01,62,62
COLOMI,internaciones,dias camas disponibles otros servicios,2005-01-01,310,310
COLPA BELGICA,internaciones,dias camas disponibles otros servicios,2005-01-01,155,155
COLQUECHACA,internaciones,dias camas disponibles otros servicios,2005-01-01,62,62
COLQUIRI,internaciones,dias camas disponibles otros servicios,2005-01-01,217,217
COMARAPA,internaciones,dias camas disponibles otros servicios,2005-01-01,1023,1023
CONCEPCION,internaciones,dias camas disponibles otros servicios,2005-01-01,372,372
COPACABANA,internaciones,dias camas disponibles otros servicios,2005-01-01,217,217
CORIPATA,internaciones,dias camas disponibles otros servicios,2005-01-01,31,31
CORO CORO,internaciones,dias camas disponibles otros servicios,2005-01-01,248,248
COROICO,internaciones,dias camas disponibles otros servicios,2005-01-01,992,992
