municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones,dias camas disponibles maternidad,2005-01-01,31,31
ACHACACHI,internaciones,dias camas disponibles maternidad,2005-01-01,279,279
ACHOCALLA,internaciones,dias camas disponibles maternidad,2005-01-01,155,155
AIQUILE,internaciones,dias camas disponibles maternidad,2005-01-01,279,279
ALALAY,internaciones,dias camas disponibles maternidad,2005-01-01,93,93
ALCALA,internaciones,dias camas disponibles maternidad,2005-01-01,124,124
ANCORAIMES,internaciones,dias camas disponibles maternidad,2005-01-01,93,93
ANDAMARCA,internaciones,dias camas disponibles maternidad,2005-01-01,121,121
ANTEQUERA,internaciones,dias camas disponibles maternidad,2005-01-01,27,27
ANZALDO,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
APOLO,internaciones,dias camas disponibles maternidad,2005-01-01,93,93
ARAMPAMPA,internaciones,dias camas disponibles maternidad,2005-01-01,31,31
ARANI,internaciones,dias camas disponibles maternidad,2005-01-01,124,124
ARBIETO,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
ARQUE,internaciones,dias camas disponibles maternidad,2005-01-01,186,186
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles maternidad,2005-01-01,248,248
ATOCHA,internaciones,dias camas disponibles maternidad,2005-01-01,341,341
AYATA,internaciones,dias camas disponibles maternidad,2005-01-01,124,124
AYO AYO,internaciones,dias camas disponibles maternidad,2005-01-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles maternidad,2005-01-01,589,589
AZURDUY,internaciones,dias camas disponibles maternidad,2005-01-01,434,434
BATALLAS,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
BAURES,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
BELLA FLOR,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
BERMEJO,internaciones,dias camas disponibles maternidad,2005-01-01,435,435
BETANZOS,internaciones,dias camas disponibles maternidad,2005-01-01,372,372
BOLIVAR,internaciones,dias camas disponibles maternidad,2005-01-01,88,88
BOYUIBE,internaciones,dias camas disponibles maternidad,2005-01-01,217,217
BUENA VISTA,internaciones,dias camas disponibles maternidad,2005-01-01,465,465
CABEZAS,internaciones,dias camas disponibles maternidad,2005-01-01,276,276
CAIROMA,internaciones,dias camas disponibles maternidad,2005-01-01,31,31
"CAIZA ""D""",internaciones,dias camas disponibles maternidad,2005-01-01,155,155
CAJUATA,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
CALAMARCA,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
CAMARGO,internaciones,dias camas disponibles maternidad,2005-01-01,305,305
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas disponibles maternidad,2005-01-01,124,124
CAMIRI,internaciones,dias camas disponibles maternidad,2005-01-01,527,527
CAPINOTA,internaciones,dias camas disponibles maternidad,2005-01-01,279,279
CAQUIAVIRI,internaciones,dias camas disponibles maternidad,2005-01-01,93,93
CARACOLLO,internaciones,dias camas disponibles maternidad,2005-01-01,124,124
CARANAVI,internaciones,dias camas disponibles maternidad,2005-01-01,305,305
CARIPUYO,internaciones,dias camas disponibles maternidad,2005-01-01,31,31
CARMEN RIVERO TORREZ,internaciones,dias camas disponibles maternidad,2005-01-01,30,30
CHALLAPATA,internaciones,dias camas disponibles maternidad,2005-01-01,124,124
CHAQUI,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
CHARAGUA,internaciones,dias camas disponibles maternidad,2005-01-01,186,186
CHAYANTA,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
CHIMORE,internaciones,dias camas disponibles maternidad,2005-01-01,279,279
CHIPAYA,internaciones,dias camas disponibles maternidad,2005-01-01,59,59
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas disponibles maternidad,2005-01-01,155,155
CHUMA,internaciones,dias camas disponibles maternidad,2005-01-01,31,31
CLIZA,internaciones,dias camas disponibles maternidad,2005-01-01,122,122
COBIJA,internaciones,dias camas disponibles maternidad,2005-01-01,680,680
COCHABAMBA,internaciones,dias camas disponibles maternidad,2005-01-01,9424,9424
COIPASA,internaciones,dias camas disponibles maternidad,2005-01-01,30,30
COLCAPIRHUA,internaciones,dias camas disponibles maternidad,2005-01-01,341,341
"COLCHA ""K""",internaciones,dias camas disponibles maternidad,2005-01-01,62,62
COLOMI,internaciones,dias camas disponibles maternidad,2005-01-01,434,434
COLPA BELGICA,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
COLQUECHACA,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
COLQUENCHA,internaciones,dias camas disponibles maternidad,2005-01-01,93,93
COLQUIRI,internaciones,dias camas disponibles maternidad,2005-01-01,93,93
COMARAPA,internaciones,dias camas disponibles maternidad,2005-01-01,310,310
CONCEPCION,internaciones,dias camas disponibles maternidad,2005-01-01,124,124
COPACABANA,internaciones,dias camas disponibles maternidad,2005-01-01,186,186
CORIPATA,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
CORO CORO,internaciones,dias camas disponibles maternidad,2005-01-01,124,124
COROICO,internaciones,dias camas disponibles maternidad,2005-01-01,248,248
CORQUE,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
COTAGAITA,internaciones,dias camas disponibles maternidad,2005-01-01,93,93
COTOCA,internaciones,dias camas disponibles maternidad,2005-01-01,651,651
CUATRO CAÑADAS,internaciones,dias camas disponibles maternidad,2005-01-01,279,279
CUCHUMUELA (V. G. VILLARROEL),internaciones,dias camas disponibles maternidad,2005-01-01,31,31
CUEVO,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
CULPINA,internaciones,dias camas disponibles maternidad,2005-01-01,217,217
CURAHUARA DE CARANGAS,internaciones,dias camas disponibles maternidad,2005-01-01,62,62
