municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones,dias camas ocupadas otros servicios,2005-01-01,67,67
AIQUILE,internaciones,dias camas ocupadas otros servicios,2005-01-01,213,213
ANCORAIMES,internaciones,dias camas ocupadas otros servicios,2005-01-01,4,4
APOLO,internaciones,dias camas ocupadas otros servicios,2005-01-01,20,20
ARBIETO,internaciones,dias camas ocupadas otros servicios,2005-01-01,44,44
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas otros servicios,2005-01-01,436,436
ATOCHA,internaciones,dias camas ocupadas otros servicios,2005-01-01,323,323
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas otros servicios,2005-01-01,65,65
AZURDUY,internaciones,dias camas ocupadas otros servicios,2005-01-01,8,8
BAURES,internaciones,dias camas ocupadas otros servicios,2005-01-01,8,8
BERMEJO,internaciones,dias camas ocupadas otros servicios,2005-01-01,357,357
BETANZOS,internaciones,dias camas ocupadas otros servicios,2005-01-01,32,32
BOYUIBE,internaciones,dias camas ocupadas otros servicios,2005-01-01,72,72
BUENA VISTA,internaciones,dias camas ocupadas otros servicios,2005-01-01,51,51
CABEZAS,internaciones,dias camas ocupadas otros servicios,2005-01-01,84,84
CAIROMA,internaciones,dias camas ocupadas otros servicios,2005-01-01,2,2
CALAMARCA,internaciones,dias camas ocupadas otros servicios,2005-01-01,8,8
CAMARGO,internaciones,dias camas ocupadas otros servicios,2005-01-01,614,614
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas otros servicios,2005-01-01,30,30
CAMIRI,internaciones,dias camas ocupadas otros servicios,2005-01-01,1427,1427
CAPINOTA,internaciones,dias camas ocupadas otros servicios,2005-01-01,76,76
CARACOLLO,internaciones,dias camas ocupadas otros servicios,2005-01-01,11,11
CARANAVI,internaciones,dias camas ocupadas otros servicios,2005-01-01,491,491
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas otros servicios,2005-01-01,6,6
CHALLAPATA,internaciones,dias camas ocupadas otros servicios,2005-01-01,90,90
CHARAGUA,internaciones,dias camas ocupadas otros servicios,2005-01-01,223,223
CHAYANTA,internaciones,dias camas ocupadas otros servicios,2005-01-01,13,13
CHIMORE,internaciones,dias camas ocupadas otros servicios,2005-01-01,52,52
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas otros servicios,2005-01-01,443,443
CHUMA,internaciones,dias camas ocupadas otros servicios,2005-01-01,8,8
COBIJA,internaciones,dias camas ocupadas otros servicios,2005-01-01,860,860
COCHABAMBA,internaciones,dias camas ocupadas otros servicios,2005-01-01,22131,22131
COLCAPIRHUA,internaciones,dias camas ocupadas otros servicios,2005-01-01,337,337
"COLCHA ""K""",internaciones,dias camas ocupadas otros servicios,2005-01-01,1,1
COLOMI,internaciones,dias camas ocupadas otros servicios,2005-01-01,15,15
COLPA BELGICA,internaciones,dias camas ocupadas otros servicios,2005-01-01,28,28
COLQUIRI,internaciones,dias camas ocupadas otros servicios,2005-01-01,26,26
COMARAPA,internaciones,dias camas ocupadas otros servicios,2005-01-01,408,408
CONCEPCION,internaciones,dias camas ocupadas otros servicios,2005-01-01,56,56
COPACABANA,internaciones,dias camas ocupadas otros servicios,2005-01-01,37,37
CORIPATA,internaciones,dias camas ocupadas otros servicios,2005-01-01,6,6
CORO CORO,internaciones,dias camas ocupadas otros servicios,2005-01-01,3,3
COROICO,internaciones,dias camas ocupadas otros servicios,2005-01-01,355,355
CORQUE,internaciones,dias camas ocupadas otros servicios,2005-01-01,1,1
COTAGAITA,internaciones,dias camas ocupadas otros servicios,2005-01-01,60,60
COTOCA,internaciones,dias camas ocupadas otros servicios,2005-01-01,210,210
CUATRO CAÑADAS,internaciones,dias camas ocupadas otros servicios,2005-01-01,25,25
CUEVO,internaciones,dias camas ocupadas otros servicios,2005-01-01,23,23
CULPINA,internaciones,dias camas ocupadas otros servicios,2005-01-01,27,27
CURAHUARA DE CARANGAS,internaciones,dias camas ocupadas otros servicios,2005-01-01,3,3
EL ALTO,internaciones,dias camas ocupadas otros servicios,2005-01-01,4492,4492
EL PUENTE(STC),internaciones,dias camas ocupadas otros servicios,2005-01-01,7,7
EL TORNO,internaciones,dias camas ocupadas otros servicios,2005-01-01,645,645
EL VILLAR,internaciones,dias camas ocupadas otros servicios,2005-01-01,6,6
ENTRE RIOS,internaciones,dias camas ocupadas otros servicios,2005-01-01,72,72
ENTRE RIOS,internaciones,dias camas ocupadas otros servicios,2005-01-01,15,15
FERNANDEZ ALONSO,internaciones,dias camas ocupadas otros servicios,2005-01-01,576,576
GENERAL SAAVEDRA,internaciones,dias camas ocupadas otros servicios,2005-01-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas ocupadas otros servicios,2005-01-01,4,4
GUANAY,internaciones,dias camas ocupadas otros servicios,2005-01-01,15,15
GUAYARAMERIN,internaciones,dias camas ocupadas otros servicios,2005-01-01,1072,1072
GUTIERREZ,internaciones,dias camas ocupadas otros servicios,2005-01-01,78,78
HUACARETA,internaciones,dias camas ocupadas otros servicios,2005-01-01,22,22
HUACHACALLA,internaciones,dias camas ocupadas otros servicios,2005-01-01,2,2
HUANUNI,internaciones,dias camas ocupadas otros servicios,2005-01-01,110,110
HUARACAJE,internaciones,dias camas ocupadas otros servicios,2005-01-01,31,31
INCAHUASI,internaciones,dias camas ocupadas otros servicios,2005-01-01,34,34
IRUPANA (VILLA DE LANZA),internaciones,dias camas ocupadas otros servicios,2005-01-01,51,51
IXIAMAS,internaciones,dias camas ocupadas otros servicios,2005-01-01,17,17
LA ASUNTA,internaciones,dias camas ocupadas otros servicios,2005-01-01,81,81
LA GUARDIA,internaciones,dias camas ocupadas otros servicios,2005-01-01,61,61
LA PAZ,internaciones,dias camas ocupadas otros servicios,2005-01-01,32475,32475
LAGUNILLAS,internaciones,dias camas ocupadas otros servicios,2005-01-01,53,53
LLALLAGUA,internaciones,dias camas ocupadas otros servicios,2005-01-01,263,263
MACHARETI,internaciones,dias camas ocupadas otros servicios,2005-01-01,6,6
MAGDALENA,internaciones,dias camas ocupadas otros servicios,2005-01-01,183,183
MAIRANA,internaciones,dias camas ocupadas otros servicios,2005-01-01,49,49
MAPIRI,internaciones,dias camas ocupadas otros servicios,2005-01-01,8,8
MINEROS,internaciones,dias camas ocupadas otros servicios,2005-01-01,66,66
MIZQUE,internaciones,dias camas ocupadas otros servicios,2005-01-01,37,37
MOCOMOCO,internaciones,dias camas ocupadas otros servicios,2005-01-01,2,2
MOJOCOYA,internaciones,dias camas ocupadas otros servicios,2005-01-01,2,2
MONTEAGUDO,internaciones,dias camas ocupadas otros servicios,2005-01-01,438,438
MONTERO,internaciones,dias camas ocupadas otros servicios,2005-01-01,1539,1539
MORO MORO,internaciones,dias camas ocupadas otros servicios,2005-01-01,31,31
MOROCHATA,internaciones,dias camas ocupadas otros servicios,2005-01-01,3,3
OKINAWA,internaciones,dias camas ocupadas otros servicios,2005-01-01,7,7
OMEREQUE,internaciones,dias camas ocupadas otros servicios,2005-01-01,4,4
ORURO,internaciones,dias camas ocupadas otros servicios,2005-01-01,6312,6312
PADILLA,internaciones,dias camas ocupadas otros servicios,2005-01-01,210,210
PAILON,internaciones,dias camas ocupadas otros servicios,2005-01-01,68,68
PALOS BLANCOS,internaciones,dias camas ocupadas otros servicios,2005-01-01,102,102
PAMPA GRANDE,internaciones,dias camas ocupadas otros servicios,2005-01-01,9,9
PAPEL PAMPA,internaciones,dias camas ocupadas otros servicios,2005-01-01,5,5
PASORAPA,internaciones,dias camas ocupadas otros servicios,2005-01-01,4,4
PATACAMAYA,internaciones,dias camas ocupadas otros servicios,2005-01-01,4,4
PAZÑA,internaciones,dias camas ocupadas otros servicios,2005-01-01,1,1
POCONA,internaciones,dias camas ocupadas otros servicios,2005-01-01,2,2
POROMA,internaciones,dias camas ocupadas otros servicios,2005-01-01,4,4
PORONGO,internaciones,dias camas ocupadas otros servicios,2005-01-01,11,11
PORTACHUELO,internaciones,dias camas ocupadas otros servicios,2005-01-01,261,261
PORVENIR,internaciones,dias camas ocupadas otros servicios,2005-01-01,7,7
POTOSI,internaciones,dias camas ocupadas otros servicios,2005-01-01,5317,5317
PRESTO,internaciones,dias camas ocupadas otros servicios,2005-01-01,8,8
PUCARA,internaciones,dias camas ocupadas otros servicios,2005-01-01,2,2
PUCARANI,internaciones,dias camas ocupadas otros servicios,2005-01-01,10,10
PUERTO ACOSTA,internaciones,dias camas ocupadas otros servicios,2005-01-01,184,184
PUERTO CARABUCO,internaciones,dias camas ocupadas otros servicios,2005-01-01,1,1
PUERTO GONZALO MORENO,internaciones,dias camas ocupadas otros servicios,2005-01-01,7,7
PUERTO QUIJARRO,internaciones,dias camas ocupadas otros servicios,2005-01-01,324,324
PUERTO RICO,internaciones,dias camas ocupadas otros servicios,2005-01-01,58,58
PUERTO SUAREZ,internaciones,dias camas ocupadas otros servicios,2005-01-01,260,260
PUERTO VILLARROEL,internaciones,dias camas ocupadas otros servicios,2005-01-01,289,289
PUNA,internaciones,dias camas ocupadas otros servicios,2005-01-01,30,30
PUNATA,internaciones,dias camas ocupadas otros servicios,2005-01-01,309,309
QUILLACOLLO,internaciones,dias camas ocupadas otros servicios,2005-01-01,302,302
QUIME,internaciones,dias camas ocupadas otros servicios,2005-01-01,14,14
QUIRUSILLAS,internaciones,dias camas ocupadas otros servicios,2005-01-01,18,18
RAVELO,internaciones,dias camas ocupadas otros servicios,2005-01-01,8,8
REYES,internaciones,dias camas ocupadas otros servicios,2005-01-01,44,44
RIBERALTA,internaciones,dias camas ocupadas otros servicios,2005-01-01,1521,1521
ROBORE,internaciones,dias camas ocupadas otros servicios,2005-01-01,61,61
RURRENABAQUE,internaciones,dias camas ocupadas otros servicios,2005-01-01,202,202
SACABA,internaciones,dias camas ocupadas otros servicios,2005-01-01,461,461
SACABAMBA,internaciones,dias camas ocupadas otros servicios,2005-01-01,2,2
SACACA,internaciones,dias camas ocupadas otros servicios,2005-01-01,27,27
SAIPINA,internaciones,dias camas ocupadas otros servicios,2005-01-01,20,20
SAMAIPATA,internaciones,dias camas ocupadas otros servicios,2005-01-01,37,37
SAN ANTONIO DE LOMERIO,internaciones,dias camas ocupadas otros servicios,2005-01-01,75,75
SAN BENITO,internaciones,dias camas ocupadas otros servicios,2005-01-01,5,5
SAN BORJA,internaciones,dias camas ocupadas otros servicios,2005-01-01,361,361
SAN BUENA VENTURA,internaciones,dias camas ocupadas otros servicios,2005-01-01,17,17
SAN CARLOS,internaciones,dias camas ocupadas otros servicios,2005-01-01,252,252
SAN IGNACIO,internaciones,dias camas ocupadas otros servicios,2005-01-01,168,168
SAN IGNACIO DE VELASCO,internaciones,dias camas ocupadas otros servicios,2005-01-01,1114,1114
SAN JAVIER(STC),internaciones,dias camas ocupadas otros servicios,2005-01-01,87,87
SAN JOAQUIN,internaciones,dias camas ocupadas otros servicios,2005-01-01,91,91
SAN JOSE DE CHIQUITOS,internaciones,dias camas ocupadas otros servicios,2005-01-01,213,213
SAN JUAN DE YAPACANI,internaciones,dias camas ocupadas otros servicios,2005-01-01,338,338
SAN JULIAN,internaciones,dias camas ocupadas otros servicios,2005-01-01,325,325
SAN LORENZO(TJA),internaciones,dias camas ocupadas otros servicios,2005-01-01,22,22
SAN LUCAS,internaciones,dias camas ocupadas otros servicios,2005-01-01,113,113
SAN MATIAS,internaciones,dias camas ocupadas otros servicios,2005-01-01,38,38
SAN MIGUEL DE VELASCO,internaciones,dias camas ocupadas otros servicios,2005-01-01,195,195
SAN PEDRO,internaciones,dias camas ocupadas otros servicios,2005-01-01,60,60
SAN PEDRO DE BUENA VISTA,internaciones,dias camas ocupadas otros servicios,2005-01-01,30,30
SAN RAFAEL,internaciones,dias camas ocupadas otros servicios,2005-01-01,36,36
SAN RAMON,internaciones,dias camas ocupadas otros servicios,2005-01-01,84,84
SAN RAMON,internaciones,dias camas ocupadas otros servicios,2005-01-01,48,48
SANTA ANA,internaciones,dias camas ocupadas otros servicios,2005-01-01,300,300
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas otros servicios,2005-01-01,22628,22628
SANTA ROSA,internaciones,dias camas ocupadas otros servicios,2005-01-01,38,38
SANTA ROSA DEL SARA,internaciones,dias camas ocupadas otros servicios,2005-01-01,47,47
SANTIVAÑES,internaciones,dias camas ocupadas otros servicios,2005-01-01,2,2
SENA,internaciones,dias camas ocupadas otros servicios,2005-01-01,14,14
SICA SICA (VILLA AROMA),internaciones,dias camas ocupadas otros servicios,2005-01-01,3,3
SIPE SIPE,internaciones,dias camas ocupadas otros servicios,2005-01-01,39,39
SOPACHUY,internaciones,dias camas ocupadas otros servicios,2005-01-01,79,79
SORACACHI,internaciones,dias camas ocupadas otros servicios,2005-01-01,2,2
SORATA,internaciones,dias camas ocupadas otros servicios,2005-01-01,44,44
SUCRE,internaciones,dias camas ocupadas otros servicios,2005-01-01,20673,20673
TARABUCO,internaciones,dias camas ocupadas otros servicios,2005-01-01,99,99
TARATA,internaciones,dias camas ocupadas otros servicios,2005-01-01,19,19
TARIJA,internaciones,dias camas ocupadas otros servicios,2005-01-01,6179,6179
TARVITA,internaciones,dias camas ocupadas otros servicios,2005-01-01,18,18
TIQUIPAYA,internaciones,dias camas ocupadas otros servicios,2005-01-01,14,14
TIRAQUE (CBBA),internaciones,dias camas ocupadas otros servicios,2005-01-01,245,245
TOLEDO,internaciones,dias camas ocupadas otros servicios,2005-01-01,3,3
TOMINA,internaciones,dias camas ocupadas otros servicios,2005-01-01,10,10
TORO TORO,internaciones,dias camas ocupadas otros servicios,2005-01-01,10,10
TOTORA(CBBA),internaciones,dias camas ocupadas otros servicios,2005-01-01,40,40
TRIGAL,internaciones,dias camas ocupadas otros servicios,2005-01-01,4,4
TRINIDAD,internaciones,dias camas ocupadas otros servicios,2005-01-01,3222,3222
TUPIZA,internaciones,dias camas ocupadas otros servicios,2005-01-01,958,958
UNCIA,internaciones,dias camas ocupadas otros servicios,2005-01-01,1518,1518
URUBICHA,internaciones,dias camas ocupadas otros servicios,2005-01-01,27,27
UYUNI,internaciones,dias camas ocupadas otros servicios,2005-01-01,261,261
VALLEGRANDE,internaciones,dias camas ocupadas otros servicios,2005-01-01,370,370
VILLA MONTES,internaciones,dias camas ocupadas otros servicios,2005-01-01,177,177
VILLA RIVERO,internaciones,dias camas ocupadas otros servicios,2005-01-01,4,4
VILLA SERRANO,internaciones,dias camas ocupadas otros servicios,2005-01-01,42,42
VILLA TUNARI,internaciones,dias camas ocupadas otros servicios,2005-01-01,399,399
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,dias camas ocupadas otros servicios,2005-01-01,36,36
VILLAZON,internaciones,dias camas ocupadas otros servicios,2005-01-01,566,566
VINTO,internaciones,dias camas ocupadas otros servicios,2005-01-01,25,25
VITICHI,internaciones,dias camas ocupadas otros servicios,2005-01-01,15,15
WARNES,internaciones,dias camas ocupadas otros servicios,2005-01-01,166,166
YACUIBA,internaciones,dias camas ocupadas otros servicios,2005-01-01,1153,1153
YAMPARAEZ,internaciones,dias camas ocupadas otros servicios,2005-01-01,42,42
YAPACANI,internaciones,dias camas ocupadas otros servicios,2005-01-01,438,438
YOTALA,internaciones,dias camas ocupadas otros servicios,2005-01-01,89,89
ZUDAÑEZ,internaciones,dias camas ocupadas otros servicios,2005-01-01,56,56
ACHACACHI,internaciones,dias camas ocupadas otros servicios,2005-02-01,102,102
AIQUILE,internaciones,dias camas ocupadas otros servicios,2005-02-01,252,252
ALALAY,internaciones,dias camas ocupadas otros servicios,2005-02-01,8,8
ANCORAIMES,internaciones,dias camas ocupadas otros servicios,2005-02-01,1,1
APOLO,internaciones,dias camas ocupadas otros servicios,2005-02-01,24,24
ARAMPAMPA,internaciones,dias camas ocupadas otros servicios,2005-02-01,7,7
ARBIETO,internaciones,dias camas ocupadas otros servicios,2005-02-01,28,28
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas otros servicios,2005-02-01,445,445
ATOCHA,internaciones,dias camas ocupadas otros servicios,2005-02-01,307,307
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas otros servicios,2005-02-01,34,34
AZURDUY,internaciones,dias camas ocupadas otros servicios,2005-02-01,13,13
BAURES,internaciones,dias camas ocupadas otros servicios,2005-02-01,4,4
BERMEJO,internaciones,dias camas ocupadas otros servicios,2005-02-01,307,307
BETANZOS,internaciones,dias camas ocupadas otros servicios,2005-02-01,51,51
BOYUIBE,internaciones,dias camas ocupadas otros servicios,2005-02-01,26,26
