municipality,group,variable,month,Ingresos espontáneos,TOTAL
ACACIO,internaciones,ingresos espontaneos,2005-01-01,2,2
ACHACACHI,internaciones,ingresos espontaneos,2005-01-01,75,75
ACHOCALLA,internaciones,ingresos espontaneos,2005-01-01,6,6
AIQUILE,internaciones,ingresos espontaneos,2005-01-01,155,155
ALALAY,internaciones,ingresos espontaneos,2005-01-01,3,3
ALCALA,internaciones,ingresos espontaneos,2005-01-01,4,4
ANCORAIMES,internaciones,ingresos espontaneos,2005-01-01,8,8
ANDAMARCA,internaciones,ingresos espontaneos,2005-01-01,1,1
ANTEQUERA,internaciones,ingresos espontaneos,2005-01-01,6,6
ANZALDO,internaciones,ingresos espontaneos,2005-01-01,1,1
APOLO,internaciones,ingresos espontaneos,2005-01-01,21,21
ARAMPAMPA,internaciones,ingresos espontaneos,2005-01-01,2,2
ARANI,internaciones,ingresos espontaneos,2005-01-01,5,5
ARBIETO,internaciones,ingresos espontaneos,2005-01-01,11,11
ARQUE,internaciones,ingresos espontaneos,2005-01-01,5,5
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2005-01-01,164,164
ATOCHA,internaciones,ingresos espontaneos,2005-01-01,89,89
AYATA,internaciones,ingresos espontaneos,2005-01-01,2,2
AYO AYO,internaciones,ingresos espontaneos,2005-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2005-01-01,45,45
AZURDUY,internaciones,ingresos espontaneos,2005-01-01,15,15
BATALLAS,internaciones,ingresos espontaneos,2005-01-01,6,6
BAURES,internaciones,ingresos espontaneos,2005-01-01,4,4
BELLA FLOR,internaciones,ingresos espontaneos,2005-01-01,2,2
BERMEJO,internaciones,ingresos espontaneos,2005-01-01,180,180
BETANZOS,internaciones,ingresos espontaneos,2005-01-01,38,38
BOLIVAR,internaciones,ingresos espontaneos,2005-01-01,1,1
BOYUIBE,internaciones,ingresos espontaneos,2005-01-01,12,12
BUENA VISTA,internaciones,ingresos espontaneos,2005-01-01,27,27
CABEZAS,internaciones,ingresos espontaneos,2005-01-01,57,57
CAIROMA,internaciones,ingresos espontaneos,2005-01-01,6,6
CAJUATA,internaciones,ingresos espontaneos,2005-01-01,6,6
CALAMARCA,internaciones,ingresos espontaneos,2005-01-01,7,7
CAMARGO,internaciones,ingresos espontaneos,2005-01-01,270,270
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2005-01-01,15,15
CAMIRI,internaciones,ingresos espontaneos,2005-01-01,489,489
CAPINOTA,internaciones,ingresos espontaneos,2005-01-01,54,54
CAQUIAVIRI,internaciones,ingresos espontaneos,2005-01-01,3,3
CARACOLLO,internaciones,ingresos espontaneos,2005-01-01,21,21
CARANAVI,internaciones,ingresos espontaneos,2005-01-01,153,153
CARIPUYO,internaciones,ingresos espontaneos,2005-01-01,1,1
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2005-01-01,3,3
CHALLAPATA,internaciones,ingresos espontaneos,2005-01-01,40,40
CHARAGUA,internaciones,ingresos espontaneos,2005-01-01,144,144
CHAYANTA,internaciones,ingresos espontaneos,2005-01-01,12,12
CHIMORE,internaciones,ingresos espontaneos,2005-01-01,35,35
CHIPAYA,internaciones,ingresos espontaneos,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2005-01-01,80,80
CHUMA,internaciones,ingresos espontaneos,2005-01-01,7,7
CLIZA,internaciones,ingresos espontaneos,2005-01-01,20,20
COBIJA,internaciones,ingresos espontaneos,2005-01-01,297,297
COCHABAMBA,internaciones,ingresos espontaneos,2005-01-01,5038,5038
COIPASA,internaciones,ingresos espontaneos,2005-01-01,1,1
COLCAPIRHUA,internaciones,ingresos espontaneos,2005-01-01,165,165
"COLCHA ""K""",internaciones,ingresos espontaneos,2005-01-01,1,1
COLOMI,internaciones,ingresos espontaneos,2005-01-01,58,58
COLPA BELGICA,internaciones,ingresos espontaneos,2005-01-01,16,16
COLQUECHACA,internaciones,ingresos espontaneos,2005-01-01,2,2
COLQUENCHA,internaciones,ingresos espontaneos,2005-01-01,5,5
COLQUIRI,internaciones,ingresos espontaneos,2005-01-01,19,19
COMARAPA,internaciones,ingresos espontaneos,2005-01-01,103,103
CONCEPCION,internaciones,ingresos espontaneos,2005-01-01,54,54
COPACABANA,internaciones,ingresos espontaneos,2005-01-01,25,25
CORIPATA,internaciones,ingresos espontaneos,2005-01-01,20,20
CORO CORO,internaciones,ingresos espontaneos,2005-01-01,4,4
COROICO,internaciones,ingresos espontaneos,2005-01-01,65,65
CORQUE,internaciones,ingresos espontaneos,2005-01-01,3,3
COTAGAITA,internaciones,ingresos espontaneos,2005-01-01,26,26
COTOCA,internaciones,ingresos espontaneos,2005-01-01,150,150
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2005-01-01,29,29
CUCHUMUELA (V. G. VILLARROEL),internaciones,ingresos espontaneos,2005-01-01,2,2
CUEVO,internaciones,ingresos espontaneos,2005-01-01,14,14
CULPINA,internaciones,ingresos espontaneos,2005-01-01,31,31
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2005-01-01,5,5
CURVA,internaciones,ingresos espontaneos,2005-01-01,2,2
DESAGUADERO,internaciones,ingresos espontaneos,2005-01-01,3,3
