municipality,group,variable,month,Egresos,TOTAL
ACACIO,internaciones,egresos,2005-01-01,3,3
ACHACACHI,internaciones,egresos,2005-01-01,70,70
ACHOCALLA,internaciones,egresos,2005-01-01,6,6
AIQUILE,internaciones,egresos,2005-01-01,151,151
ALALAY,internaciones,egresos,2005-01-01,3,3
ALCALA,internaciones,egresos,2005-01-01,4,4
ANCORAIMES,internaciones,egresos,2005-01-01,8,8
ANDAMARCA,internaciones,egresos,2005-01-01,1,1
ANTEQUERA,internaciones,egresos,2005-01-01,6,6
ANZALDO,internaciones,egresos,2005-01-01,1,1
APOLO,internaciones,egresos,2005-01-01,21,21
ARAMPAMPA,internaciones,egresos,2005-01-01,2,2
ARANI,internaciones,egresos,2005-01-01,5,5
ARBIETO,internaciones,egresos,2005-01-01,7,7
ARQUE,internaciones,egresos,2005-01-01,5,5
ASCENCION DE GUARAYOS,internaciones,egresos,2005-01-01,144,144
ATOCHA,internaciones,egresos,2005-01-01,127,127
AYATA,internaciones,egresos,2005-01-01,2,2
AYO AYO,internaciones,egresos,2005-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2005-01-01,47,47
AZURDUY,internaciones,egresos,2005-01-01,16,16
BATALLAS,internaciones,egresos,2005-01-01,6,6
BAURES,internaciones,egresos,2005-01-01,4,4
BELLA FLOR,internaciones,egresos,2005-01-01,2,2
BERMEJO,internaciones,egresos,2005-01-01,182,182
BETANZOS,internaciones,egresos,2005-01-01,43,43
BOLIVAR,internaciones,egresos,2005-01-01,1,1
BOYUIBE,internaciones,egresos,2005-01-01,13,13
BUENA VISTA,internaciones,egresos,2005-01-01,27,27
CABEZAS,internaciones,egresos,2005-01-01,59,59
CAIROMA,internaciones,egresos,2005-01-01,6,6
CAJUATA,internaciones,egresos,2005-01-01,6,6
CALAMARCA,internaciones,egresos,2005-01-01,7,7
CAMARGO,internaciones,egresos,2005-01-01,276,276
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2005-01-01,12,12
CAMIRI,internaciones,egresos,2005-01-01,480,480
CAPINOTA,internaciones,egresos,2005-01-01,53,53
CAQUIAVIRI,internaciones,egresos,2005-01-01,3,3
CARACOLLO,internaciones,egresos,2005-01-01,21,21
CARANAVI,internaciones,egresos,2005-01-01,163,163
CARIPUYO,internaciones,egresos,2005-01-01,1,1
