municipality,group,variable,month,Ingresos referidos de otros establecimientos,TOTAL
ACACIO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2005-01-01,13,13
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,17,17
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,47,47
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2005-01-01,4,4
AZURDUY,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,9,9
BOLIVAR,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
BOYUIBE,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
CABEZAS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,5,5
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2005-01-01,11,11
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2005-01-01,11,11
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
CHAYANTA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
COBIJA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,46,46
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,3,3
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,11,11
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,4,4
COTOCA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,7,7
CUEVO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,225,225
EL PUENTE(STC),internaciones,ingresos referidos de otros establecimientos,2005-01-01,4,4
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,7,7
ENTRE RIOS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2005-01-01,45,45
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2005-01-01,4,4
HUACARETA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,3,3
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1035,1035
LAGUNILLAS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
LAS CARRERAS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,20,20
MACHARETI,internaciones,ingresos referidos de otros establecimientos,2005-01-01,3,3
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,8,8
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,4,4
MOCOMOCO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,4,4
MONTERO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,83,83
ORURO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,73,73
PADILLA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,24,24
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,3,3
PAMPA GRANDE,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
PAZÑA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
POJO (CBBA),internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,3,3
POTOSI,internaciones,ingresos referidos de otros establecimientos,2005-01-01,105,105
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,13,13
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,5,5
PUERTO RICO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,3,3
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2005-01-01,4,4
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2005-01-01,12,12
PUNATA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,26,26
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,12,12
REYES,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,187,187
ROBORE,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2005-01-01,16,16
SACABA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,23,23
SAN ANTONIO DE LOMERIO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,3,3
SAN BENITO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,3,3
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,15,15
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,10,10
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecimientos,2005-01-01,12,12
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2005-01-01,27,27
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2005-01-01,8,8
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,214,214
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,5,5
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
SANTIVAÑES,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
SIPE SIPE,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
SORATA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
SUCRE,internaciones,ingresos referidos de otros establecimientos,2005-01-01,26,26
TAPACARI,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,7,7
TARIJA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,86,86
TIRAQUE (CBBA),internaciones,ingresos referidos de otros establecimientos,2005-01-01,7,7
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos,2005-01-01,6,6
TOTORA(ORR),internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,32,32
UNCIA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,35,35
UYUNI,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2005-01-01,5,5
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2005-01-01,36,36
VILLA SERRANO,internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2005-01-01,35,35
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecimientos,2005-01-01,2,2
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2005-01-01,14,14
YACUIBA,internaciones,ingresos referidos de otros establecimientos,2005-01-01,20,20
ZUDAÑEZ,internaciones,ingresos referidos de otros establecimientos,2005-01-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2005-02-01,6,6
ALALAY,internaciones,ingresos referidos de otros establecimientos,2005-02-01,2,2
ALCALA,internaciones,ingresos referidos de otros establecimientos,2005-02-01,1,1
APOLO,internaciones,ingresos referidos de otros establecimientos,2005-02-01,2,2
ARQUE,internaciones,ingresos referidos de otros establecimientos,2005-02-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2005-02-01,18,18
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2005-02-01,35,35
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2005-02-01,5,5
AZURDUY,internaciones,ingresos referidos de otros establecimientos,2005-02-01,1,1
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2005-02-01,3,3
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2005-02-01,6,6
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2005-02-01,19,19
CARACOLLO,internaciones,ingresos referidos de otros establecimientos,2005-02-01,1,1
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2005-02-01,21,21
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecimientos,2005-02-01,2,2
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2005-02-01,4,4
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2005-02-01,14,14
COBIJA,internaciones,ingresos referidos de otros establecimientos,2005-02-01,37,37
COLQUENCHA,internaciones,ingresos referidos de otros establecimientos,2005-02-01,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2005-02-01,1,1
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2005-02-01,3,3
COROICO,internaciones,ingresos referidos de otros establecimientos,2005-02-01,15,15
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2005-02-01,1,1
CUEVO,internaciones,ingresos referidos de otros establecimientos,2005-02-01,2,2
CULPINA,internaciones,ingresos referidos de otros establecimientos,2005-02-01,4,4
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2005-02-01,178,178
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2005-02-01,8,8
EL VILLAR,internaciones,ingresos referidos de otros establecimientos,2005-02-01,2,2
ENTRE RIOS,internaciones,ingresos referidos de otros establecimientos,2005-02-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos,2005-02-01,4,4
