municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2005-02-01,3,3
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2005-02-01,3,3
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2005-02-01,3,3
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2005-02-01,3,3
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2005-02-01,4,4
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
CABEZAS,internaciones,fallecidos a partir de las 48 horas,2005-03-01,4,4
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2005-03-01,4,4
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,4,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,80,80
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,3,3
COROICO,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2005-03-01,9,9
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2005-03-01,118,118
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2005-03-01,2,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2005-03-01,49,49
POTOSI,internaciones,fallecidos a partir de las 48 horas,2005-03-01,15,15
PUNATA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,3,3
ROBORE,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2005-03-01,3,3
