municipality,group,variable,month,Fallecidos antes de las 48 horas,TOTAL
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
ATOCHA,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
BERMEJO,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2005-01-01,5,5
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2005-01-01,39,39
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
COLOMI,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2005-01-01,17,17
FERNANDEZ ALONSO,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2005-01-01,7,7
LA PAZ,internaciones,fallecidos antes de las 48 horas,2005-01-01,50,50
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
MAIRANA,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
MAPIRI,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2005-01-01,3,3
MONTERO,internaciones,fallecidos antes de las 48 horas,2005-01-01,3,3
OKINAWA,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2005-01-01,6,6
PADILLA,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2005-01-01,19,19
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2005-01-01,4,4
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
PUNATA,internaciones,fallecidos antes de las 48 horas,2005-01-01,3,3
QUILLACOLLO,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
QUIME,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
REYES,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2005-01-01,6,6
ROBORE,internaciones,fallecidos antes de las 48 horas,2005-01-01,3,3
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
SACABA,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
SACACA,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2005-01-01,2,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2005-01-01,1,1
