municipality,group,variable,month,Total 11.7 Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,36,36
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,18,18
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,16,16
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,18,18
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,21,21
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,15,15
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,26,26
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,63,63
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,28,28
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,16,16
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,23,23
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
BELEN DE ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,50,50
BOLIVAR,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
