municipality,group,variable,month,Total 11.1 Vaginales,TOTAL
ACACIO,atencion de partos en servicios,vaginales,2014-01-01,2,2
ACHACACHI,atencion de partos en servicios,vaginales,2014-01-01,20,20
ACHOCALLA,atencion de partos en servicios,vaginales,2014-01-01,7,7
AIQUILE,atencion de partos en servicios,vaginales,2014-01-01,14,14
ALALAY,atencion de partos en servicios,vaginales,2014-01-01,2,2
ALCALA,atencion de partos en servicios,vaginales,2014-01-01,3,3
ALTO BENI,atencion de partos en servicios,vaginales,2014-01-01,14,14
ANCORAIMES,atencion de partos en servicios,vaginales,2014-01-01,6,6
ANDAMARCA,atencion de partos en servicios,vaginales,2014-01-01,1,1
ANZALDO,atencion de partos en servicios,vaginales,2014-01-01,3,3
APOLO,atencion de partos en servicios,vaginales,2014-01-01,13,13
ARANI,atencion de partos en servicios,vaginales,2014-01-01,12,12
ARBIETO,atencion de partos en servicios,vaginales,2014-01-01,12,12
ARQUE,atencion de partos en servicios,vaginales,2014-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2014-01-01,48,48
ATOCHA,atencion de partos en servicios,vaginales,2014-01-01,11,11
AYATA,atencion de partos en servicios,vaginales,2014-01-01,2,2
AYO AYO,atencion de partos en servicios,vaginales,2014-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2014-01-01,21,21
AZURDUY,atencion de partos en servicios,vaginales,2014-01-01,7,7
BATALLAS,atencion de partos en servicios,vaginales,2014-01-01,6,6
BAURES,atencion de partos en servicios,vaginales,2014-01-01,4,4
BELEN DE ANDAMARCA,atencion de partos en servicios,vaginales,2014-01-01,1,1
BELLA FLOR,atencion de partos en servicios,vaginales,2014-01-01,1,1
BERMEJO,atencion de partos en servicios,vaginales,2014-01-01,30,30
BETANZOS,atencion de partos en servicios,vaginales,2014-01-01,30,30
BOLIVAR,atencion de partos en servicios,vaginales,2014-01-01,3,3
BOYUIBE,atencion de partos en servicios,vaginales,2014-01-01,3,3
BUENA VISTA,atencion de partos en servicios,vaginales,2014-01-01,9,9
CABEZAS,atencion de partos en servicios,vaginales,2014-01-01,34,34
CAIROMA,atencion de partos en servicios,vaginales,2014-01-01,4,4
"CAIZA ""D""",atencion de partos en servicios,vaginales,2014-01-01,4,4
CAJUATA,atencion de partos en servicios,vaginales,2014-01-01,17,17
CALAMARCA,atencion de partos en servicios,vaginales,2014-01-01,12,12
CAMARGO,atencion de partos en servicios,vaginales,2014-01-01,15,15
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,vaginales,2014-01-01,2,2
CAMIRI,atencion de partos en servicios,vaginales,2014-01-01,47,47
CAPINOTA,atencion de partos en servicios,vaginales,2014-01-01,16,16
CAQUIAVIRI,atencion de partos en servicios,vaginales,2014-01-01,2,2
CARACOLLO,atencion de partos en servicios,vaginales,2014-01-01,14,14
CARANAVI,atencion de partos en servicios,vaginales,2014-01-01,58,58
CARAPARI,atencion de partos en servicios,vaginales,2014-01-01,10,10
CARIPUYO,atencion de partos en servicios,vaginales,2014-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2014-01-01,4,4
CHACARILLA,atencion de partos en servicios,vaginales,2014-01-01,1,1
CHALLAPATA,atencion de partos en servicios,vaginales,2014-01-01,38,38
CHAQUI,atencion de partos en servicios,vaginales,2014-01-01,4,4
CHARAGUA,atencion de partos en servicios,vaginales,2014-01-01,60,60
CHAYANTA,atencion de partos en servicios,vaginales,2014-01-01,9,9
CHIMORE,atencion de partos en servicios,vaginales,2014-01-01,13,13
CHIPAYA,atencion de partos en servicios,vaginales,2014-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2014-01-01,19,19
CHUMA,atencion de partos en servicios,vaginales,2014-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2014-01-01,9,9
CKOCHAS,atencion de partos en servicios,vaginales,2014-01-01,4,4
CLIZA,atencion de partos en servicios,vaginales,2014-01-01,13,13
COBIJA,atencion de partos en servicios,vaginales,2014-01-01,87,87
COCAPATA,atencion de partos en servicios,vaginales,2014-01-01,9,9
COCHABAMBA,atencion de partos en servicios,vaginales,2014-01-01,845,845
COIPASA,atencion de partos en servicios,vaginales,2014-01-01,2,2
COLCAPIRHUA,atencion de partos en servicios,vaginales,2014-01-01,36,36
"COLCHA ""K""",atencion de partos en servicios,vaginales,2014-01-01,3,3
COLOMI,atencion de partos en servicios,vaginales,2014-01-01,17,17
COLPA BELGICA,atencion de partos en servicios,vaginales,2014-01-01,3,3
COLQUECHACA,atencion de partos en servicios,vaginales,2014-01-01,17,17
COLQUENCHA,atencion de partos en servicios,vaginales,2014-01-01,6,6
COLQUIRI,atencion de partos en servicios,vaginales,2014-01-01,13,13
COMARAPA,atencion de partos en servicios,vaginales,2014-01-01,16,16
COMBAYA,atencion de partos en servicios,vaginales,2014-01-01,1,1
CONCEPCION,atencion de partos en servicios,vaginales,2014-01-01,26,26
COPACABANA,atencion de partos en servicios,vaginales,2014-01-01,8,8
CORIPATA,atencion de partos en servicios,vaginales,2014-01-01,8,8
CORO CORO,atencion de partos en servicios,vaginales,2014-01-01,3,3
COROICO,atencion de partos en servicios,vaginales,2014-01-01,25,25
CORQUE,atencion de partos en servicios,vaginales,2014-01-01,2,2
COTAGAITA,atencion de partos en servicios,vaginales,2014-01-01,12,12
COTOCA,atencion de partos en servicios,vaginales,2014-01-01,71,71
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2014-01-01,26,26
CUEVO,atencion de partos en servicios,vaginales,2014-01-01,1,1
CULPINA,atencion de partos en servicios,vaginales,2014-01-01,18,18
CURAHUARA DE CARANGAS,atencion de partos en servicios,vaginales,2014-01-01,4,4
DESAGUADERO,atencion de partos en servicios,vaginales,2014-01-01,4,4
EL ALTO,atencion de partos en servicios,vaginales,2014-01-01,1009,1009
EL CHORO,atencion de partos en servicios,vaginales,2014-01-01,1,1
EL PUENTE(STC),atencion de partos en servicios,vaginales,2014-01-01,7,7
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2014-01-01,12,12
EL TORNO,atencion de partos en servicios,vaginales,2014-01-01,61,61
EL VILLAR,atencion de partos en servicios,vaginales,2014-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2014-01-01,23,23
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2014-01-01,27,27
ESCOMA,atencion de partos en servicios,vaginales,2014-01-01,5,5
EUCALIPTUS,atencion de partos en servicios,vaginales,2014-01-01,1,1
EXALTACION,atencion de partos en servicios,vaginales,2014-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,vaginales,2014-01-01,12,12
FILADELFIA,atencion de partos en servicios,vaginales,2014-01-01,5,5
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2014-01-01,16,16
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,vaginales,2014-01-01,1,1
GUANAY,atencion de partos en servicios,vaginales,2014-01-01,12,12
GUAQUI,atencion de partos en servicios,vaginales,2014-01-01,5,5
GUAYARAMERIN,atencion de partos en servicios,vaginales,2014-01-01,60,60
GUTIERREZ,atencion de partos en servicios,vaginales,2014-01-01,11,11
HUACARETA,atencion de partos en servicios,vaginales,2014-01-01,8,8
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,vaginales,2014-01-01,6,6
HUANUNI,atencion de partos en servicios,vaginales,2014-01-01,15,15
HUARACAJE,atencion de partos en servicios,vaginales,2014-01-01,3,3
ICLA,atencion de partos en servicios,vaginales,2014-01-01,7,7
INCAHUASI,atencion de partos en servicios,vaginales,2014-01-01,9,9
INGAVI (HUMAITA),atencion de partos en servicios,vaginales,2014-01-01,1,1
INQUISIVI,atencion de partos en servicios,vaginales,2014-01-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,vaginales,2014-01-01,7,7
IXIAMAS,atencion de partos en servicios,vaginales,2014-01-01,9,9
JESUS DE MACHACA,atencion de partos en servicios,vaginales,2014-01-01,9,9
LA ASUNTA,atencion de partos en servicios,vaginales,2014-01-01,54,54
LA GUARDIA,atencion de partos en servicios,vaginales,2014-01-01,72,72
LA PAZ,atencion de partos en servicios,vaginales,2014-01-01,1000,1000
LAGUNILLAS,atencion de partos en servicios,vaginales,2014-01-01,3,3
LAJA,atencion de partos en servicios,vaginales,2014-01-01,5,5
LAS CARRERAS,atencion de partos en servicios,vaginales,2014-01-01,2,2
LICOMA PAMPA,atencion de partos en servicios,vaginales,2014-01-01,3,3
LLALLAGUA,atencion de partos en servicios,vaginales,2014-01-01,52,52
LLICA,atencion de partos en servicios,vaginales,2014-01-01,3,3
LORETO,atencion de partos en servicios,vaginales,2014-01-01,6,6
LURIBAY,atencion de partos en servicios,vaginales,2014-01-01,1,1
MACHACAMARCA,atencion de partos en servicios,vaginales,2014-01-01,3,3
MACHARETI,atencion de partos en servicios,vaginales,2014-01-01,6,6
MAGDALENA,atencion de partos en servicios,vaginales,2014-01-01,16,16
MAIRANA,atencion de partos en servicios,vaginales,2014-01-01,10,10
MAPIRI,atencion de partos en servicios,vaginales,2014-01-01,15,15
MECAPACA,atencion de partos en servicios,vaginales,2014-01-01,5,5
MINEROS,atencion de partos en servicios,vaginales,2014-01-01,22,22
MIZQUE,atencion de partos en servicios,vaginales,2014-01-01,32,32
MOCOMOCO,atencion de partos en servicios,vaginales,2014-01-01,2,2
MOJOCOYA,atencion de partos en servicios,vaginales,2014-01-01,9,9
MONTEAGUDO,atencion de partos en servicios,vaginales,2014-01-01,31,31
MONTERO,atencion de partos en servicios,vaginales,2014-01-01,197,197
MORO MORO,atencion de partos en servicios,vaginales,2014-01-01,2,2
MOROCHATA,atencion de partos en servicios,vaginales,2014-01-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,vaginales,2014-01-01,1,1
OCURI,atencion de partos en servicios,vaginales,2014-01-01,11,11
OKINAWA,atencion de partos en servicios,vaginales,2014-01-01,15,15
OMEREQUE,atencion de partos en servicios,vaginales,2014-01-01,6,6
ORURO,atencion de partos en servicios,vaginales,2014-01-01,343,343
PADCAYA,atencion de partos en servicios,vaginales,2014-01-01,12,12
PADILLA,atencion de partos en servicios,vaginales,2014-01-01,16,16
PAILON,atencion de partos en servicios,vaginales,2014-01-01,29,29
PALCA,atencion de partos en servicios,vaginales,2014-01-01,9,9
PALOS BLANCOS,atencion de partos en servicios,vaginales,2014-01-01,40,40
PAMPA AULLAGAS,atencion de partos en servicios,vaginales,2014-01-01,3,3
PAMPA GRANDE,atencion de partos en servicios,vaginales,2014-01-01,5,5
PASORAPA,atencion de partos en servicios,vaginales,2014-01-01,1,1
PATACAMAYA,atencion de partos en servicios,vaginales,2014-01-01,22,22
PAZÑA,atencion de partos en servicios,vaginales,2014-01-01,5,5
POCOATA,atencion de partos en servicios,vaginales,2014-01-01,10,10
POCONA,atencion de partos en servicios,vaginales,2014-01-01,13,13
POJO (CBBA),atencion de partos en servicios,vaginales,2014-01-01,8,8
POOPO,atencion de partos en servicios,vaginales,2014-01-01,5,5
PORCO,atencion de partos en servicios,vaginales,2014-01-01,5,5
POROMA,atencion de partos en servicios,vaginales,2014-01-01,2,2
PORONGO,atencion de partos en servicios,vaginales,2014-01-01,6,6
PORTACHUELO,atencion de partos en servicios,vaginales,2014-01-01,32,32
PORVENIR,atencion de partos en servicios,vaginales,2014-01-01,3,3
POTOSI,atencion de partos en servicios,vaginales,2014-01-01,341,341
PRESTO,atencion de partos en servicios,vaginales,2014-01-01,3,3
PUCARA,atencion de partos en servicios,vaginales,2014-01-01,2,2
PUCARANI,atencion de partos en servicios,vaginales,2014-01-01,9,9
PUERTO ACOSTA,atencion de partos en servicios,vaginales,2014-01-01,1,1
PUERTO CARABUCO,atencion de partos en servicios,vaginales,2014-01-01,3,3
PUERTO GONZALO MORENO,atencion de partos en servicios,vaginales,2014-01-01,4,4
PUERTO QUIJARRO,atencion de partos en servicios,vaginales,2014-01-01,18,18
PUERTO RICO,atencion de partos en servicios,vaginales,2014-01-01,10,10
PUERTO SUAREZ,atencion de partos en servicios,vaginales,2014-01-01,22,22
PUERTO VILLARROEL,atencion de partos en servicios,vaginales,2014-01-01,101,101
PUNA,atencion de partos en servicios,vaginales,2014-01-01,12,12
PUNATA,atencion de partos en servicios,vaginales,2014-01-01,48,48
QUIABAYA,atencion de partos en servicios,vaginales,2014-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,vaginales,2014-01-01,113,113
QUIME,atencion de partos en servicios,vaginales,2014-01-01,3,3
RAVELO,atencion de partos en servicios,vaginales,2014-01-01,1,1
REYES,atencion de partos en servicios,vaginales,2014-01-01,6,6
RIBERALTA,atencion de partos en servicios,vaginales,2014-01-01,217,217
ROBORE,atencion de partos en servicios,vaginales,2014-01-01,16,16
RURRENABAQUE,atencion de partos en servicios,vaginales,2014-01-01,20,20
SACABA,atencion de partos en servicios,vaginales,2014-01-01,151,151
SACABAMBA,atencion de partos en servicios,vaginales,2014-01-01,6,6
SACACA,atencion de partos en servicios,vaginales,2014-01-01,13,13
SAIPINA,atencion de partos en servicios,vaginales,2014-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,vaginales,2014-01-01,13,13
SAMAIPATA,atencion de partos en servicios,vaginales,2014-01-01,7,7
SAN ANDRES,atencion de partos en servicios,vaginales,2014-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,vaginales,2014-01-01,3,3
SAN BENITO,atencion de partos en servicios,vaginales,2014-01-01,4,4
SAN BORJA,atencion de partos en servicios,vaginales,2014-01-01,53,53
SAN BUENA VENTURA,atencion de partos en servicios,vaginales,2014-01-01,16,16
SAN CARLOS,atencion de partos en servicios,vaginales,2014-01-01,18,18
SAN IGNACIO,atencion de partos en servicios,vaginales,2014-01-01,32,32
SAN IGNACIO DE VELASCO,atencion de partos en servicios,vaginales,2014-01-01,69,69
SAN JAVIER(BNI),atencion de partos en servicios,vaginales,2014-01-01,4,4
SAN JAVIER(STC),atencion de partos en servicios,vaginales,2014-01-01,25,25
SAN JOAQUIN,atencion de partos en servicios,vaginales,2014-01-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,vaginales,2014-01-01,32,32
