municipality,group,variable,month,Total 11.4 Nacidos muertos,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
BUENA VISTA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
CHAYANTA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-01-01,32,32
COLQUECHACA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
CORIPATA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
COROICO,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-01-01,26,26
ESCOMA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2014-01-01,4,4
JESUS DE MACHACA,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-01-01,22,22
MINEROS,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2014-01-01,6,6
ORURO,atencion de partos en servicios,nacidos muertos,2014-01-01,9,9
PADILLA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
POCOATA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-01-01,11,11
PUCARANI,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-01-01,4,4
PUNATA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
ROBORE,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
SAN PEDRO,atencion de partos en servicios,nacidos muertos,2014-01-01,5,5
SAN RAMON SCZ,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-01-01,41,41
SUCRE,atencion de partos en servicios,nacidos muertos,2014-01-01,6,6
TARABUCO,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
TUPIZA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
UYUNI,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
VACAS,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
WARNES,atencion de partos en servicios,nacidos muertos,2014-01-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-01-01,1,1
ACACIO,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
CHARAGUA,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-02-01,33,33
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-02-01,7,7
EL TORNO,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-02-01,21,21
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2014-02-01,3,3
MINEROS,atencion de partos en servicios,nacidos muertos,2014-02-01,11,11
MONTERO,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos,2014-02-01,8,8
PADILLA,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
PELECHUCO,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-02-01,8,8
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
REYES,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
