municipality,group,variable,month,Total 11.2 Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2014-01-01,4,4
AIQUILE,atencion de partos en servicios,cesareas,2014-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-01-01,14,14
ATOCHA,atencion de partos en servicios,cesareas,2014-01-01,1,1
BAURES,atencion de partos en servicios,cesareas,2014-01-01,4,4
BERMEJO,atencion de partos en servicios,cesareas,2014-01-01,24,24
BETANZOS,atencion de partos en servicios,cesareas,2014-01-01,1,1
CAMARGO,atencion de partos en servicios,cesareas,2014-01-01,13,13
CAMIRI,atencion de partos en servicios,cesareas,2014-01-01,43,43
CARANAVI,atencion de partos en servicios,cesareas,2014-01-01,19,19
CHALLAPATA,atencion de partos en servicios,cesareas,2014-01-01,5,5
CHARAGUA,atencion de partos en servicios,cesareas,2014-01-01,11,11
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-01-01,3,3
CLIZA,atencion de partos en servicios,cesareas,2014-01-01,9,9
COBIJA,atencion de partos en servicios,cesareas,2014-01-01,67,67
COCHABAMBA,atencion de partos en servicios,cesareas,2014-01-01,857,857
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-01-01,10,10
COMARAPA,atencion de partos en servicios,cesareas,2014-01-01,10,10
COROICO,atencion de partos en servicios,cesareas,2014-01-01,5,5
COTOCA,atencion de partos en servicios,cesareas,2014-01-01,1,1
EL ALTO,atencion de partos en servicios,cesareas,2014-01-01,277,277
EL TORNO,atencion de partos en servicios,cesareas,2014-01-01,36,36
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2014-01-01,1,1
ESCOMA,atencion de partos en servicios,cesareas,2014-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-01-01,55,55
HUANUNI,atencion de partos en servicios,cesareas,2014-01-01,13,13
LA PAZ,atencion de partos en servicios,cesareas,2014-01-01,763,763
LLALLAGUA,atencion de partos en servicios,cesareas,2014-01-01,3,3
MAGDALENA,atencion de partos en servicios,cesareas,2014-01-01,7,7
MAIRANA,atencion de partos en servicios,cesareas,2014-01-01,24,24
MIZQUE,atencion de partos en servicios,cesareas,2014-01-01,3,3
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-01-01,14,14
MONTERO,atencion de partos en servicios,cesareas,2014-01-01,175,175
ORURO,atencion de partos en servicios,cesareas,2014-01-01,307,307
PADILLA,atencion de partos en servicios,cesareas,2014-01-01,8,8
PAILON,atencion de partos en servicios,cesareas,2014-01-01,4,4
PORTACHUELO,atencion de partos en servicios,cesareas,2014-01-01,17,17
POTOSI,atencion de partos en servicios,cesareas,2014-01-01,101,101
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-01-01,4,4
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-01-01,26,26
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-01-01,26,26
PUNATA,atencion de partos en servicios,cesareas,2014-01-01,29,29
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-01-01,43,43
REYES,atencion de partos en servicios,cesareas,2014-01-01,5,5
RIBERALTA,atencion de partos en servicios,cesareas,2014-01-01,72,72
ROBORE,atencion de partos en servicios,cesareas,2014-01-01,9,9
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-01-01,21,21
SACABA,atencion de partos en servicios,cesareas,2014-01-01,26,26
SAMAIPATA,atencion de partos en servicios,cesareas,2014-01-01,6,6
SAN BORJA,atencion de partos en servicios,cesareas,2014-01-01,19,19
SAN CARLOS,atencion de partos en servicios,cesareas,2014-01-01,10,10
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-01-01,5,5
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-01-01,34,34
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-01-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-01-01,10,10
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2014-01-01,4,4
SAN JULIAN,atencion de partos en servicios,cesareas,2014-01-01,11,11
SAN LUCAS,atencion de partos en servicios,cesareas,2014-01-01,3,3
SAN MATIAS,atencion de partos en servicios,cesareas,2014-01-01,5,5
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-01-01,3,3
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2014-01-01,2,2
SANTA ANA,atencion de partos en servicios,cesareas,2014-01-01,14,14
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-01-01,2283,2283
SANTA ROSA,atencion de partos en servicios,cesareas,2014-01-01,7,7
SHINAOTA,atencion de partos en servicios,cesareas,2014-01-01,5,5
SUCRE,atencion de partos en servicios,cesareas,2014-01-01,237,237
TARIJA,atencion de partos en servicios,cesareas,2014-01-01,220,220
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-01-01,9,9
TRINIDAD,atencion de partos en servicios,cesareas,2014-01-01,158,158
TUPIZA,atencion de partos en servicios,cesareas,2014-01-01,14,14
UYUNI,atencion de partos en servicios,cesareas,2014-01-01,10,10
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-01-01,18,18
VILLA MONTES,atencion de partos en servicios,cesareas,2014-01-01,32,32
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-01-01,27,27
VILLAZON,atencion de partos en servicios,cesareas,2014-01-01,10,10
VINTO,atencion de partos en servicios,cesareas,2014-01-01,12,12
WARNES,atencion de partos en servicios,cesareas,2014-01-01,9,9
YACUIBA,atencion de partos en servicios,cesareas,2014-01-01,78,78
YAPACANI,atencion de partos en servicios,cesareas,2014-01-01,37,37
ACHACACHI,atencion de partos en servicios,cesareas,2014-02-01,6,6
AIQUILE,atencion de partos en servicios,cesareas,2014-02-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-02-01,21,21
BERMEJO,atencion de partos en servicios,cesareas,2014-02-01,27,27
