municipality,group,variable,month,l 25.6 Viviendas Evaluadas,TOTAL
ANZALDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,177,177
ARBIETO,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,30,30
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,123,123
AZURDUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,18,18
"CAIZA ""D""",chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,215,215
CKOCHAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,257,257
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,391,391
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,409,409
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,982,982
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,54,54
ICLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,41,41
LAS CARRERAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,2,2
MONTEAGUDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,84,84
MONTERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,1,1
MORO MORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,189,189
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,336,336
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,72,72
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,226,226
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,124,124
POJO (CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,193,193
POSTRER VALLE,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,18,18
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,30,30
PUERTO VILLARROEL,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,235,235
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,90,90
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,286,286
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,172,172
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,10,10
SAN BENITO,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,238,238
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,8,8
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,141,141
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,173,173
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,340,340
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,222,222
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,60,60
TOMINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,10,10
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,425,425
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,101,101
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,183,183
VINTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,251,251
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,268,268
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-01-01,183,183
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,150,150
AIQUILE,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,66,66
ANZALDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,348,348
ARBIETO,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,42,42
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,146,146
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,187,187
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,323,323
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,380,380
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,243,243
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,997,997
GUTIERREZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,62,62
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,55,55
LAGUNILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,30,30
MOJOCOYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,1,1
MONTERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,1,1
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,22,22
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,183,183
POCOATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,93,93
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,145,145
POJO (CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,158,158
POSTRER VALLE,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,35,35
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,61,61
PUNA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,169,169
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,82,82
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,344,344
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,210,210
SAN BENITO,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,206,206
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,15,15
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,116,116
SIPE SIPE,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,5,5
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,445,445
SUCRE,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,3,3
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,86,86
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,176,176
TARABUCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,106,106
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,255,255
