municipality,group,variable,month,l 25.8 Viviendas Roceadas,TOTAL
COMARAPA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,716,716
COTAGAITA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,58,58
CUATRO CAÑADAS,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,377,377
EL PUENTE(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,29,29
ENTRE RIOS TRJ,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,112,112
HUACARETA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,8,8
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,26,26
INCAHUASI,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,18,18
LAS CARRERAS,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,7,7
LURIBAY,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,3,3
MACHARETI,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,140,140
MIZQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,76,76
MOJOCOYA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,119,119
MONTEAGUDO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,11,11
OCURI,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,30,30
OMEREQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,869,869
PADCAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,3,3
PADILLA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,4,4
POCONA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,5,5
POJO (CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,82,82
POROMA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,1,1
PORONGO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,107,107
QUIRUSILLAS,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,3,3
RAVELO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,71,71
SACABA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,28,28
SAN BENITO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,12,12
SAN LORENZO(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,11,11
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,244,244
SANTIVAÑES,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,5,5
SAPAHAQUI,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,10,10
SICAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,30,30
SIPE SIPE,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,23,23
SOPACHUY,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,18,18
SUCRE,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,556,556
TAPACARI,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,5,5
TARABUCO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,92,92
TARIJA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,5,5
TARVITA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,22,22
TINGUIPAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,34,34
TOLATA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,2,2
TOMINA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,34,34
TORO TORO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,219,219
TOTORA(CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,16,16
TUPIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,5,5
URIONDO (A. CONCEPCION),chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,9,9
VALLEGRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,33,33
VILA VILA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,84,84
VILLA RIVERO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,23,23
VINTO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,6,6
VITICHI,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,13,13
YACUIBA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,212,212
YAMPARAEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,192,192
YOTALA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,179,179
YUNCHARA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,16,16
ZUDAÑEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,20,20
ACACIO,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,19,19
AIQUILE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,6,6
ALCALA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,7,7
ANZALDO,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,33,33
ARAMPAMPA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,7,7
ARANI,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,2,2
ARQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,50,50
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,1,1
BETANZOS,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,72,72
CABEZAS,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,725,725
CAMARGO,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,22,22
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,6,6
CAMIRI,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,36,36
CAPINOTA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,42,42
CHAQUI,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,3,3
CHARAGUA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,113,113
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,34,34
COCHABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,33,33
COLCAPIRHUA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,6,6
COMARAPA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,671,671
COTAGAITA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,14,14
CUATRO CAÑADAS,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,166,166
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,3,3
EL PUENTE(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,52,52
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,21,21
ICLA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,20,20
INCAHUASI,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,15,15
LAS CARRERAS,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,7,7
LURIBAY,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,8,8
MIZQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,116,116
MOJOCOYA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,3,3
MONTEAGUDO,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,26,26
OCURI,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,87,87
PADCAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,6,6
PADILLA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,32,32
PAILON,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,8,8
PAMPA GRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,7,7
POJO (CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,29,29
POROMA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,37,37
PORONGO,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,56,56
POSTRER VALLE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,26,26
PUCARA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,7,7
PUNA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,74,74
RAVELO,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,96,96
ROBORE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,48,48
SACABA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,41,41
SACABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,10,10
SAN LORENZO(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,18,18
SAN LUCAS,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,4,4
SANTIVAÑES,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,12,12
SICAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,10,10
SIPE SIPE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,13,13
SOPACHUY,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,39,39
SUCRE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,314,314
TACOPAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,2,2
TAPACARI,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,2,2
TARIJA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,4,4
TARVITA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,30,30
TINGUIPAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,6,6
TOLATA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,2,2
TOMAVE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,2,2
TOMINA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,10,10
TOTORA(CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,12,12
TRIGAL,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,80,80
URIONDO (A. CONCEPCION),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,17,17
VALLEGRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,11,11
VILLA CHARCAS,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,4,4
VILLA RIVERO,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,4,4
VILLA SERRANO,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,71,71
YACUIBA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,180,180
YAMPARAEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,108,108
YOTALA,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,70,70
ZUDAÑEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-09-01,7,7
ACACIO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,5,5
AIQUILE,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,44,44
ALCALA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,11,11
ANZALDO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,33,33
ARANI,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,9,9
ARBIETO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,70,70
ARQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,2,2
BETANZOS,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,102,102
BOYUIBE,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,387,387
CABEZAS,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,292,292
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,6,6
CAMIRI,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,32,32
CAPINOTA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,100,100
CHAQUI,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,24,24
CHARAGUA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,39,39
CKOCHAS,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,172,172
CLIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,2,2
COCHABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,5,5
COTAGAITA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,25,25
CUATRO CAÑADAS,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,402,402
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,2,2
CULPINA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,181,181
EL PUENTE(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,50,50
EL TORNO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,9,9
ENTRE RIOS TRJ,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,82,82
HUACARETA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,321,321
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,67,67
ICLA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,35,35
MAIRANA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,15,15
MIZQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,182,182
MOJOCOYA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,1,1
MONTEAGUDO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,1,1
MORO MORO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,80,80
OCURI,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,141,141
OMEREQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,181,181
PADILLA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,228,228
PAMPA GRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,32,32
PASORAPA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,3,3
POCONA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,3,3
POJO (CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,20,20
POROMA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,204,204
PRESTO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,55,55
SACABA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,29,29
SAIPINA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,14,14
SAN ANDRES,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,7,7
SAN LORENZO(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,8,8
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,579,579
SANTIVAÑES,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,45,45
SICAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,22,22
SOPACHUY,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,5,5
SUCRE,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,183,183
TACOPAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,2,2
TAPACARI,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,1,1
TARABUCO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,73,73
TARIJA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,14,14
TARVITA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,171,171
TOLATA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,3,3
TOMAVE,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,2,2
TOMINA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,115,115
TORO TORO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,180,180
TUPIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,10,10
VALLEGRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,25,25
VILLA CHARCAS,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,50,50
VILLA RIVERO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,5,5
VINTO,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,4,4
VITICHI,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,10,10
YACUIBA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,119,119
YAMPARAEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,101,101
YOTALA,chagas viviendas,l 25.8        viviendas roceadas,2012-10-01,179,179
ACACIO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,5,5
AIQUILE,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,73,73
ALCALA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,2,2
ANZALDO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,20,20
ARAMPAMPA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,46,46
ARANI,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,19,19
ARBIETO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,37,37
ARQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,16,16
BETANZOS,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,10,10
BOYUIBE,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,5,5
CABEZAS,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,10,10
CAMARGO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,30,30
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,3,3
CAPINOTA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,76,76
CHAQUI,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,6,6
CKOCHAS,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,36,36
CLIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,4,4
COCHABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,23,23
COLQUECHACA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,40,40
EL PUENTE(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,31,31
EL TORNO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,192,192
EL VILLAR,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,282,282
ENTRE RIOS TRJ,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,94,94
GUTIERREZ,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,430,430
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,20,20
ICLA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,15,15
INQUISIVI,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,17,17
MACHARETI,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,87,87
MORO MORO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,182,182
NUEVO MANOA (NUEVA ESPERANZA),chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,81,81
OCURI,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,90,90
PADCAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,6,6
PADILLA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,112,112
PAMPA GRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,4,4
POCOATA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,226,226
POJO (CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,134,134
POROMA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,53,53
QUILLACOLLO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,68,68
RAVELO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,32,32
SACABA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,23,23
SACABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,6,6
SAIPINA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,190,190
SAN BENITO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,23,23
SAN LORENZO(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,4,4
SAN LUCAS,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,9,9
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,156,156
SICAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,7,7
SIPE SIPE,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,51,51
SOPACHUY,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,8,8
TACOBAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,42,42
TAPACARI,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,4,4
TARABUCO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,353,353
TARATA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,1,1
TARIJA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,180,180
TOMAVE,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,4,4
TOMINA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,16,16
TOTORA(CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,6,6
TUPIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,5,5
URIONDO (A. CONCEPCION),chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,5,5
VALLEGRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,11,11
VILLA RIVERO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,2,2
VILLAZON,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,1,1
VINTO,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,8,8
VITICHI,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,11,11
YACUIBA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,94,94
YAMPARAEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,148,148
YOTALA,chagas viviendas,l 25.8        viviendas roceadas,2012-11-01,150,150
AIQUILE,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,53,53
ALCALA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,4,4
ANZALDO,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,222,222
ARAMPAMPA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,60,60
ARANI,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,59,59
ARBIETO,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,46,46
ARQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,4,4
AZURDUY,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,532,532
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,3,3
CAPINOTA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,46,46
CHIMORE,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,20,20
CKOCHAS,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,53,53
CLIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,8,8
COCHABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,2,2
COLCAPIRHUA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,2,2
EL PUENTE(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,25,25
EL TORNO,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,101,101
EL VILLAR,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,248,248
ENTRE RIOS TRJ,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,4,4
GUTIERREZ,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,98,98
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,4,4
INQUISIVI,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,31,31
MOJINETE,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,36,36
OMEREQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,74,74
PADCAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,8,8
PADILLA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,61,61
PASORAPA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,1,1
POJO (CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,76,76
POROMA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,21,21
PRESTO,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,1,1
QUILLACOLLO,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,109,109
QUIRUSILLAS,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,5,5
SACABA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,38,38
SAIPINA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,51,51
SAN JULIAN,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,540,540
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,79,79
SICAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,6,6
SIPE SIPE,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,27,27
SOPACHUY,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,14,14
SUCRE,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,83,83
TAPACARI,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,12,12
TARABUCO,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,537,537
TARIJA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,24,24
TOCO,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,1,1
TOLATA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,1,1
TOMINA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,14,14
TUPIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,35,35
VALLEGRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,5,5
VITICHI,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,20,20
YOTALA,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,67,67
ZUDAÑEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-12-01,5,5
