municipality,group,variable,month,l 25.8 Viviendas Roceadas,TOTAL
SUCRE,chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,113,113
TACOPAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,3,3
TAPACARI,chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,7,7
TARABUCO,chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,4,4
TARATA,chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,1,1
TOCO,chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,2,2
TOTORA(CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,4,4
VILLA RIVERO,chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,1,1
VINTO,chagas viviendas,l 25.8        viviendas roceadas,2012-04-01,4,4
ALCALA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,9,9
ARAMPAMPA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,21,21
ARQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,7,7
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,6,6
CAPINOTA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,105,105
CLIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,1,1
COLCAPIRHUA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,3,3
COTAGAITA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,1,1
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,3,3
EL PUENTE(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,9,9
ENTRE RIOS TRJ,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,64,64
INCAHUASI,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,15,15
LURIBAY,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,9,9
MECAPACA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,7,7
MORO MORO,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,30,30
OMEREQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,2,2
PADCAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,16,16
PAMPA GRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,23,23
POCONA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,2,2
POJO (CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,46,46
POSTRER VALLE,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,6,6
PRESTO,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,14,14
SACABA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,18,18
SAIPINA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,5,5
SAN BENITO,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,11,11
SAN LORENZO(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,8,8
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,1362,1362
SANTIVAÑES,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,57,57
SICAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,20,20
SOPACHUY,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,15,15
SUCRE,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,393,393
TACOPAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,1,1
TAPACARI,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,1,1
TARIJA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,3,3
TOCO,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,1,1
TOLATA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,2,2
TOMAVE,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,18,18
TOMINA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,18,18
TUPIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,6,6
VILLA RIVERO,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,1,1
VILLAZON,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,3,3
VINTO,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,2,2
VITICHI,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,13,13
YUNCHARA,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,2,2
ZUDAÑEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-05-01,7,7
AIQUILE,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,479,479
ALCALA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,15,15
ARAMPAMPA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,8,8
ARQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,93,93
BOYUIBE,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,3,3
CABEZAS,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,83,83
CAMARGO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,3,3
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,6,6
CAPINOTA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,35,35
CHARAGUA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,789,789
CLIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,2,2
COCHABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,3,3
COTAGAITA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,14,14
CUATRO CAÑADAS,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,15,15
EL PUENTE(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,25,25
EL VILLAR,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,19,19
ENTRE RIOS TRJ,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,129,129
GUTIERREZ,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,25,25
HUACARETA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,7,7
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,35,35
ICLA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,16,16
INCAHUASI,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,104,104
LURIBAY,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,28,28
MECAPACA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,2,2
MIZQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,3,3
MONTEAGUDO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,45,45
OMEREQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,1,1
PADCAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,5,5
PADILLA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,242,242
PALCA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,8,8
PAMPA GRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,31,31
PASORAPA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,5,5
POCONA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,2,2
POJO (CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,3,3
POROMA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,24,24
PRESTO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,30,30
QUIRUSILLAS,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,2,2
RAVELO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,50,50
SAN BENITO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,9,9
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,37,37
SANTA ANA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,3,3
SAPAHAQUI,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,83,83
SOPACHUY,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,18,18
SUCRE,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,183,183
TACOPAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,1,1
TAPACARI,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,2,2
TARABUCO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,103,103
TARATA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,1,1
TARIJA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,27,27
TARVITA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,33,33
TIQUIPAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,16,16
TORO TORO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,91,91
TOTORA(CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,4,4
TUPIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,12,12
VILA VILA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,6,6
VILLA RIVERO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,7,7
VILLA SERRANO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,215,215
VINTO,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,6,6
VITICHI,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,2,2
YAMPARAEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,125,125
YOTALA,chagas viviendas,l 25.8        viviendas roceadas,2012-06-01,82,82
AIQUILE,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,885,885
ALCALA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,15,15
ARANI,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,8,8
ARQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,4,4
BETANZOS,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,262,262
CABEZAS,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,185,185
CAIROMA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,17,17
CAMARGO,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,6,6
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,8,8
CAPINOTA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,62,62
CHARAGUA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,200,200
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,17,17
CKOCHAS,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,177,177
CLIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,3,3
COCHABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,21,21
COLCAPIRHUA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,6,6
COTAGAITA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,5,5
CUATRO CAÑADAS,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,14,14
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,1,1
CULPINA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,5,5
EL PUENTE(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,50,50
EL VILLAR,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,26,26
GUTIERREZ,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,91,91
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,56,56
ICLA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,18,18
LURIBAY,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,55,55
MIZQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,97,97
MOJOCOYA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,85,85
MONTEAGUDO,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,25,25
OCURI,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,24,24
OMEREQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,107,107
PADILLA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,12,12
PAILON,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,150,150
PAMPA GRANDE,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,12,12
PASORAPA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,8,8
POCONA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,10,10
POJO (CBBA),chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,75,75
POROMA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,24,24
PRESTO,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,1,1
RAVELO,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,119,119
SACABA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,49,49
SACABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,2,2
SAIPINA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,6,6
SAN LORENZO(TJA),chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,5,5
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,1,1
SANTIVAÑES,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,35,35
SAPAHAQUI,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,9,9
SICAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,3,3
SIPE SIPE,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,18,18
SOPACHUY,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,6,6
SUCRE,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,398,398
TAPACARI,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,26,26
TARABUCO,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,9,9
TARIJA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,12,12
TARVITA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,59,59
TIQUIPAYA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,4,4
TOMINA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,37,37
TORO TORO,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,218,218
TUPIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,10,10
VILA VILA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,132,132
VILLA RIVERO,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,1,1
VILLA SERRANO,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,74,74
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,101,101
VITICHI,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,5,5
YACUIBA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,228,228
YAMPARAEZ,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,191,191
YOTALA,chagas viviendas,l 25.8        viviendas roceadas,2012-07-01,102,102
AIQUILE,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,23,23
ALCALA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,2,2
ANZALDO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,22,22
ARANI,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,11,11
ARQUE,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,18,18
BETANZOS,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,80,80
CAMARGO,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,11,11
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,8,8
CAPINOTA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,22,22
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,14,14
CLIZA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,3,3
COCHABAMBA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,85,85
COLCAPIRHUA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,6,6
COLQUECHACA,chagas viviendas,l 25.8        viviendas roceadas,2012-08-01,150,150
