municipality,group,variable,month,l 25.7 Viviendas Positivas,TOTAL
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,6,6
ARBIETO,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,5,5
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,5,5
"CAIZA ""D""",chagas viviendas,l 25.7        viviendas positivas,2012-01-01,5,5
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,5,5
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-01-01,10,10
LAS CARRERAS,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,2,2
MONTEAGUDO,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,12,12
MORO MORO,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,3,3
OMEREQUE,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,1,1
PASORAPA,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,3,3
POJO (CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-01-01,3,3
PUERTO VILLARROEL,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,235,235
QUIRUSILLAS,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,3,3
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,1,1
SAN BENITO,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,5,5
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,2,2
SICAYA,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,1,1
TIQUIPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,2,2
TOTORA(CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-01-01,4,4
VILLA RIVERO,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,5,5
VINTO,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,2,2
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-01-01,7,7
AIQUILE,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,7,7
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,2,2
ANZALDO,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,4,4
ARBIETO,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,4,4
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.7        viviendas positivas,2012-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.7        viviendas positivas,2012-02-01,2,2
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,3,3
COLCAPIRHUA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,1,1
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,7,7
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-02-01,10,10
LAGUNILLAS,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,15,15
MOJOCOYA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,1,1
PASORAPA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,3,3
POJO (CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-02-01,14,14
PUCARA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,1,1
PUNA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,6,6
QUIRUSILLAS,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,2,2
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,4,4
SAN BENITO,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,4,4
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,2,2
SIPE SIPE,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,5,5
SOPACHUY,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,2,2
TAPACARI,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,5,5
TARABUCO,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,35,35
TARATA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,3,3
TARIJA,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,1,1
TOMAVE,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,6,6
TOTORA(CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-02-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,l 25.7        viviendas positivas,2012-02-01,2,2
VALLEGRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,1,1
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,3,3
YAMPARAEZ,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,116,116
ZUDAÑEZ,chagas viviendas,l 25.7        viviendas positivas,2012-02-01,2,2
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,7,7
ANZALDO,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
ARAMPAMPA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,2,2
BETANZOS,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,121,121
BOYUIBE,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,11,11
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,5,5
COLCAPIRHUA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
COMARAPA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,18,18
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.7        viviendas positivas,2012-03-01,5,5
