municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,11,11
ACHACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,53,53
ACHOCALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
AIQUILE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,29,29
ALALAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
ALCALA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,5,5
ALTO BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,24,24
ANCORAIMES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,14,14
ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
ANTEQUERA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
ANZALDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
APOLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,25,25
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,6,6
ARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,6,6
ARBIETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,12,12
ARQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,24,24
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,56,56
ATOCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,5,5
AUCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
AYATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,16,16
AYO AYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,26,26
AZURDUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,18,18
BATALLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,17,17
BAURES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,7,7
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,41,41
BETANZOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,32,32
BOLIVAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,13,13
BOYUIBE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,6,6
BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
CABEZAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,21,21
CAIROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,14,14
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,8,8
CAJUATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,7,7
CALACOTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
CALAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,11,11
CAMARGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,32,32
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
CAMIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,69,69
CAPINOTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,27,27
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,11,11
CARACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,25,25
CARANAVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,83,83
CARAPARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
CARIPUYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,25,25
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
CATACORA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,1,1
CHACARILLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
CHALLAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,55,55
CHAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
CHARAGUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,56,56
CHARAÑA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,1,1
CHAYANTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,22,22
CHIMORE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,18,18
CHIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
CHOQUE COTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,22,22
CHUMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,14,14
CKOCHAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,32,32
CLIZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,23,23
COBIJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,171,171
COCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,23,23
COCHABAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,929,929
COIPASA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
COLCAPIRHUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,42,42
"COLCHA ""K""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
COLLANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,6,6
COLOMI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,27,27
COLPA BELGICA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,8,8
COLQUECHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,45,45
COLQUENCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,11,11
COLQUIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,31,31
COMANCHE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
COMARAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,30,30
COMBAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
CONCEPCION,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,24,24
COPACABANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,15,15
CORIPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,18,18
CORO CORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,7,7
COROICO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,24,24
CORQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,8,8
COTAGAITA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,26,26
COTOCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,110,110
CUATRO CAÑADAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,19,19
CUEVO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
CULPINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,21,21
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
CURVA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,5,5
DESAGUADERO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,10,10
EL ALTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,1385,1385
EL CHORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
EL PUENTE(STC),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,10,10
EL PUENTE(TJA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,14,14
EL TORNO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,87,87
EL VILLAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
ENTRE RIOS TRJ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,24,24
ENTRE RIOS CBBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,35,35
ESCOMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,6,6
EUCALIPTUS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,1,1
EXALTACION,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,14,14
FILADELFIA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,12,12
GUANAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,12,12
GUAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,8,8
GUAYARAMERIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,133,133
GUTIERREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,31,31
HUACARETA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,10,10
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,8,8
HUACHACALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
HUANUNI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,31,31
HUARACAJE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
HUARINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
HUAYLLAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
HUMANATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
ICHOCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
ICLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,14,14
INCAHUASI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,15,15
INQUISIVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,21,21
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,14,14
IXIAMAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
JESUS DE MACHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,19,19
LA ASUNTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,51,51
LA GUARDIA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,51,51
LA PAZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,1139,1139
LAGUNILLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
LAJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,16,16
LAS CARRERAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,10,10
LLALLAGUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,65,65
LLICA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
LORETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,13,13
LURIBAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
MACHACAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
MACHARETI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,5,5
MAGDALENA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
MAIRANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,25,25
MALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,3,3
MAPIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,24,24
MECAPACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,10,10
MINEROS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,19,19
MIZQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,43,43
MOCOMOCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,27,27
MOJOCOYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
MONTEAGUDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,64,64
MONTERO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,318,318
MORO MORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
MOROCHATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,18,18
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
OCURI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,23,23
OKINAWA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,11,11
OMEREQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,5,5
ORURO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,492,492
PADCAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,11,11
PADILLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,28,28
PAILON,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,33,33
PALCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,11,11
PALOS BLANCOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,27,27
PAMPA AULLAGAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
PAMPA GRANDE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,12,12
PAPEL PAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,6,6
PASORAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,1,1
PATACAMAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,19,19
PAZÑA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,10,10
PELECHUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
POCOATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,30,30
POCONA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,10,10
POJO (CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,23,23
POOPO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,7,7
PORCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,18,18
POROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,12,12
PORONGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
PORTACHUELO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,36,36
PORVENIR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,6,6
POTOSI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,331,331
PRESTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,11,11
PUCARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,28,28
PUERTO ACOSTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,17,17
PUERTO CARABUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,12,12
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,10,10
PUERTO PEREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
PUERTO QUIJARRO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
PUERTO RICO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,9,9
PUERTO SILES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,2,2
PUERTO SUAREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,22,22
PUERTO VILLARROEL,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,94,94
PUNA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,17,17
PUNATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,91,91
QUIABAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,4,4
QUILLACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,134,134
QUIME,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,6,6
RAVELO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,25,25
REYES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2012-01-01,28,28
