municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,14,14
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,71,71
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,1,1
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,10,10
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,2,2
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,7,7
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,12,12
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,16,16
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,4,4
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,9,9
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,18,18
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,47,47
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,23,23
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,26,26
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,30,30
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,35,35
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,21,21
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,10,10
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,15,15
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2012-01-01,51,51
