municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,11,11
ACHACACHI,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,54,54
ACHOCALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,1,1
AIQUILE,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,7,7
ALALAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,3,3
ALCALA,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,5,5
ALTO BENI,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,24,24
ANCORAIMES,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,14,14
ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,3,3
ANTEQUERA,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,4,4
ANZALDO,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,7,7
APOLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,27,27
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,1,1
ARANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,8,8
ARBIETO,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,12,12
ARQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,24,24
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,24,24
ATOCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,5,5
AUCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,2,2
AYATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,16,16
AYO AYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,29,29
AZURDUY,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,18,18
BATALLAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,17,17
BAURES,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,3,3
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,2,2
BELEN DE URMIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,1,1
BERMEJO,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,41,41
BETANZOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,35,35
BOLIVAR,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,13,13
BOYUIBE,micronutrientes,mujeres puerperas con dosis completa de hierro,2012-01-01,6,6
