municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,41,41
ACHACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,196,196
ACHOCALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,268,268
AIQUILE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,202,202
ALALAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,15,15
ALCALA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,22,22
ALTO BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,103,103
ANCORAIMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,71,71
ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,40,40
ANTEQUERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,10,10
ANZALDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,16,16
APOLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,92,92
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,39,39
ARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,74,74
ARBIETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,298,298
ARQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,123,123
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,98,98
ATOCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,72,72
AUCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,36,36
AYATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,67,67
AYO AYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,82,82
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,262,262
BATALLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,15,15
BAURES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,41,41
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,8,8
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,14,14
