municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,20,20
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,36,36
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,21,21
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,3,3
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,3,3
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,4,4
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,19,19
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,3,3
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,11,11
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,18,18
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,3,3
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,14,14
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,35,35
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,11,11
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,28,28
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,2,2
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,5,5
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,19,19
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,10,10
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,20,20
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2023-01-01,1,1
