municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,1,1
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,59,59
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,50,50
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,23,23
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,4,4
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,2,2
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,12,12
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,13,13
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,3,3
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,3,3
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,6,6
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,35,35
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,1,1
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,18,18
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,34,34
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,12,12
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,58,58
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,11,11
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,6,6
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,8,8
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,35,35
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,11,11
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,28,28
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,3,3
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,3,3
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,1,1
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,5,5
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,72,72
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,26,26
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,7,7
BOLPEBRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,2,2
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,10,10
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,28,28
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,40,40
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,20,20
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,12,12
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,13,13
CALACOTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,4,4
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,15,15
CAMARGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,21,21
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,2,2
CAMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,50,50
CAPINOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,35,35
CAQUIAVIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,7,7
CARACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,20,20
CARANAVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,62,62
CARAPARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,15,15
CARIPUYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,12,12
CARMEN RIVERO TORREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,15,15
CATACORA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,2,2
CHACARILLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,2,2
CHALLAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,59,59
CHAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,11,11
CHARAGUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,54,54
CHARAÑA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,4,4
CHAYANTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,12,12
CHIMORE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,38,38
CHIPAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,1,1
CHOQUE COTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,3,3
CHUA COCANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,16,16
CHUMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,10,10
CKOCHAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,16,16
CLIZA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,30,30
COBIJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,87,87
COCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,26,26
COCHABAMBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,805,805
COLCAPIRHUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,62,62
"COLCHA ""K""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,17,17
COLLANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,2,2
COLOMI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2023-01-01,54,54
