municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,19,19
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,91,91
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,157,157
AIQUILE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,108,108
ALALAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,10,10
ALCALA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,13,13
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,56,56
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,52,52
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,17,17
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,6,6
ANZALDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,10,10
APOLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,46,46
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,22,22
ARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,40,40
ARBIETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,150,150
ARQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,55,55
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,80,80
ATOCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,43,43
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,21,21
AYATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,27,27
AYO AYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,28,28
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,118,118
BATALLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,9,9
BAURES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,22,22
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2023-01-01,10,10
