municipality,group,variable,month,Niñas(os) menores de 6 meses con dosis completa de hierro,TOTAL
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,8,8
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,12,12
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,5,5
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,32,32
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
HUACARAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,2,2
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,62,62
LORETO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,4,4
PALCA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,7,7
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,3,3
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,6,6
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,3,3
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,33,33
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,14,14
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,8,8
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,10,10
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,4,4
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,35,35
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,37,37
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,2,2
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,3,3
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,4,4
PUERTO VILLARROEL,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,2,2
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,6,6
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,6,6
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,3,3
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,1,1
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,7,7
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,5,5
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,3,3
YACUIBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,1,1
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,4,4
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,12,12
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,36,36
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,18,18
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,5,5
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,3,3
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,8,8
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,2,2
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,22,22
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,6,6
VINTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,1,1
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,5,5
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,2,2
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,24,24
COLQUIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,3,3
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,19,19
EL TORNO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
FERNANDEZ ALONSO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
HUACARAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,5,5
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,20,20
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
PAILON,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
