municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
ACHACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,44,44
ACHOCALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,12,12
AIQUILE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,32,32
ALALAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
ALCALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
ALTO BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
ANCORAIMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,10,10
ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
ANZALDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
APOLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,22,22
ARAMPAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
ARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
ARBIETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,10,10
ARQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,31,31
ATOCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
AUCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
AYATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
AYO AYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,24,24
AZURDUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
BATALLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,25,25
