municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
ACACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,4,4
ACHACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,49,49
ACHOCALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,12,12
AIQUILE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,18,18
ALALAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,1,1
ALCALA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,2,2
ALTO BENI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,1,1
ANCORAIMES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,4,4
ANTEQUERA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,3,3
ANZALDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,8,8
APOLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,7,7
ARAMPAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,2,2
ARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,8,8
ARBIETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,11,11
ARQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,5,5
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,19,19
ATOCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,13,13
AYATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,1,1
AYO AYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,11,11
AZURDUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,1,1
BATALLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,10,10
BAURES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,5,5
BELLA FLOR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,1,1
BERMEJO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,44,44
BETANZOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,33,33
BOLIVAR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,4,4
BOYUIBE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,6,6
BUENA VISTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,14,14
CABEZAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,39,39
CAIROMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,10,10
"CAIZA ""D""",micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,10,10
CAJUATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,7,7
CALACOTO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,14,14
CAMARGO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,5,5
CAMIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,15,15
CAPINOTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,62,62
CAQUIAVIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,6,6
CARACOLLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,30,30
CARANAVI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,33,33
CARAPARI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,10,10
CARIPUYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,5,5
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,8,8
CHACARILLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2023-01-01,3,3
