municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACHACACHI,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,44,44
ACHOCALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,14,14
AIQUILE,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,33,33
ALALAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,4,4
ALCALA,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,2,2
ALTO BENI,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,5,5
ANCORAIMES,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,10,10
ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,2,2
ANZALDO,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,8,8
APOLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,23,23
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,2,2
ARANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,3,3
ARBIETO,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,10,10
ARQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,8,8
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,59,59
ATOCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,9,9
AUCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,3,3
AYATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,7,7
AYO AYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,25,25
AZURDUY,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,7,7
BATALLAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,25,25
BAURES,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,6,6
BERMEJO,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,44,44
BETANZOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2023-01-01,28,28
