municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,40,40
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,41,41
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,19,19
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,1,1
ALCALA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,2,2
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,5,5
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,11,11
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,14,14
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,36,36
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,11,11
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,11,11
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,45,45
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,5,5
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,22,22
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,1,1
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,10,10
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,6,6
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,24,24
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,9,9
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,19,19
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,10,10
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,53,53
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,35,35
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,8,8
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,6,6
CABEZAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,21,21
CAIROMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,13,13
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,11,11
CAJUATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,18,18
CALACOTO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
CALAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,15,15
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,12,12
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
CAMIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,65,65
CAPINOTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,31,31
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,9,9
CARACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,31,31
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,32,32
CARAPARI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,15,15
CARIPUYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,6,6
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,3,3
CATACORA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,2,2
CHACARILLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,55,55
CHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,16,16
CHARAGUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,45,45
CHARAÑA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,13,13
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,48,48
CHIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,1,1
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,19,19
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,14,14
CKOCHAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,8,8
CLIZA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,38,38
COBIJA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,130,130
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,17,17
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,509,509
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,51,51
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,16,16
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,37,37
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,5,5
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,19,19
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,9,9
COLQUIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,29,29
COMANCHE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,2,2
COMARAPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,31,31
CONCEPCION,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,18,18
COPACABANA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,12,12
CORIPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,12,12
CORO CORO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,9,9
COROICO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,19,19
CORQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
COTAGAITA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,23,23
COTOCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,102,102
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,37,37
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,3,3
CUEVO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,8,8
CULPINA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,17,17
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,2,2
DESAGUADERO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,10,10
EL ALTO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,938,938
EL CHORO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,12,12
EL TORNO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,60,60
EL VILLAR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,22,22
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,95,95
ESCOMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,6,6
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,6,6
EXALTACION,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,3,3
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,78,78
FILADELFIA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,17,17
GAIOC JATUN AYLLU YURA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,8,8
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,26,26
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,12,12
GUANAY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,15,15
GUAQUI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,8,8
GUAYARAMERIN,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,31,31
GUTIERREZ,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,6,6
HUACARAJE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,9,9
HUACARETA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,15,15
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,3,3
HUACHACALLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,2,2
HUANUNI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,22,22
HUARINA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,13,13
HUATAJATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,1,1
HUAYLLAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,2,2
HUMANATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
ICHOCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,4,4
ICLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,12,12
INCAHUASI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2023-01-01,16,16
