municipality,group,variable,month,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida1,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida2,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida3,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida4,TOTAL
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2021-03-01,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2021-05-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA MONTES,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2021-05-01,0.0,0.0,1.0,0.0,0.0,1.0
EL TORNO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2021-07-01,0.0,1.0,0.0,0.0,0.0,1.0
EL TORNO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2021-08-01,0.0,0.0,1.0,0.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2021-09-01,0.0,0.0,1.0,0.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2021-10-01,0.0,0.0,0.0,1.0,0.0,1.0
