municipality,group,variable,month,N° de Interrupciones Legales del Embarazo por Violencia Sexual,N° de Interrupciones Legales del Embarazo por Violencia Sexual1,N° de Interrupciones Legales del Embarazo por Violencia Sexual2,N° de Interrupciones Legales del Embarazo por Violencia Sexual3,N° de Interrupciones Legales del Embarazo por Violencia Sexual4,TOTAL
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-01-01,0,1,0,0,0,1
TUPIZA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-01-01,0,2,0,0,0,2
TUPIZA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-02-01,0,1,0,0,0,1
RIBERALTA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-03-01,3,2,0,0,0,5
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-03-01,0,1,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-04-01,1,1,1,0,0,3
GUAYARAMERIN,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-04-01,0,1,0,0,0,1
GUTIERREZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-04-01,5,0,0,0,0,5
HUARACAJE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-04-01,21,0,8,0,0,29
PADILLA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-04-01,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-04-01,1,0,0,0,0,1
COBIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-05-01,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-05-01,1,0,1,0,0,2
ORURO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-05-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-05-01,397,0,0,0,0,397
TUPIZA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-05-01,0,1,0,0,0,1
UYUNI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-05-01,1,0,0,0,0,1
PUERTO QUIJARRO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-06-01,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-06-01,1,1,0,0,0,2
CAMIRI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-07-01,2,0,0,0,0,2
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-07-01,1,0,0,0,0,1
LA PAZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-07-01,0,1,3,0,0,4
SAN CARLOS,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-07-01,4,0,0,0,0,4
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-07-01,116,0,0,0,0,116
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-07-01,0,0,1,0,0,1
YAPACANI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-07-01,0,0,2,0,0,2
RIBERALTA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-08-01,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-08-01,0,2,0,0,0,2
COBIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-09-01,1,1,0,0,0,2
RIBERALTA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-09-01,0,1,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-09-01,1,0,0,0,0,1
PAMPA GRANDE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-10-01,15,10,0,0,0,25
REYES,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-10-01,1,0,0,0,0,1
RIBERALTA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-10-01,1,0,0,0,0,1
SAN PEDRO DE MACHA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-10-01,1,0,0,0,0,1
YAPACANI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-10-01,0,0,2,0,0,2
CAMARGO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-11-01,0,1,0,0,0,1
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-11-01,0,1,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-11-01,1,0,0,0,0,1
TRINIDAD,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-11-01,10,0,0,0,0,10
COBIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-12-01,1,1,0,0,0,2
GUAYARAMERIN,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-12-01,0,1,0,0,0,1
LLALLAGUA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-12-01,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2021-12-01,0,2,0,0,0,2
