municipality,group,variable,month,Nacidos muertos,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
CAMARGO,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
CAMIRI,atencion de partos en servicio,nacidos muertos,2009-01-01,3,3
CARANAVI,atencion de partos en servicio,nacidos muertos,2009-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
CHALLAPATA,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
CHAYANTA,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos,2009-01-01,17,17
CONCEPCION,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
COROICO,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
CULPINA,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
EL ALTO,atencion de partos en servicio,nacidos muertos,2009-01-01,24,24
EL VILLAR,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
ENTRE RIOS,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
JESUS DE MACHACA,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos,2009-01-01,24,24
LLALLAGUA,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
MAIRANA,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
MAPIRI,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos,2009-01-01,3,3
ORURO,atencion de partos en servicio,nacidos muertos,2009-01-01,13,13
PATACAMAYA,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
POROMA,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos,2009-01-01,7,7
QUILLACOLLO,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
REYES,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
RIBERALTA,atencion de partos en servicio,nacidos muertos,2009-01-01,3,3
RURRENABAQUE,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
SACABA,atencion de partos en servicio,nacidos muertos,2009-01-01,2,2
SAN CARLOS,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
SAN JULIAN,atencion de partos en servicio,nacidos muertos,2009-01-01,1,1
