municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
ACHACACHI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,53,53
ACHOCALLA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
AIQUILE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,33,33
ALALAY,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
ALCALA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
ANCORAIMES,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,68,68
ANDAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
ANTEQUERA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
ANZALDO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
APOLO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,18,18
ARAMPAMPA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
ARANI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,15,15
ARBIETO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
ARQUE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,14,14
ASCENCION DE GUARAYOS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,45,45
ATOCHA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
AUCAPATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
AYATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
AYO AYO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,32,32
AZURDUY,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,19,19
BATALLAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,22,22
BAURES,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
BELEN DE URMIRI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
BERMEJO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,31,31
BETANZOS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,42,42
BOLIVAR,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
BUENA VISTA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,21,21
CABEZAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
CAIROMA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,23,23
"CAIZA ""D""",atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
CAJUATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,16,16
CALACOTO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
CALAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
CAMARGO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,23,23
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
CAMIRI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,40,40
CAPINOTA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,14,14
