municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicio,vaginales,2009-01-01,7,7
ACHACACHI,atencion de partos en servicio,vaginales,2009-01-01,25,25
ACHOCALLA,atencion de partos en servicio,vaginales,2009-01-01,4,4
AIQUILE,atencion de partos en servicio,vaginales,2009-01-01,28,28
ALALAY,atencion de partos en servicio,vaginales,2009-01-01,3,3
ALCALA,atencion de partos en servicio,vaginales,2009-01-01,1,1
ANCORAIMES,atencion de partos en servicio,vaginales,2009-01-01,5,5
ANDAMARCA,atencion de partos en servicio,vaginales,2009-01-01,1,1
ANZALDO,atencion de partos en servicio,vaginales,2009-01-01,4,4
ARAMPAMPA,atencion de partos en servicio,vaginales,2009-01-01,2,2
ARANI,atencion de partos en servicio,vaginales,2009-01-01,10,10
ARBIETO,atencion de partos en servicio,vaginales,2009-01-01,2,2
ARQUE,atencion de partos en servicio,vaginales,2009-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicio,vaginales,2009-01-01,37,37
ATOCHA,atencion de partos en servicio,vaginales,2009-01-01,5,5
AYO AYO,atencion de partos en servicio,vaginales,2009-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,vaginales,2009-01-01,18,18
AZURDUY,atencion de partos en servicio,vaginales,2009-01-01,3,3
BATALLAS,atencion de partos en servicio,vaginales,2009-01-01,3,3
BAURES,atencion de partos en servicio,vaginales,2009-01-01,3,3
BERMEJO,atencion de partos en servicio,vaginales,2009-01-01,35,35
BETANZOS,atencion de partos en servicio,vaginales,2009-01-01,23,23
BOLIVAR,atencion de partos en servicio,vaginales,2009-01-01,1,1
BOYUIBE,atencion de partos en servicio,vaginales,2009-01-01,2,2
BUENA VISTA,atencion de partos en servicio,vaginales,2009-01-01,13,13
CABEZAS,atencion de partos en servicio,vaginales,2009-01-01,13,13
CAIROMA,atencion de partos en servicio,vaginales,2009-01-01,7,7
"CAIZA ""D""",atencion de partos en servicio,vaginales,2009-01-01,3,3
CAJUATA,atencion de partos en servicio,vaginales,2009-01-01,13,13
CALAMARCA,atencion de partos en servicio,vaginales,2009-01-01,1,1
CAMARGO,atencion de partos en servicio,vaginales,2009-01-01,14,14
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,vaginales,2009-01-01,1,1
CAMIRI,atencion de partos en servicio,vaginales,2009-01-01,47,47
CAPINOTA,atencion de partos en servicio,vaginales,2009-01-01,16,16
CARACOLLO,atencion de partos en servicio,vaginales,2009-01-01,13,13
CARANAVI,atencion de partos en servicio,vaginales,2009-01-01,59,59
CARAPARI,atencion de partos en servicio,vaginales,2009-01-01,14,14
CARIPUYO,atencion de partos en servicio,vaginales,2009-01-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicio,vaginales,2009-01-01,5,5
CHALLAPATA,atencion de partos en servicio,vaginales,2009-01-01,34,34
CHAQUI,atencion de partos en servicio,vaginales,2009-01-01,1,1
CHARAGUA,atencion de partos en servicio,vaginales,2009-01-01,52,52
CHAYANTA,atencion de partos en servicio,vaginales,2009-01-01,13,13
CHIMORE,atencion de partos en servicio,vaginales,2009-01-01,19,19
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,vaginales,2009-01-01,20,20
CHUMA,atencion de partos en servicio,vaginales,2009-01-01,3,3
CLIZA,atencion de partos en servicio,vaginales,2009-01-01,20,20
COBIJA,atencion de partos en servicio,vaginales,2009-01-01,72,72
COCHABAMBA,atencion de partos en servicio,vaginales,2009-01-01,942,942
COIPASA,atencion de partos en servicio,vaginales,2009-01-01,1,1
COLCAPIRHUA,atencion de partos en servicio,vaginales,2009-01-01,31,31
"COLCHA ""K""",atencion de partos en servicio,vaginales,2009-01-01,1,1
COLLANA,atencion de partos en servicio,vaginales,2009-01-01,3,3
COLOMI,atencion de partos en servicio,vaginales,2009-01-01,24,24
COLPA BELGICA,atencion de partos en servicio,vaginales,2009-01-01,1,1
COLQUECHACA,atencion de partos en servicio,vaginales,2009-01-01,6,6
COLQUIRI,atencion de partos en servicio,vaginales,2009-01-01,8,8
COMARAPA,atencion de partos en servicio,vaginales,2009-01-01,20,20
CONCEPCION,atencion de partos en servicio,vaginales,2009-01-01,25,25
COPACABANA,atencion de partos en servicio,vaginales,2009-01-01,12,12
CORIPATA,atencion de partos en servicio,vaginales,2009-01-01,7,7
CORO CORO,atencion de partos en servicio,vaginales,2009-01-01,2,2
COROICO,atencion de partos en servicio,vaginales,2009-01-01,10,10
COTAGAITA,atencion de partos en servicio,vaginales,2009-01-01,16,16
COTOCA,atencion de partos en servicio,vaginales,2009-01-01,40,40
CUATRO CAÑADAS,atencion de partos en servicio,vaginales,2009-01-01,14,14
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicio,vaginales,2009-01-01,1,1
CUEVO,atencion de partos en servicio,vaginales,2009-01-01,3,3
CULPINA,atencion de partos en servicio,vaginales,2009-01-01,15,15
CURAHUARA DE CARANGAS,atencion de partos en servicio,vaginales,2009-01-01,2,2
DESAGUADERO,atencion de partos en servicio,vaginales,2009-01-01,6,6
EL ALTO,atencion de partos en servicio,vaginales,2009-01-01,941,941
EL CHORO,atencion de partos en servicio,vaginales,2009-01-01,2,2
EL PUENTE(STC),atencion de partos en servicio,vaginales,2009-01-01,8,8
EL PUENTE(TJA),atencion de partos en servicio,vaginales,2009-01-01,14,14
EL TORNO,atencion de partos en servicio,vaginales,2009-01-01,46,46
EL VILLAR,atencion de partos en servicio,vaginales,2009-01-01,7,7
ENTRE RIOS,atencion de partos en servicio,vaginales,2009-01-01,20,20
ENTRE RIOS,atencion de partos en servicio,vaginales,2009-01-01,24,24
EUCALIPTUS,atencion de partos en servicio,vaginales,2009-01-01,3,3
EXALTACION,atencion de partos en servicio,vaginales,2009-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicio,vaginales,2009-01-01,16,16
FILADELFIA,atencion de partos en servicio,vaginales,2009-01-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicio,vaginales,2009-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicio,vaginales,2009-01-01,1,1
GUANAY,atencion de partos en servicio,vaginales,2009-01-01,11,11
GUAQUI,atencion de partos en servicio,vaginales,2009-01-01,4,4
GUAYARAMERIN,atencion de partos en servicio,vaginales,2009-01-01,76,76
GUTIERREZ,atencion de partos en servicio,vaginales,2009-01-01,7,7
HUACARETA,atencion de partos en servicio,vaginales,2009-01-01,6,6
HUACHACALLA,atencion de partos en servicio,vaginales,2009-01-01,4,4
HUANUNI,atencion de partos en servicio,vaginales,2009-01-01,22,22
HUARACAJE,atencion de partos en servicio,vaginales,2009-01-01,5,5
HUAYLLAMARCA,atencion de partos en servicio,vaginales,2009-01-01,1,1
ICLA,atencion de partos en servicio,vaginales,2009-01-01,5,5
INCAHUASI,atencion de partos en servicio,vaginales,2009-01-01,17,17
INQUISIVI,atencion de partos en servicio,vaginales,2009-01-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,vaginales,2009-01-01,11,11
IXIAMAS,atencion de partos en servicio,vaginales,2009-01-01,4,4
JESUS DE MACHACA,atencion de partos en servicio,vaginales,2009-01-01,5,5
LA ASUNTA,atencion de partos en servicio,vaginales,2009-01-01,24,24
LA GUARDIA,atencion de partos en servicio,vaginales,2009-01-01,33,33
LA PAZ,atencion de partos en servicio,vaginales,2009-01-01,1043,1043
LAGUNILLAS,atencion de partos en servicio,vaginales,2009-01-01,4,4
LAJA,atencion de partos en servicio,vaginales,2009-01-01,8,8
LAS CARRERAS,atencion de partos en servicio,vaginales,2009-01-01,2,2
LICOMA PAMPA,atencion de partos en servicio,vaginales,2009-01-01,2,2
LLALLAGUA,atencion de partos en servicio,vaginales,2009-01-01,42,42
LLICA,atencion de partos en servicio,vaginales,2009-01-01,5,5
LURIBAY,atencion de partos en servicio,vaginales,2009-01-01,8,8
MACHACAMARCA,atencion de partos en servicio,vaginales,2009-01-01,2,2
MACHARETI,atencion de partos en servicio,vaginales,2009-01-01,4,4
MAGDALENA,atencion de partos en servicio,vaginales,2009-01-01,10,10
MAIRANA,atencion de partos en servicio,vaginales,2009-01-01,14,14
MAPIRI,atencion de partos en servicio,vaginales,2009-01-01,18,18
MECAPACA,atencion de partos en servicio,vaginales,2009-01-01,3,3
MINEROS,atencion de partos en servicio,vaginales,2009-01-01,18,18
MIZQUE,atencion de partos en servicio,vaginales,2009-01-01,29,29
MOCOMOCO,atencion de partos en servicio,vaginales,2009-01-01,2,2
MOJOCOYA,atencion de partos en servicio,vaginales,2009-01-01,6,6
MONTEAGUDO,atencion de partos en servicio,vaginales,2009-01-01,23,23
MONTERO,atencion de partos en servicio,vaginales,2009-01-01,144,144
MORO MORO,atencion de partos en servicio,vaginales,2009-01-01,2,2
MOROCHATA,atencion de partos en servicio,vaginales,2009-01-01,13,13
OCURI,atencion de partos en servicio,vaginales,2009-01-01,4,4
OKINAWA,atencion de partos en servicio,vaginales,2009-01-01,13,13
OMEREQUE,atencion de partos en servicio,vaginales,2009-01-01,10,10
ORURO,atencion de partos en servicio,vaginales,2009-01-01,358,358
PADCAYA,atencion de partos en servicio,vaginales,2009-01-01,9,9
PADILLA,atencion de partos en servicio,vaginales,2009-01-01,7,7
PAILON,atencion de partos en servicio,vaginales,2009-01-01,14,14
PALOS BLANCOS,atencion de partos en servicio,vaginales,2009-01-01,23,23
PAMPA GRANDE,atencion de partos en servicio,vaginales,2009-01-01,6,6
PASORAPA,atencion de partos en servicio,vaginales,2009-01-01,2,2
PATACAMAYA,atencion de partos en servicio,vaginales,2009-01-01,34,34
PAZÑA,atencion de partos en servicio,vaginales,2009-01-01,2,2
POCOATA,atencion de partos en servicio,vaginales,2009-01-01,4,4
POCONA,atencion de partos en servicio,vaginales,2009-01-01,15,15
POJO (CBBA),atencion de partos en servicio,vaginales,2009-01-01,18,18
POOPO,atencion de partos en servicio,vaginales,2009-01-01,9,9
PORCO,atencion de partos en servicio,vaginales,2009-01-01,6,6
POROMA,atencion de partos en servicio,vaginales,2009-01-01,8,8
PORONGO,atencion de partos en servicio,vaginales,2009-01-01,7,7
PORTACHUELO,atencion de partos en servicio,vaginales,2009-01-01,23,23
PORVENIR,atencion de partos en servicio,vaginales,2009-01-01,4,4
POTOSI,atencion de partos en servicio,vaginales,2009-01-01,295,295
PRESTO,atencion de partos en servicio,vaginales,2009-01-01,3,3
PUCARA,atencion de partos en servicio,vaginales,2009-01-01,1,1
PUCARANI,atencion de partos en servicio,vaginales,2009-01-01,4,4
PUERTO ACOSTA,atencion de partos en servicio,vaginales,2009-01-01,9,9
PUERTO CARABUCO,atencion de partos en servicio,vaginales,2009-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicio,vaginales,2009-01-01,6,6
PUERTO PEREZ,atencion de partos en servicio,vaginales,2009-01-01,2,2
PUERTO QUIJARRO,atencion de partos en servicio,vaginales,2009-01-01,13,13
PUERTO RICO,atencion de partos en servicio,vaginales,2009-01-01,3,3
PUERTO SUAREZ,atencion de partos en servicio,vaginales,2009-01-01,18,18
PUERTO VILLARROEL,atencion de partos en servicio,vaginales,2009-01-01,78,78
PUNA,atencion de partos en servicio,vaginales,2009-01-01,30,30
PUNATA,atencion de partos en servicio,vaginales,2009-01-01,42,42
QUILLACOLLO,atencion de partos en servicio,vaginales,2009-01-01,85,85
QUIME,atencion de partos en servicio,vaginales,2009-01-01,7,7
QUIRUSILLAS,atencion de partos en servicio,vaginales,2009-01-01,3,3
RAVELO,atencion de partos en servicio,vaginales,2009-01-01,5,5
REYES,atencion de partos en servicio,vaginales,2009-01-01,18,18
RIBERALTA,atencion de partos en servicio,vaginales,2009-01-01,170,170
ROBORE,atencion de partos en servicio,vaginales,2009-01-01,28,28
RURRENABAQUE,atencion de partos en servicio,vaginales,2009-01-01,32,32
SACABA,atencion de partos en servicio,vaginales,2009-01-01,139,139
SACABAMBA,atencion de partos en servicio,vaginales,2009-01-01,3,3
SACACA,atencion de partos en servicio,vaginales,2009-01-01,15,15
SAIPINA,atencion de partos en servicio,vaginales,2009-01-01,4,4
SALINAS DE GARCI MENDOZA,atencion de partos en servicio,vaginales,2009-01-01,8,8
SAMAIPATA,atencion de partos en servicio,vaginales,2009-01-01,3,3
SAN ANDRES,atencion de partos en servicio,vaginales,2009-01-01,4,4
SAN ANDRES DE MACHACA,atencion de partos en servicio,vaginales,2009-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicio,vaginales,2009-01-01,5,5
SAN BENITO,atencion de partos en servicio,vaginales,2009-01-01,11,11
SAN BORJA,atencion de partos en servicio,vaginales,2009-01-01,40,40
SAN BUENA VENTURA,atencion de partos en servicio,vaginales,2009-01-01,12,12
SAN CARLOS,atencion de partos en servicio,vaginales,2009-01-01,31,31
SAN IGNACIO,atencion de partos en servicio,vaginales,2009-01-01,26,26
SAN IGNACIO DE VELASCO,atencion de partos en servicio,vaginales,2009-01-01,79,79
SAN JAVIER(BNI),atencion de partos en servicio,vaginales,2009-01-01,1,1
SAN JAVIER(STC),atencion de partos en servicio,vaginales,2009-01-01,21,21
SAN JOAQUIN,atencion de partos en servicio,vaginales,2009-01-01,6,6
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,vaginales,2009-01-01,21,21
SAN JUAN DE YAPACANI,atencion de partos en servicio,vaginales,2009-01-01,6,6
SAN JULIAN,atencion de partos en servicio,vaginales,2009-01-01,69,69
SAN LORENZO(PND),atencion de partos en servicio,vaginales,2009-01-01,3,3
SAN LORENZO(TJA),atencion de partos en servicio,vaginales,2009-01-01,6,6
SAN LUCAS,atencion de partos en servicio,vaginales,2009-01-01,19,19
SAN MATIAS,atencion de partos en servicio,vaginales,2009-01-01,22,22
SAN MIGUEL DE VELASCO,atencion de partos en servicio,vaginales,2009-01-01,15,15
SAN PEDRO,atencion de partos en servicio,vaginales,2009-01-01,8,8
SAN PEDRO DE BUENA VISTA,atencion de partos en servicio,vaginales,2009-01-01,2,2
SAN PEDRO DE CURAHUARA,atencion de partos en servicio,vaginales,2009-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicio,vaginales,2009-01-01,3,3
SAN RAFAEL,atencion de partos en servicio,vaginales,2009-01-01,7,7
SAN RAMON,atencion de partos en servicio,vaginales,2009-01-01,9,9
SAN RAMON,atencion de partos en servicio,vaginales,2009-01-01,22,22
SANTA ANA,atencion de partos en servicio,vaginales,2009-01-01,26,26
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,vaginales,2009-01-01,1350,1350
SANTA ROSA,atencion de partos en servicio,vaginales,2009-01-01,13,13
SANTA ROSA DEL SARA,atencion de partos en servicio,vaginales,2009-01-01,11,11
SANTIAGO DE CALLAPA,atencion de partos en servicio,vaginales,2009-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en servicio,vaginales,2009-01-01,3,3
SANTIAGO DE MACHACA,atencion de partos en servicio,vaginales,2009-01-01,2,2
SANTIVAÑES,atencion de partos en servicio,vaginales,2009-01-01,4,4
SANTUARIO DE QUILLACAS,atencion de partos en servicio,vaginales,2009-01-01,1,1
SAPAHAQUI,atencion de partos en servicio,vaginales,2009-01-01,2,2
SENA,atencion de partos en servicio,vaginales,2009-01-01,3,3
SICA SICA (VILLA AROMA),atencion de partos en servicio,vaginales,2009-01-01,9,9
SIPE SIPE,atencion de partos en servicio,vaginales,2009-01-01,20,20
SOPACHUY,atencion de partos en servicio,vaginales,2009-01-01,16,16
SORACACHI,atencion de partos en servicio,vaginales,2009-01-01,5,5
SORATA,atencion de partos en servicio,vaginales,2009-01-01,12,12
SUCRE,atencion de partos en servicio,vaginales,2009-01-01,346,346
TACACHI,atencion de partos en servicio,vaginales,2009-01-01,2,2
TACACOMA,atencion de partos en servicio,vaginales,2009-01-01,3,3
TACOPAYA,atencion de partos en servicio,vaginales,2009-01-01,2,2
TAPACARI,atencion de partos en servicio,vaginales,2009-01-01,5,5
TARABUCO,atencion de partos en servicio,vaginales,2009-01-01,22,22
TARACO,atencion de partos en servicio,vaginales,2009-01-01,1,1
TARATA,atencion de partos en servicio,vaginales,2009-01-01,6,6
TARIJA,atencion de partos en servicio,vaginales,2009-01-01,223,223
TARVITA,atencion de partos en servicio,vaginales,2009-01-01,11,11
TEOPONTE,atencion de partos en servicio,vaginales,2009-01-01,6,6
TIAWANACU,atencion de partos en servicio,vaginales,2009-01-01,10,10
TIPUANI,atencion de partos en servicio,vaginales,2009-01-01,13,13
TIQUIPAYA,atencion de partos en servicio,vaginales,2009-01-01,32,32
TIRAQUE (CBBA),atencion de partos en servicio,vaginales,2009-01-01,61,61
TOCO,atencion de partos en servicio,vaginales,2009-01-01,2,2
TOMAVE,atencion de partos en servicio,vaginales,2009-01-01,6,6
TOMINA,atencion de partos en servicio,vaginales,2009-01-01,16,16
TORO TORO,atencion de partos en servicio,vaginales,2009-01-01,4,4
TOTORA(CBBA),atencion de partos en servicio,vaginales,2009-01-01,15,15
TOTORA(ORR),atencion de partos en servicio,vaginales,2009-01-01,4,4
TRIGAL,atencion de partos en servicio,vaginales,2009-01-01,2,2
TRINIDAD,atencion de partos en servicio,vaginales,2009-01-01,184,184
TUPIZA,atencion de partos en servicio,vaginales,2009-01-01,50,50
TURCO,atencion de partos en servicio,vaginales,2009-01-01,2,2
UMALA,atencion de partos en servicio,vaginales,2009-01-01,1,1
UNCIA,atencion de partos en servicio,vaginales,2009-01-01,28,28
URIONDO (A. CONCEPCION),atencion de partos en servicio,vaginales,2009-01-01,10,10
URUBICHA,atencion de partos en servicio,vaginales,2009-01-01,8,8
UYUNI,atencion de partos en servicio,vaginales,2009-01-01,28,28
VACAS,atencion de partos en servicio,vaginales,2009-01-01,3,3
VALLEGRANDE,atencion de partos en servicio,vaginales,2009-01-01,10,10
VIACHA,atencion de partos en servicio,vaginales,2009-01-01,28,28
VILLA MONTES,atencion de partos en servicio,vaginales,2009-01-01,40,40
VILLA NUEVA (LOMA ALTA),atencion de partos en servicio,vaginales,2009-01-01,1,1
VILLA RIVERO,atencion de partos en servicio,vaginales,2009-01-01,3,3
VILLA SERRANO,atencion de partos en servicio,vaginales,2009-01-01,18,18
VILLA TUNARI,atencion de partos en servicio,vaginales,2009-01-01,84,84
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicio,vaginales,2009-01-01,4,4
VILLAZON,atencion de partos en servicio,vaginales,2009-01-01,43,43
VINTO,atencion de partos en servicio,vaginales,2009-01-01,43,43
VITICHI,atencion de partos en servicio,vaginales,2009-01-01,3,3
WARNES,atencion de partos en servicio,vaginales,2009-01-01,46,46
YACO,atencion de partos en servicio,vaginales,2009-01-01,1,1
YACUIBA,atencion de partos en servicio,vaginales,2009-01-01,94,94
YAMPARAEZ,atencion de partos en servicio,vaginales,2009-01-01,6,6
YANACACHI,atencion de partos en servicio,vaginales,2009-01-01,3,3
YAPACANI,atencion de partos en servicio,vaginales,2009-01-01,58,58
YOCALLA,atencion de partos en servicio,vaginales,2009-01-01,6,6
YOTALA,atencion de partos en servicio,vaginales,2009-01-01,7,7
YUNCHARA,atencion de partos en servicio,vaginales,2009-01-01,2,2
ZUDAÑEZ,atencion de partos en servicio,vaginales,2009-01-01,6,6
ACHACACHI,atencion de partos en servicio,vaginales,2009-02-01,21,21
ACHOCALLA,atencion de partos en servicio,vaginales,2009-02-01,5,5
AIQUILE,atencion de partos en servicio,vaginales,2009-02-01,25,25
ALALAY,atencion de partos en servicio,vaginales,2009-02-01,2,2
ALCALA,atencion de partos en servicio,vaginales,2009-02-01,3,3
