municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicio,nacidos vivos,2009-01-01,7,7
ACHACACHI,atencion de partos en servicio,nacidos vivos,2009-01-01,27,27
ACHOCALLA,atencion de partos en servicio,nacidos vivos,2009-01-01,4,4
AIQUILE,atencion de partos en servicio,nacidos vivos,2009-01-01,38,38
ALALAY,atencion de partos en servicio,nacidos vivos,2009-01-01,3,3
ALCALA,atencion de partos en servicio,nacidos vivos,2009-01-01,1,1
ANCORAIMES,atencion de partos en servicio,nacidos vivos,2009-01-01,5,5
ANDAMARCA,atencion de partos en servicio,nacidos vivos,2009-01-01,1,1
ANZALDO,atencion de partos en servicio,nacidos vivos,2009-01-01,4,4
ARAMPAMPA,atencion de partos en servicio,nacidos vivos,2009-01-01,2,2
ARANI,atencion de partos en servicio,nacidos vivos,2009-01-01,10,10
ARBIETO,atencion de partos en servicio,nacidos vivos,2009-01-01,2,2
ARQUE,atencion de partos en servicio,nacidos vivos,2009-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos,2009-01-01,44,44
ATOCHA,atencion de partos en servicio,nacidos vivos,2009-01-01,5,5
AYO AYO,atencion de partos en servicio,nacidos vivos,2009-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos,2009-01-01,18,18
AZURDUY,atencion de partos en servicio,nacidos vivos,2009-01-01,4,4
BATALLAS,atencion de partos en servicio,nacidos vivos,2009-01-01,3,3
BAURES,atencion de partos en servicio,nacidos vivos,2009-01-01,5,5
BERMEJO,atencion de partos en servicio,nacidos vivos,2009-01-01,63,63
BETANZOS,atencion de partos en servicio,nacidos vivos,2009-01-01,23,23
BOLIVAR,atencion de partos en servicio,nacidos vivos,2009-01-01,1,1
BOYUIBE,atencion de partos en servicio,nacidos vivos,2009-01-01,2,2
BUENA VISTA,atencion de partos en servicio,nacidos vivos,2009-01-01,13,13
CABEZAS,atencion de partos en servicio,nacidos vivos,2009-01-01,13,13
CAIROMA,atencion de partos en servicio,nacidos vivos,2009-01-01,8,8
"CAIZA ""D""",atencion de partos en servicio,nacidos vivos,2009-01-01,3,3
CAJUATA,atencion de partos en servicio,nacidos vivos,2009-01-01,13,13
CALAMARCA,atencion de partos en servicio,nacidos vivos,2009-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos vivos,2009-01-01,16,16
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,nacidos vivos,2009-01-01,1,1
CAMIRI,atencion de partos en servicio,nacidos vivos,2009-01-01,69,69
CAPINOTA,atencion de partos en servicio,nacidos vivos,2009-01-01,16,16
CARACOLLO,atencion de partos en servicio,nacidos vivos,2009-01-01,13,13
CARANAVI,atencion de partos en servicio,nacidos vivos,2009-01-01,77,77
CARAPARI,atencion de partos en servicio,nacidos vivos,2009-01-01,14,14
CARIPUYO,atencion de partos en servicio,nacidos vivos,2009-01-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicio,nacidos vivos,2009-01-01,4,4
CHALLAPATA,atencion de partos en servicio,nacidos vivos,2009-01-01,42,42
CHAQUI,atencion de partos en servicio,nacidos vivos,2009-01-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos vivos,2009-01-01,62,62
CHAYANTA,atencion de partos en servicio,nacidos vivos,2009-01-01,12,12
CHIMORE,atencion de partos en servicio,nacidos vivos,2009-01-01,19,19
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos vivos,2009-01-01,20,20
CHUMA,atencion de partos en servicio,nacidos vivos,2009-01-01,3,3
CLIZA,atencion de partos en servicio,nacidos vivos,2009-01-01,20,20
COBIJA,atencion de partos en servicio,nacidos vivos,2009-01-01,107,107
COCHABAMBA,atencion de partos en servicio,nacidos vivos,2009-01-01,1576,1576
COIPASA,atencion de partos en servicio,nacidos vivos,2009-01-01,1,1
COLCAPIRHUA,atencion de partos en servicio,nacidos vivos,2009-01-01,43,43
"COLCHA ""K""",atencion de partos en servicio,nacidos vivos,2009-01-01,1,1
COLLANA,atencion de partos en servicio,nacidos vivos,2009-01-01,3,3
COLOMI,atencion de partos en servicio,nacidos vivos,2009-01-01,24,24
COLPA BELGICA,atencion de partos en servicio,nacidos vivos,2009-01-01,1,1
COLQUECHACA,atencion de partos en servicio,nacidos vivos,2009-01-01,6,6
COLQUIRI,atencion de partos en servicio,nacidos vivos,2009-01-01,8,8
COMARAPA,atencion de partos en servicio,nacidos vivos,2009-01-01,27,27
CONCEPCION,atencion de partos en servicio,nacidos vivos,2009-01-01,31,31
