municipality,group,variable,month,Partos atendidos por partera en servicio,TOTAL
SAN IGNACIO DE VELASCO,atencion de partos en servicios,partos atendidos por partera en servicio,2020-04-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2020-04-01,2.0,2.0
WARNES,atencion de partos en servicios,partos atendidos por partera en servicio,2020-04-01,2.0,2.0
LAGUNILLAS,atencion de partos en servicios,partos atendidos por partera en servicio,2020-07-01,1.0,1.0
LORETO,atencion de partos en servicios,partos atendidos por partera en servicio,2020-07-01,1.0,1.0
EL PUENTE(STC),atencion de partos en servicios,partos atendidos por partera en servicio,2020-11-01,1.0,1.0
