municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,25,25
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,25,25
ALCALA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,67,67
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,15,15
BERMEJO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,51,51
BETANZOS,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,21,21
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,5,5
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,19,19
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,21,21
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,7,7
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,20,20
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,2,2
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,9,9
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,17,17
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,12,12
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,55,55
CARIPUYO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,5,5
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,33,33
CHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,3,3
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,2,2
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,17,17
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,3,3
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,34,34
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,102,102
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,926,926
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,59,59
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,2,2
COLQUECHACA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,13,13
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,26,26
CONCEPCION,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,29,29
CORO CORO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,2,2
COROICO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,24,24
COTOCA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,73,73
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,20,20
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,1306,1306
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,4,4
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,97,97
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,3,3
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,3,3
FERNANDEZ ALONSO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,3,3
HUACARETA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,5,5
HUANUNI,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,25,25
IXIAMAS,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,2,2
LA GUARDIA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,58,58
LA PAZ,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,869,869
LAGUNILLAS,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,1,1
LAS CARRERAS,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,1,1
LLALLAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,64,64
LLICA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,1,1
MAGDALENA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,14,14
MAIRANA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,25,25
MECAPACA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,1,1
MIZQUE,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,16,16
MONTEAGUDO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,31,31
MONTERO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,39,39
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,1,1
OCURI,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,2,2
ORURO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,596,596
PADCAYA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,4,4
PADILLA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,9,9
PAILON,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,32,32
PAMPA GRANDE,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,7,7
PATACAMAYA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,32,32
PORCO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,8,8
PORTACHUELO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,19,19
PORVENIR,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,3,3
POTOSI,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,399,399
PUERTO QUIJARRO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,22,22
PUERTO RICO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,11,11
PUERTO SUAREZ,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,34,34
PUERTO VILLARROEL,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,130,130
PUNATA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,63,63
QUILLACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,202,202
RAVELO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,1,1
REYES,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,12,12
RIBERALTA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,237,237
ROBORE,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,24,24
RURRENABAQUE,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,33,33
SACABA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,145,145
SACACA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,16,16
SAIPINA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,5,5
SAN ANDRES,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,3,3
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,7,7
SAN BORJA,atencion de partos en servicios,rn con alojamiento conjunto,2020-01-01,58,58
