municipality,group,variable,month,Nuevas en menores de 5 años -Hombre,Nuevas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en menores de 5 anos,2005-01-01,127,119,127,119,246
ACHACACHI,consulta externa,nuevas en menores de 5 anos,2005-01-01,329,269,329,269,598
ACHOCALLA,consulta externa,nuevas en menores de 5 anos,2005-01-01,110,61,110,61,171
AIQUILE,consulta externa,nuevas en menores de 5 anos,2005-01-01,308,298,308,298,606
ALALAY,consulta externa,nuevas en menores de 5 anos,2005-01-01,36,36,36,36,72
ALCALA,consulta externa,nuevas en menores de 5 anos,2005-01-01,78,62,78,62,140
ANCORAIMES,consulta externa,nuevas en menores de 5 anos,2005-01-01,173,201,173,201,374
ANDAMARCA,consulta externa,nuevas en menores de 5 anos,2005-01-01,34,25,34,25,59
ANTEQUERA,consulta externa,nuevas en menores de 5 anos,2005-01-01,25,25,25,25,50
ANZALDO,consulta externa,nuevas en menores de 5 anos,2005-01-01,52,67,52,67,119
APOLO,consulta externa,nuevas en menores de 5 anos,2005-01-01,299,288,299,288,587
ARAMPAMPA,consulta externa,nuevas en menores de 5 anos,2005-01-01,77,73,77,73,150
ARANI,consulta externa,nuevas en menores de 5 anos,2005-01-01,87,94,87,94,181
ARBIETO,consulta externa,nuevas en menores de 5 anos,2005-01-01,70,50,70,50,120
ARQUE,consulta externa,nuevas en menores de 5 anos,2005-01-01,146,109,146,109,255
ASCENCION DE GUARAYOS,consulta externa,nuevas en menores de 5 anos,2005-01-01,371,294,371,294,665
ATOCHA,consulta externa,nuevas en menores de 5 anos,2005-01-01,308,276,308,276,584
AUCAPATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,53,53,53,53,106
AYATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,87,69,87,69,156
AYO AYO,consulta externa,nuevas en menores de 5 anos,2005-01-01,49,41,49,41,90
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en menores de 5 anos,2005-01-01,283,294,283,294,577
AZURDUY,consulta externa,nuevas en menores de 5 anos,2005-01-01,454,407,454,407,861
BATALLAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,85,69,85,69,154
BAURES,consulta externa,nuevas en menores de 5 anos,2005-01-01,67,74,67,74,141
BELEN DE ANDAMARCA,consulta externa,nuevas en menores de 5 anos,2005-01-01,10,7,10,7,17
BELEN DE URMIRI,consulta externa,nuevas en menores de 5 anos,2005-01-01,34,22,34,22,56
BELLA FLOR,consulta externa,nuevas en menores de 5 anos,2005-01-01,65,62,65,62,127
BERMEJO,consulta externa,nuevas en menores de 5 anos,2005-01-01,714,652,714,652,1366
BETANZOS,consulta externa,nuevas en menores de 5 anos,2005-01-01,507,555,507,555,1062
BOLIVAR,consulta externa,nuevas en menores de 5 anos,2005-01-01,123,110,123,110,233
BOLPEBRA,consulta externa,nuevas en menores de 5 anos,2005-01-01,28,23,28,23,51
BOYUIBE,consulta externa,nuevas en menores de 5 anos,2005-01-01,85,106,85,106,191
BUENA VISTA,consulta externa,nuevas en menores de 5 anos,2005-01-01,319,339,319,339,658
CABEZAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,446,337,446,337,783
CAIROMA,consulta externa,nuevas en menores de 5 anos,2005-01-01,75,69,75,69,144
"CAIZA ""D""",consulta externa,nuevas en menores de 5 anos,2005-01-01,85,78,85,78,163
CAJUATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,166,117,166,117,283
CALACOTO,consulta externa,nuevas en menores de 5 anos,2005-01-01,29,28,29,28,57
CALAMARCA,consulta externa,nuevas en menores de 5 anos,2005-01-01,84,88,84,88,172
CAMARGO,consulta externa,nuevas en menores de 5 anos,2005-01-01,289,262,289,262,551
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en menores de 5 anos,2005-01-01,74,41,74,41,115
CAMIRI,consulta externa,nuevas en menores de 5 anos,2005-01-01,932,822,932,822,1754
CAPINOTA,consulta externa,nuevas en menores de 5 anos,2005-01-01,247,231,247,231,478
CAQUIAVIRI,consulta externa,nuevas en menores de 5 anos,2005-01-01,63,59,63,59,122
CARACOLLO,consulta externa,nuevas en menores de 5 anos,2005-01-01,226,217,226,217,443
CARANAVI,consulta externa,nuevas en menores de 5 anos,2005-01-01,623,578,623,578,1201
CARANGAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,4,5,4,5,9
CARAPARI,consulta externa,nuevas en menores de 5 anos,2005-01-01,166,171,166,171,337
CARIPUYO,consulta externa,nuevas en menores de 5 anos,2005-01-01,216,194,216,194,410
CARMEN RIVERO TORREZ,consulta externa,nuevas en menores de 5 anos,2005-01-01,417,37,417,37,454
CATACORA,consulta externa,nuevas en menores de 5 anos,2005-01-01,25,22,25,22,47
CHACARILLA,consulta externa,nuevas en menores de 5 anos,2005-01-01,4,4,4,4,8
CHALLAPATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,331,279,331,279,610
CHAQUI,consulta externa,nuevas en menores de 5 anos,2005-01-01,59,56,59,56,115
CHARAGUA,consulta externa,nuevas en menores de 5 anos,2005-01-01,833,674,833,674,1507
CHARAÑA,consulta externa,nuevas en menores de 5 anos,2005-01-01,28,26,28,26,54
CHAYANTA,consulta externa,nuevas en menores de 5 anos,2005-01-01,245,239,245,239,484
CHIMORE,consulta externa,nuevas en menores de 5 anos,2005-01-01,484,434,484,434,918
CHIPAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,190,15,190,15,205
CHOQUE COTA,consulta externa,nuevas en menores de 5 anos,2005-01-01,28,33,28,33,61
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en menores de 5 anos,2005-01-01,177,174,177,174,351
CHUMA,consulta externa,nuevas en menores de 5 anos,2005-01-01,101,112,101,112,213
CLIZA,consulta externa,nuevas en menores de 5 anos,2005-01-01,214,186,214,186,400
COBIJA,consulta externa,nuevas en menores de 5 anos,2005-01-01,737,696,737,696,1433
COCHABAMBA,consulta externa,nuevas en menores de 5 anos,2005-01-01,7469,6648,7469,6648,14117
COIPASA,consulta externa,nuevas en menores de 5 anos,2005-01-01,5,8,5,8,13
COLCAPIRHUA,consulta externa,nuevas en menores de 5 anos,2005-01-01,402,375,402,375,777
"COLCHA ""K""",consulta externa,nuevas en menores de 5 anos,2005-01-01,89,81,89,81,170
COLLANA,consulta externa,nuevas en menores de 5 anos,2005-01-01,16,13,16,13,29
COLOMI,consulta externa,nuevas en menores de 5 anos,2005-01-01,272,273,272,273,545
COLPA BELGICA,consulta externa,nuevas en menores de 5 anos,2005-01-01,186,127,186,127,313
COLQUECHACA,consulta externa,nuevas en menores de 5 anos,2005-01-01,442,320,442,320,762
COLQUENCHA,consulta externa,nuevas en menores de 5 anos,2005-01-01,59,74,59,74,133
COLQUIRI,consulta externa,nuevas en menores de 5 anos,2005-01-01,262,238,262,238,500
COMANCHE,consulta externa,nuevas en menores de 5 anos,2005-01-01,16,9,16,9,25
COMARAPA,consulta externa,nuevas en menores de 5 anos,2005-01-01,336,264,336,264,600
COMBAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,8,8,8,8,16
CONCEPCION,consulta externa,nuevas en menores de 5 anos,2005-01-01,136,153,136,153,289
COPACABANA,consulta externa,nuevas en menores de 5 anos,2005-01-01,49,51,49,51,100
CORIPATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,111,88,111,88,199
CORO CORO,consulta externa,nuevas en menores de 5 anos,2005-01-01,70,55,70,55,125
COROICO,consulta externa,nuevas en menores de 5 anos,2005-01-01,164,130,164,130,294
CORQUE,consulta externa,nuevas en menores de 5 anos,2005-01-01,73,44,73,44,117
COTAGAITA,consulta externa,nuevas en menores de 5 anos,2005-01-01,532,410,532,410,942
COTOCA,consulta externa,nuevas en menores de 5 anos,2005-01-01,818,684,818,684,1502
CUATRO CAÑADAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,423,386,423,386,809
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en menores de 5 anos,2005-01-01,23,29,23,29,52
CUEVO,consulta externa,nuevas en menores de 5 anos,2005-01-01,145,187,145,187,332
CULPINA,consulta externa,nuevas en menores de 5 anos,2005-01-01,415,432,415,432,847
CURAHUARA DE CARANGAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,41,43,41,43,84
CURVA,consulta externa,nuevas en menores de 5 anos,2005-01-01,53,34,53,34,87
DESAGUADERO,consulta externa,nuevas en menores de 5 anos,2005-01-01,37,15,37,15,52
EL ALTO,consulta externa,nuevas en menores de 5 anos,2005-01-01,6681,6372,6681,6372,13053
EL CHORO,consulta externa,nuevas en menores de 5 anos,2005-01-01,21,21,21,21,42
EL PUENTE(STC),consulta externa,nuevas en menores de 5 anos,2005-01-01,192,206,192,206,398
EL PUENTE(TJA),consulta externa,nuevas en menores de 5 anos,2005-01-01,160,134,160,134,294
EL TORNO,consulta externa,nuevas en menores de 5 anos,2005-01-01,894,872,894,872,1766
EL VILLAR,consulta externa,nuevas en menores de 5 anos,2005-01-01,105,101,105,101,206
ENTRE RIOS,consulta externa,nuevas en menores de 5 anos,2005-01-01,374,295,374,295,669
ENTRE RIOS,consulta externa,nuevas en menores de 5 anos,2005-01-01,518,479,518,479,997
ESCARA,consulta externa,nuevas en menores de 5 anos,2005-01-01,1,2,1,2,3
EUCALIPTUS,consulta externa,nuevas en menores de 5 anos,2005-01-01,172,129,172,129,301
EUREKA (SANTOS MERCADO),consulta externa,nuevas en menores de 5 anos,2005-01-01,5,10,5,10,15
