municipality,group,variable,month,Nuevas en menores de 5 años -Hombre,Nuevas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
EXALTACION,consulta externa,nuevas en menores de 5 anos,2005-01-01,26,42,26,42,68
FERNANDEZ ALONSO,consulta externa,nuevas en menores de 5 anos,2005-01-01,302,273,302,273,575
FILADELFIA,consulta externa,nuevas en menores de 5 anos,2005-01-01,77,91,77,91,168
GENERAL SAAVEDRA,consulta externa,nuevas en menores de 5 anos,2005-01-01,726,520,726,520,1246
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en menores de 5 anos,2005-01-01,93,74,93,74,167
GUANAY,consulta externa,nuevas en menores de 5 anos,2005-01-01,204,203,204,203,407
GUAQUI,consulta externa,nuevas en menores de 5 anos,2005-01-01,22,21,22,21,43
GUAYARAMERIN,consulta externa,nuevas en menores de 5 anos,2005-01-01,816,756,816,756,1572
GUTIERREZ,consulta externa,nuevas en menores de 5 anos,2005-01-01,845,846,845,846,1691
HUACARETA,consulta externa,nuevas en menores de 5 anos,2005-01-01,206,233,206,233,439
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en menores de 5 anos,2005-01-01,59,73,59,73,132
HUACHACALLA,consulta externa,nuevas en menores de 5 anos,2005-01-01,7,5,7,5,12
HUANUNI,consulta externa,nuevas en menores de 5 anos,2005-01-01,390,302,390,302,692
HUARACAJE,consulta externa,nuevas en menores de 5 anos,2005-01-01,53,40,53,40,93
HUAYLLAMARCA,consulta externa,nuevas en menores de 5 anos,2005-01-01,78,67,78,67,145
ICHOCA,consulta externa,nuevas en menores de 5 anos,2005-01-01,102,66,102,66,168
ICLA,consulta externa,nuevas en menores de 5 anos,2005-01-01,207,200,207,200,407
INCAHUASI,consulta externa,nuevas en menores de 5 anos,2005-01-01,349,348,349,348,697
INGAVI (HUMAITA),consulta externa,nuevas en menores de 5 anos,2005-01-01,18,12,18,12,30
INQUISIVI,consulta externa,nuevas en menores de 5 anos,2005-01-01,167,171,167,171,338
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en menores de 5 anos,2005-01-01,258,227,258,227,485
IXIAMAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,225,131,225,131,356
JESUS DE MACHACA,consulta externa,nuevas en menores de 5 anos,2005-01-01,150,126,150,126,276
LA ASUNTA,consulta externa,nuevas en menores de 5 anos,2005-01-01,440,451,440,451,891
LA GUARDIA,consulta externa,nuevas en menores de 5 anos,2005-01-01,818,783,818,783,1601
LA PAZ,consulta externa,nuevas en menores de 5 anos,2005-01-01,11565,10357,11565,10357,21922
LA RIVERA,consulta externa,nuevas en menores de 5 anos,2005-01-01,6,4,6,4,10
LAGUNILLAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,190,201,190,201,391
LAJA,consulta externa,nuevas en menores de 5 anos,2005-01-01,81,73,81,73,154
LAS CARRERAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,54,49,54,49,103
LICOMA PAMPA,consulta externa,nuevas en menores de 5 anos,2005-01-01,27,18,27,18,45
LLALLAGUA,consulta externa,nuevas en menores de 5 anos,2005-01-01,360,327,360,327,687
LLICA,consulta externa,nuevas en menores de 5 anos,2005-01-01,46,25,46,25,71
LORETO,consulta externa,nuevas en menores de 5 anos,2005-01-01,454,89,454,89,543
LURIBAY,consulta externa,nuevas en menores de 5 anos,2005-01-01,112,105,112,105,217
MACHACAMARCA,consulta externa,nuevas en menores de 5 anos,2005-01-01,35,33,35,33,68
MACHARETI,consulta externa,nuevas en menores de 5 anos,2005-01-01,283,318,283,318,601
MAGDALENA,consulta externa,nuevas en menores de 5 anos,2005-01-01,189,182,189,182,371
MAIRANA,consulta externa,nuevas en menores de 5 anos,2005-01-01,147,129,147,129,276
MALLA,consulta externa,nuevas en menores de 5 anos,2005-01-01,53,34,53,34,87
MAPIRI,consulta externa,nuevas en menores de 5 anos,2005-01-01,185,195,185,195,380
MECAPACA,consulta externa,nuevas en menores de 5 anos,2005-01-01,114,153,114,153,267
MINEROS,consulta externa,nuevas en menores de 5 anos,2005-01-01,456,359,456,359,815
MIZQUE,consulta externa,nuevas en menores de 5 anos,2005-01-01,222,238,222,238,460
MOCOMOCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,104,91,104,91,195
MOJINETE,consulta externa,nuevas en menores de 5 anos,2005-01-01,16,17,16,17,33
MOJOCOYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,103,101,103,101,204
MONTEAGUDO,consulta externa,nuevas en menores de 5 anos,2005-01-01,530,482,530,482,1012
MONTERO,consulta externa,nuevas en menores de 5 anos,2005-01-01,2857,1728,2857,1728,4585
MORO MORO,consulta externa,nuevas en menores de 5 anos,2005-01-01,64,49,64,49,113
MOROCHATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,178,143,178,143,321
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en menores de 5 anos,2005-01-01,32,29,32,29,61
NAZACARA DE PACAJES,consulta externa,nuevas en menores de 5 anos,2005-01-01,3,1,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en menores de 5 anos,2005-01-01,28,22,28,22,50
OCURI,consulta externa,nuevas en menores de 5 anos,2005-01-01,335,385,335,385,720
OKINAWA,consulta externa,nuevas en menores de 5 anos,2005-01-01,338,267,338,267,605
OMEREQUE,consulta externa,nuevas en menores de 5 anos,2005-01-01,72,50,72,50,122
ORURO,consulta externa,nuevas en menores de 5 anos,2005-01-01,3533,3019,3533,3019,6552
PADCAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,1381,286,1381,286,1667
PADILLA,consulta externa,nuevas en menores de 5 anos,2005-01-01,317,268,317,268,585
PAILON,consulta externa,nuevas en menores de 5 anos,2005-01-01,388,344,388,344,732
PALCA,consulta externa,nuevas en menores de 5 anos,2005-01-01,87,83,87,83,170
PALOS BLANCOS,consulta externa,nuevas en menores de 5 anos,2005-01-01,640,527,640,527,1167
PAMPA AULLAGAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,21,18,21,18,39
PAMPA GRANDE,consulta externa,nuevas en menores de 5 anos,2005-01-01,307,358,307,358,665
PAPEL PAMPA,consulta externa,nuevas en menores de 5 anos,2005-01-01,38,32,38,32,70
PASORAPA,consulta externa,nuevas en menores de 5 anos,2005-01-01,6,6,6,6,12
PATACAMAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,208,213,208,213,421
PAZÑA,consulta externa,nuevas en menores de 5 anos,2005-01-01,43,40,43,40,83
PELECHUCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,57,35,57,35,92
POCOATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,366,350,366,350,716
POCONA,consulta externa,nuevas en menores de 5 anos,2005-01-01,153,116,153,116,269
POJO (CBBA),consulta externa,nuevas en menores de 5 anos,2005-01-01,127,117,127,117,244
POOPO,consulta externa,nuevas en menores de 5 anos,2005-01-01,57,36,57,36,93
PORCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,61,56,61,56,117
POROMA,consulta externa,nuevas en menores de 5 anos,2005-01-01,283,258,283,258,541
PORONGO,consulta externa,nuevas en menores de 5 anos,2005-01-01,151,147,151,147,298
PORTACHUELO,consulta externa,nuevas en menores de 5 anos,2005-01-01,448,377,448,377,825
PORVENIR,consulta externa,nuevas en menores de 5 anos,2005-01-01,87,76,87,76,163
POSTRER VALLE,consulta externa,nuevas en menores de 5 anos,2005-01-01,45,18,45,18,63
POTOSI,consulta externa,nuevas en menores de 5 anos,2005-01-01,2551,2323,2551,2323,4874
PRESTO,consulta externa,nuevas en menores de 5 anos,2005-01-01,348,313,348,313,661
PUCARA,consulta externa,nuevas en menores de 5 anos,2005-01-01,13,13,13,13,26
PUCARANI,consulta externa,nuevas en menores de 5 anos,2005-01-01,109,67,109,67,176
PUERTO ACOSTA,consulta externa,nuevas en menores de 5 anos,2005-01-01,200,209,200,209,409
PUERTO CARABUCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,103,77,103,77,180
PUERTO GONZALO MORENO,consulta externa,nuevas en menores de 5 anos,2005-01-01,98,71,98,71,169
PUERTO PEREZ,consulta externa,nuevas en menores de 5 anos,2005-01-01,28,18,28,18,46
PUERTO QUIJARRO,consulta externa,nuevas en menores de 5 anos,2005-01-01,382,332,382,332,714
PUERTO RICO,consulta externa,nuevas en menores de 5 anos,2005-01-01,186,164,186,164,350
PUERTO SILES,consulta externa,nuevas en menores de 5 anos,2005-01-01,8,28,8,28,36
PUERTO SUAREZ,consulta externa,nuevas en menores de 5 anos,2005-01-01,459,535,459,535,994
PUERTO VILLARROEL,consulta externa,nuevas en menores de 5 anos,2005-01-01,1277,1135,1277,1135,2412
PUNA,consulta externa,nuevas en menores de 5 anos,2005-01-01,307,293,307,293,600
PUNATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,364,264,364,264,628
QUIABAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,39,26,39,26,65
QUILLACOLLO,consulta externa,nuevas en menores de 5 anos,2005-01-01,935,840,935,840,1775
QUIME,consulta externa,nuevas en menores de 5 anos,2005-01-01,176,156,176,156,332
QUIRUSILLAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,38,26,38,26,64
RAVELO,consulta externa,nuevas en menores de 5 anos,2005-01-01,233,194,233,194,427
REYES,consulta externa,nuevas en menores de 5 anos,2005-01-01,325,268,325,268,593
RIBERALTA,consulta externa,nuevas en menores de 5 anos,2005-01-01,1838,1879,1838,1879,3717
ROBORE,consulta externa,nuevas en menores de 5 anos,2005-01-01,217,208,217,208,425
RURRENABAQUE,consulta externa,nuevas en menores de 5 anos,2005-01-01,450,428,450,428,878
SABAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,53,33,53,33,86
SACABA,consulta externa,nuevas en menores de 5 anos,2005-01-01,889,794,889,794,1683
SACABAMBA,consulta externa,nuevas en menores de 5 anos,2005-01-01,28,32,28,32,60
SACACA,consulta externa,nuevas en menores de 5 anos,2005-01-01,315,299,315,299,614
SAIPINA,consulta externa,nuevas en menores de 5 anos,2005-01-01,121,107,121,107,228
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en menores de 5 anos,2005-01-01,126,102,126,102,228
SAMAIPATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,139,122,139,122,261
SAN AGUSTIN,consulta externa,nuevas en menores de 5 anos,2005-01-01,25,34,25,34,59
SAN ANDRES,consulta externa,nuevas en menores de 5 anos,2005-01-01,270,239,270,239,509
SAN ANDRES DE MACHACA,consulta externa,nuevas en menores de 5 anos,2005-01-01,35,25,35,25,60
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,85,16,85,16,101
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en menores de 5 anos,2005-01-01,119,133,119,133,252
SAN BENITO,consulta externa,nuevas en menores de 5 anos,2005-01-01,140,128,140,128,268
SAN BORJA,consulta externa,nuevas en menores de 5 anos,2005-01-01,557,453,557,453,1010
SAN BUENA VENTURA,consulta externa,nuevas en menores de 5 anos,2005-01-01,184,196,184,196,380
SAN CARLOS,consulta externa,nuevas en menores de 5 anos,2005-01-01,396,372,396,372,768
SAN IGNACIO,consulta externa,nuevas en menores de 5 anos,2005-01-01,624,527,624,527,1151
SAN IGNACIO DE VELASCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,1277,1210,1277,1210,2487
SAN JAVIER(BNI),consulta externa,nuevas en menores de 5 anos,2005-01-01,55,67,55,67,122
SAN JAVIER(STC),consulta externa,nuevas en menores de 5 anos,2005-01-01,160,127,160,127,287
SAN JOAQUIN,consulta externa,nuevas en menores de 5 anos,2005-01-01,99,129,99,129,228
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en menores de 5 anos,2005-01-01,436,494,436,494,930
SAN JUAN DE YAPACANI,consulta externa,nuevas en menores de 5 anos,2005-01-01,286,252,286,252,538
SAN JULIAN,consulta externa,nuevas en menores de 5 anos,2005-01-01,1794,960,1794,960,2754
SAN LORENZO(PND),consulta externa,nuevas en menores de 5 anos,2005-01-01,201,162,201,162,363
SAN LORENZO(TJA),consulta externa,nuevas en menores de 5 anos,2005-01-01,779,515,779,515,1294
SAN LUCAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,750,741,750,741,1491
SAN MATIAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,174,160,174,160,334
SAN MIGUEL DE VELASCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,238,261,238,261,499
SAN PABLO DE LIPEZ,consulta externa,nuevas en menores de 5 anos,2005-01-01,73,55,73,55,128
SAN PEDRO,consulta externa,nuevas en menores de 5 anos,2005-01-01,705,690,705,690,1395
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en menores de 5 anos,2005-01-01,238,247,238,247,485
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en menores de 5 anos,2005-01-01,48,23,48,23,71
SAN PEDRO DE QUEMES,consulta externa,nuevas en menores de 5 anos,2005-01-01,5,5,5,5,10
SAN PEDRO DE TIQUINA,consulta externa,nuevas en menores de 5 anos,2005-01-01,20,32,20,32,52
SAN PEDRO(PND),consulta externa,nuevas en menores de 5 anos,2005-01-01,23,34,23,34,57
SAN RAFAEL,consulta externa,nuevas en menores de 5 anos,2005-01-01,62,55,62,55,117
SAN RAMON,consulta externa,nuevas en menores de 5 anos,2005-01-01,176,142,176,142,318
SAN RAMON,consulta externa,nuevas en menores de 5 anos,2005-01-01,173,157,173,157,330
SANTA ANA,consulta externa,nuevas en menores de 5 anos,2005-01-01,327,288,327,288,615
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en menores de 5 anos,2005-01-01,17328,17146,17328,17146,34474
SANTA ROSA,consulta externa,nuevas en menores de 5 anos,2005-01-01,102,138,102,138,240
SANTA ROSA DEL SARA,consulta externa,nuevas en menores de 5 anos,2005-01-01,591,604,591,604,1195
SANTIAGO DE CALLAPA,consulta externa,nuevas en menores de 5 anos,2005-01-01,38,42,38,42,80
SANTIAGO DE HUARI,consulta externa,nuevas en menores de 5 anos,2005-01-01,95,88,95,88,183
SANTIAGO DE MACHACA,consulta externa,nuevas en menores de 5 anos,2005-01-01,24,21,24,21,45
SANTIVAÑES,consulta externa,nuevas en menores de 5 anos,2005-01-01,89,76,89,76,165
SANTUARIO DE QUILLACAS,consulta externa,nuevas en menores de 5 anos,2005-01-01,23,16,23,16,39
SAPAHAQUI,consulta externa,nuevas en menores de 5 anos,2005-01-01,78,66,78,66,144
SENA,consulta externa,nuevas en menores de 5 anos,2005-01-01,73,88,73,88,161
SICA SICA (VILLA AROMA),consulta externa,nuevas en menores de 5 anos,2005-01-01,96,90,96,90,186
SICAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,23,14,23,14,37
SIPE SIPE,consulta externa,nuevas en menores de 5 anos,2005-01-01,375,366,375,366,741
SOPACHUY,consulta externa,nuevas en menores de 5 anos,2005-01-01,123,134,123,134,257
SORACACHI,consulta externa,nuevas en menores de 5 anos,2005-01-01,73,67,73,67,140
SORATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,178,167,178,167,345
SUCRE,consulta externa,nuevas en menores de 5 anos,2005-01-01,4005,3401,4005,3401,7406
TACACHI,consulta externa,nuevas en menores de 5 anos,2005-01-01,11,17,11,17,28
TACACOMA,consulta externa,nuevas en menores de 5 anos,2005-01-01,66,56,66,56,122
TACOBAMBA,consulta externa,nuevas en menores de 5 anos,2005-01-01,102,92,102,92,194
TACOPAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,102,75,102,75,177
TAHUA,consulta externa,nuevas en menores de 5 anos,2005-01-01,6,12,6,12,18
TAPACARI,consulta externa,nuevas en menores de 5 anos,2005-01-01,376,332,376,332,708
TARABUCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,481,484,481,484,965
TARACO,consulta externa,nuevas en menores de 5 anos,2005-01-01,39,41,39,41,80
TARATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,120,115,120,115,235
TARIJA,consulta externa,nuevas en menores de 5 anos,2005-01-01,3673,3339,3673,3339,7012
TARVITA,consulta externa,nuevas en menores de 5 anos,2005-01-01,486,474,486,474,960
TEOPONTE,consulta externa,nuevas en menores de 5 anos,2005-01-01,122,108,122,108,230
TIAWANACU,consulta externa,nuevas en menores de 5 anos,2005-01-01,61,55,61,55,116
TINGUIPAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,204,156,204,156,360
TIPUANI,consulta externa,nuevas en menores de 5 anos,2005-01-01,79,75,79,75,154
TIQUIPAYA,consulta externa,nuevas en menores de 5 anos,2005-01-01,391,347,391,347,738
TIRAQUE (CBBA),consulta externa,nuevas en menores de 5 anos,2005-01-01,843,739,843,739,1582
TITO YUPANQUI (PARQUIPUJIO),consulta externa,nuevas en menores de 5 anos,2005-01-01,18,11,18,11,29
TOCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,43,53,43,53,96
TODOS SANTOS,consulta externa,nuevas en menores de 5 anos,2005-01-01,6,3,6,3,9
TOLATA,consulta externa,nuevas en menores de 5 anos,2005-01-01,27,35,27,35,62
TOLEDO,consulta externa,nuevas en menores de 5 anos,2005-01-01,89,61,89,61,150
TOMAVE,consulta externa,nuevas en menores de 5 anos,2005-01-01,104,93,104,93,197
TOMINA,consulta externa,nuevas en menores de 5 anos,2005-01-01,178,185,178,185,363
TORO TORO,consulta externa,nuevas en menores de 5 anos,2005-01-01,154,139,154,139,293
TOTORA(CBBA),consulta externa,nuevas en menores de 5 anos,2005-01-01,140,132,140,132,272
TOTORA(ORR),consulta externa,nuevas en menores de 5 anos,2005-01-01,44,55,44,55,99
TRIGAL,consulta externa,nuevas en menores de 5 anos,2005-01-01,21,27,21,27,48
TRINIDAD,consulta externa,nuevas en menores de 5 anos,2005-01-01,2378,1988,2378,1988,4366
TUPIZA,consulta externa,nuevas en menores de 5 anos,2005-01-01,1824,972,1824,972,2796
TURCO,consulta externa,nuevas en menores de 5 anos,2005-01-01,76,84,76,84,160
UMALA,consulta externa,nuevas en menores de 5 anos,2005-01-01,27,40,27,40,67
UNCIA,consulta externa,nuevas en menores de 5 anos,2005-01-01,581,496,581,496,1077
