municipality,group,variable,month,Nacidos muertos con peso menor a 2500 g.,TOTAL
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-01-01,1,1
PUERTO QUIJARRO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-01-01,0,0
AZURDUY,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-02-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-02-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-02-01,0,0
VIACHA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-02-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-02-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-03-01,1,1
QUIABAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-03-01,0,0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-03-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-04-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-04-01,1,1
