municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
ACHOCALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,12,12
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
CHARAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
CHARAÑA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,4,4
COCAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,7,7
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,18,18
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,5,5
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,4,4
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
HUACARETA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
HUANUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
HUARINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
LORETO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
MACHARETI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,3,3
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,3,3
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,4,4
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
PASORAPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,9,9
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,9,9
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
SABAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,11,11
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,4,4
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,4,4
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,4,4
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,0,0
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,5,5
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,3,3
TARIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,15,15
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,4,4
TOTORA(ORR),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
UMALA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,4,4
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,9,9
VINTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,5,5
VITICHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,1,1
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,4,4
YAPACANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,3,3
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-01-01,2,2
ALTO BENI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,8,8
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
BOLIVAR,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,5,5
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
CAJUATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,5,5
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
CHOQUE COTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,6,6
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,12,12
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
CORO CORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,3,3
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,7,7
ESCOMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
GUANAY,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
HUARINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
HUMANATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,4,4
