municipality,group,variable,month,Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,viviendas evaluadas,2023-01-01,211,211
AIQUILE,chagas viviendas,viviendas evaluadas,2023-01-01,291,291
ANZALDO,chagas viviendas,viviendas evaluadas,2023-01-01,234,234
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2023-01-01,121,121
ARANI,chagas viviendas,viviendas evaluadas,2023-01-01,281,281
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2023-01-01,91,91
CAPINOTA,chagas viviendas,viviendas evaluadas,2023-01-01,295,295
CLIZA,chagas viviendas,viviendas evaluadas,2023-01-01,196,196
COCHABAMBA,chagas viviendas,viviendas evaluadas,2023-01-01,818,818
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2023-01-01,150,150
CULPINA,chagas viviendas,viviendas evaluadas,2023-01-01,118,118
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2023-01-01,194,194
ICLA,chagas viviendas,viviendas evaluadas,2023-01-01,77,77
IRUPANA (VILLA DE LANZA),chagas viviendas,viviendas evaluadas,2023-01-01,156,156
MIZQUE,chagas viviendas,viviendas evaluadas,2023-01-01,408,408
OMEREQUE,chagas viviendas,viviendas evaluadas,2023-01-01,134,134
PADILLA,chagas viviendas,viviendas evaluadas,2023-01-01,210,210
PALCA,chagas viviendas,viviendas evaluadas,2023-01-01,261,261
PASORAPA,chagas viviendas,viviendas evaluadas,2023-01-01,44,44
POCONA,chagas viviendas,viviendas evaluadas,2023-01-01,59,59
POJO (CBBA),chagas viviendas,viviendas evaluadas,2023-01-01,32,32
PUNA,chagas viviendas,viviendas evaluadas,2023-01-01,253,253
PUNATA,chagas viviendas,viviendas evaluadas,2023-01-01,517,517
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2023-01-01,12,12
SACABA,chagas viviendas,viviendas evaluadas,2023-01-01,970,970
SAIPINA,chagas viviendas,viviendas evaluadas,2023-01-01,82,82
SAN BENITO,chagas viviendas,viviendas evaluadas,2023-01-01,102,102
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2023-01-01,127,127
SAN LUCAS,chagas viviendas,viviendas evaluadas,2023-01-01,86,86
TACACHI,chagas viviendas,viviendas evaluadas,2023-01-01,102,102
TACOBAMBA,chagas viviendas,viviendas evaluadas,2023-01-01,76,76
TAPACARI,chagas viviendas,viviendas evaluadas,2023-01-01,161,161
