municipality,group,variable,month,Viviendas Roceadas,TOTAL
ACACIO,chagas viviendas,viviendas roceadas,2023-01-01,3,3
AIQUILE,chagas viviendas,viviendas roceadas,2023-01-01,1,1
ANZALDO,chagas viviendas,viviendas roceadas,2023-01-01,7,7
ARAMPAMPA,chagas viviendas,viviendas roceadas,2023-01-01,1,1
ARANI,chagas viviendas,viviendas roceadas,2023-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2023-01-01,8,8
CAPINOTA,chagas viviendas,viviendas roceadas,2023-01-01,6,6
COCHABAMBA,chagas viviendas,viviendas roceadas,2023-01-01,36,36
CULPINA,chagas viviendas,viviendas roceadas,2023-01-01,2,2
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2023-01-01,3,3
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas roceadas,2023-01-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas roceadas,2023-01-01,8,8
ICLA,chagas viviendas,viviendas roceadas,2023-01-01,6,6
MIZQUE,chagas viviendas,viviendas roceadas,2023-01-01,17,17
PALCA,chagas viviendas,viviendas roceadas,2023-01-01,6,6
PUNATA,chagas viviendas,viviendas roceadas,2023-01-01,6,6
RAQAYPAMPA(ETA),chagas viviendas,viviendas roceadas,2023-01-01,5,5
SACABA,chagas viviendas,viviendas roceadas,2023-01-01,2,2
SAIPINA,chagas viviendas,viviendas roceadas,2023-01-01,13,13
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2023-01-01,9,9
SIPE SIPE,chagas viviendas,viviendas roceadas,2023-01-01,10,10
TAPACARI,chagas viviendas,viviendas roceadas,2023-01-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2023-01-01,6,6
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2023-01-01,2,2
VALLEGRANDE,chagas viviendas,viviendas roceadas,2023-01-01,1,1
VILLA MONTES,chagas viviendas,viviendas roceadas,2023-01-01,3,3
VILLA RIVERO,chagas viviendas,viviendas roceadas,2023-01-01,2,2
VINTO,chagas viviendas,viviendas roceadas,2023-01-01,1,1
VITICHI,chagas viviendas,viviendas roceadas,2023-01-01,1,1
ARANI,chagas viviendas,viviendas roceadas,2023-02-01,4,4
ARBIETO,chagas viviendas,viviendas roceadas,2023-02-01,6,6
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2023-02-01,3,3
CAPINOTA,chagas viviendas,viviendas roceadas,2023-02-01,29,29
CLIZA,chagas viviendas,viviendas roceadas,2023-02-01,5,5
COCHABAMBA,chagas viviendas,viviendas roceadas,2023-02-01,25,25
COTAGAITA,chagas viviendas,viviendas roceadas,2023-02-01,2,2
ENTRE RIOS TRJ,chagas viviendas,viviendas roceadas,2023-02-01,5,5
OCURI,chagas viviendas,viviendas roceadas,2023-02-01,3,3
OMEREQUE,chagas viviendas,viviendas roceadas,2023-02-01,1,1
POJO (CBBA),chagas viviendas,viviendas roceadas,2023-02-01,5,5
PUCARA,chagas viviendas,viviendas roceadas,2023-02-01,3,3
PUNATA,chagas viviendas,viviendas roceadas,2023-02-01,10,10
QUILLACOLLO,chagas viviendas,viviendas roceadas,2023-02-01,9,9
SACABA,chagas viviendas,viviendas roceadas,2023-02-01,4,4
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2023-02-01,3,3
SANTIVAÑES,chagas viviendas,viviendas roceadas,2023-02-01,2,2
SAPAHAQUI,chagas viviendas,viviendas roceadas,2023-02-01,1,1
SIPE SIPE,chagas viviendas,viviendas roceadas,2023-02-01,2,2
TACACHI,chagas viviendas,viviendas roceadas,2023-02-01,4,4
TACOBAMBA,chagas viviendas,viviendas roceadas,2023-02-01,14,14
TARIJA,chagas viviendas,viviendas roceadas,2023-02-01,10,10
TORO TORO,chagas viviendas,viviendas roceadas,2023-02-01,6,6
TUPIZA,chagas viviendas,viviendas roceadas,2023-02-01,10,10
VILLA RIVERO,chagas viviendas,viviendas roceadas,2023-02-01,3,3
VINTO,chagas viviendas,viviendas roceadas,2023-02-01,2,2
YOTALA,chagas viviendas,viviendas roceadas,2023-02-01,13,13
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2023-02-01,4,4
AIQUILE,chagas viviendas,viviendas roceadas,2023-03-01,30,30
ARANI,chagas viviendas,viviendas roceadas,2023-03-01,2,2
ARBIETO,chagas viviendas,viviendas roceadas,2023-03-01,20,20
ARQUE,chagas viviendas,viviendas roceadas,2023-03-01,16,16
AZURDUY,chagas viviendas,viviendas roceadas,2023-03-01,6,6
BETANZOS,chagas viviendas,viviendas roceadas,2023-03-01,105,105
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2023-03-01,3,3
CAPINOTA,chagas viviendas,viviendas roceadas,2023-03-01,3,3
CKOCHAS,chagas viviendas,viviendas roceadas,2023-03-01,13,13
CLIZA,chagas viviendas,viviendas roceadas,2023-03-01,4,4
COCHABAMBA,chagas viviendas,viviendas roceadas,2023-03-01,46,46
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2023-03-01,5,5
COTAGAITA,chagas viviendas,viviendas roceadas,2023-03-01,15,15
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2023-03-01,2,2
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2023-03-01,7,7
EL TORNO,chagas viviendas,viviendas roceadas,2023-03-01,4,4
HUACARETA,chagas viviendas,viviendas roceadas,2023-03-01,331,331
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas roceadas,2023-03-01,3,3
ICLA,chagas viviendas,viviendas roceadas,2023-03-01,16,16
IRUPANA (VILLA DE LANZA),chagas viviendas,viviendas roceadas,2023-03-01,25,25
LAS CARRERAS,chagas viviendas,viviendas roceadas,2023-03-01,5,5
MECAPACA,chagas viviendas,viviendas roceadas,2023-03-01,3,3
MIZQUE,chagas viviendas,viviendas roceadas,2023-03-01,42,42
MOJOCOYA,chagas viviendas,viviendas roceadas,2023-03-01,3,3
OMEREQUE,chagas viviendas,viviendas roceadas,2023-03-01,9,9
PADILLA,chagas viviendas,viviendas roceadas,2023-03-01,2,2
PASORAPA,chagas viviendas,viviendas roceadas,2023-03-01,36,36
POJO (CBBA),chagas viviendas,viviendas roceadas,2023-03-01,2,2
PUCARA,chagas viviendas,viviendas roceadas,2023-03-01,2,2
PUNATA,chagas viviendas,viviendas roceadas,2023-03-01,12,12
RAVELO,chagas viviendas,viviendas roceadas,2023-03-01,7,7
SACABA,chagas viviendas,viviendas roceadas,2023-03-01,12,12
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2023-03-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2023-03-01,15,15
SANTIVAÑES,chagas viviendas,viviendas roceadas,2023-03-01,5,5
SICAYA,chagas viviendas,viviendas roceadas,2023-03-01,2,2
SIPE SIPE,chagas viviendas,viviendas roceadas,2023-03-01,10,10
TACACHI,chagas viviendas,viviendas roceadas,2023-03-01,5,5
TARIJA,chagas viviendas,viviendas roceadas,2023-03-01,4,4
TIQUIPAYA,chagas viviendas,viviendas roceadas,2023-03-01,2,2
TORO TORO,chagas viviendas,viviendas roceadas,2023-03-01,3,3
TUPIZA,chagas viviendas,viviendas roceadas,2023-03-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2023-03-01,4,4
VILA VILA,chagas viviendas,viviendas roceadas,2023-03-01,6,6
VINTO,chagas viviendas,viviendas roceadas,2023-03-01,10,10
VITICHI,chagas viviendas,viviendas roceadas,2023-03-01,5,5
YOTALA,chagas viviendas,viviendas roceadas,2023-03-01,3,3
AIQUILE,chagas viviendas,viviendas roceadas,2023-04-01,43,43
ANZALDO,chagas viviendas,viviendas roceadas,2023-04-01,13,13
ARANI,chagas viviendas,viviendas roceadas,2023-04-01,1,1
ARBIETO,chagas viviendas,viviendas roceadas,2023-04-01,18,18
ARQUE,chagas viviendas,viviendas roceadas,2023-04-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2023-04-01,8,8
BETANZOS,chagas viviendas,viviendas roceadas,2023-04-01,29,29
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2023-04-01,1,1
CAMARGO,chagas viviendas,viviendas roceadas,2023-04-01,9,9
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2023-04-01,2,2
CAPINOTA,chagas viviendas,viviendas roceadas,2023-04-01,78,78
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas roceadas,2023-04-01,36,36
CLIZA,chagas viviendas,viviendas roceadas,2023-04-01,7,7
COCHABAMBA,chagas viviendas,viviendas roceadas,2023-04-01,38,38
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2023-04-01,4,4
CORIPATA,chagas viviendas,viviendas roceadas,2023-04-01,661,661
COTAGAITA,chagas viviendas,viviendas roceadas,2023-04-01,2,2
CULPINA,chagas viviendas,viviendas roceadas,2023-04-01,41,41
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2023-04-01,17,17
EL TORNO,chagas viviendas,viviendas roceadas,2023-04-01,4,4
HUACARETA,chagas viviendas,viviendas roceadas,2023-04-01,43,43
ICLA,chagas viviendas,viviendas roceadas,2023-04-01,11,11
LAS CARRERAS,chagas viviendas,viviendas roceadas,2023-04-01,2,2
MIZQUE,chagas viviendas,viviendas roceadas,2023-04-01,16,16
OMEREQUE,chagas viviendas,viviendas roceadas,2023-04-01,2,2
PADCAYA,chagas viviendas,viviendas roceadas,2023-04-01,1,1
PASORAPA,chagas viviendas,viviendas roceadas,2023-04-01,8,8
POJO (CBBA),chagas viviendas,viviendas roceadas,2023-04-01,2,2
PUNA,chagas viviendas,viviendas roceadas,2023-04-01,8,8
PUNATA,chagas viviendas,viviendas roceadas,2023-04-01,6,6
