municipality,group,variable,month,Viviendas Positivas,TOTAL
ACACIO,chagas viviendas,viviendas positivas,2023-01-01,3,3
ANZALDO,chagas viviendas,viviendas positivas,2023-01-01,1,1
ARAMPAMPA,chagas viviendas,viviendas positivas,2023-01-01,1,1
ARANI,chagas viviendas,viviendas positivas,2023-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2023-01-01,9,9
CAPINOTA,chagas viviendas,viviendas positivas,2023-01-01,1,1
CLIZA,chagas viviendas,viviendas positivas,2023-01-01,74,74
COCHABAMBA,chagas viviendas,viviendas positivas,2023-01-01,11,11
CULPINA,chagas viviendas,viviendas positivas,2023-01-01,2,2
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas positivas,2023-01-01,1,1
ICLA,chagas viviendas,viviendas positivas,2023-01-01,1,1
MIZQUE,chagas viviendas,viviendas positivas,2023-01-01,3,3
OMEREQUE,chagas viviendas,viviendas positivas,2023-01-01,1,1
PALCA,chagas viviendas,viviendas positivas,2023-01-01,5,5
PUNATA,chagas viviendas,viviendas positivas,2023-01-01,6,6
SAIPINA,chagas viviendas,viviendas positivas,2023-01-01,13,13
TACACHI,chagas viviendas,viviendas positivas,2023-01-01,2,2
TACOBAMBA,chagas viviendas,viviendas positivas,2023-01-01,4,4
TORO TORO,chagas viviendas,viviendas positivas,2023-01-01,6,6
VILLA RIVERO,chagas viviendas,viviendas positivas,2023-01-01,4,4
VITICHI,chagas viviendas,viviendas positivas,2023-01-01,1,1
ARANI,chagas viviendas,viviendas positivas,2023-02-01,4,4
ARBIETO,chagas viviendas,viviendas positivas,2023-02-01,8,8
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2023-02-01,5,5
CAPINOTA,chagas viviendas,viviendas positivas,2023-02-01,7,7
CLIZA,chagas viviendas,viviendas positivas,2023-02-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2023-02-01,2,2
COTAGAITA,chagas viviendas,viviendas positivas,2023-02-01,3,3
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2023-02-01,2,2
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2023-02-01,3,3
LAS CARRERAS,chagas viviendas,viviendas positivas,2023-02-01,2,2
OCURI,chagas viviendas,viviendas positivas,2023-02-01,1,1
PASORAPA,chagas viviendas,viviendas positivas,2023-02-01,21,21
POJO (CBBA),chagas viviendas,viviendas positivas,2023-02-01,4,4
PUCARA,chagas viviendas,viviendas positivas,2023-02-01,4,4
PUNATA,chagas viviendas,viviendas positivas,2023-02-01,11,11
SACABA,chagas viviendas,viviendas positivas,2023-02-01,1,1
SAPAHAQUI,chagas viviendas,viviendas positivas,2023-02-01,1,1
SICAYA,chagas viviendas,viviendas positivas,2023-02-01,2,2
SIPE SIPE,chagas viviendas,viviendas positivas,2023-02-01,2,2
TACACHI,chagas viviendas,viviendas positivas,2023-02-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2023-02-01,6,6
TUPIZA,chagas viviendas,viviendas positivas,2023-02-01,9,9
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2023-02-01,1,1
VILLA RIVERO,chagas viviendas,viviendas positivas,2023-02-01,1,1
YOTALA,chagas viviendas,viviendas positivas,2023-02-01,2,2
ZUDAÑEZ,chagas viviendas,viviendas positivas,2023-02-01,4,4
AIQUILE,chagas viviendas,viviendas positivas,2023-03-01,3,3
ANZALDO,chagas viviendas,viviendas positivas,2023-03-01,49,49
ARANI,chagas viviendas,viviendas positivas,2023-03-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2023-03-01,15,15
AZURDUY,chagas viviendas,viviendas positivas,2023-03-01,2,2
BETANZOS,chagas viviendas,viviendas positivas,2023-03-01,4,4
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2023-03-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2023-03-01,9,9
CKOCHAS,chagas viviendas,viviendas positivas,2023-03-01,6,6
COCHABAMBA,chagas viviendas,viviendas positivas,2023-03-01,4,4
COTAGAITA,chagas viviendas,viviendas positivas,2023-03-01,17,17
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2023-03-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2023-03-01,2,2
EL TORNO,chagas viviendas,viviendas positivas,2023-03-01,4,4
HUACARETA,chagas viviendas,viviendas positivas,2023-03-01,2,2
ICLA,chagas viviendas,viviendas positivas,2023-03-01,1,1
LAS CARRERAS,chagas viviendas,viviendas positivas,2023-03-01,4,4
MECAPACA,chagas viviendas,viviendas positivas,2023-03-01,1,1
MIZQUE,chagas viviendas,viviendas positivas,2023-03-01,4,4
OMEREQUE,chagas viviendas,viviendas positivas,2023-03-01,4,4
POJO (CBBA),chagas viviendas,viviendas positivas,2023-03-01,1,1
PUCARA,chagas viviendas,viviendas positivas,2023-03-01,2,2
PUNATA,chagas viviendas,viviendas positivas,2023-03-01,12,12
RAVELO,chagas viviendas,viviendas positivas,2023-03-01,3,3
SACABA,chagas viviendas,viviendas positivas,2023-03-01,5,5
SAIPINA,chagas viviendas,viviendas positivas,2023-03-01,5,5
SICAYA,chagas viviendas,viviendas positivas,2023-03-01,3,3
SIPE SIPE,chagas viviendas,viviendas positivas,2023-03-01,2,2
TACACHI,chagas viviendas,viviendas positivas,2023-03-01,5,5
TIQUIPAYA,chagas viviendas,viviendas positivas,2023-03-01,2,2
TORO TORO,chagas viviendas,viviendas positivas,2023-03-01,3,3
TUPIZA,chagas viviendas,viviendas positivas,2023-03-01,2,2
VILA VILA,chagas viviendas,viviendas positivas,2023-03-01,6,6
VILLA RIVERO,chagas viviendas,viviendas positivas,2023-03-01,4,4
VITICHI,chagas viviendas,viviendas positivas,2023-03-01,5,5
YOTALA,chagas viviendas,viviendas positivas,2023-03-01,6,6
AIQUILE,chagas viviendas,viviendas positivas,2023-04-01,11,11
ANZALDO,chagas viviendas,viviendas positivas,2023-04-01,3,3
ARAMPAMPA,chagas viviendas,viviendas positivas,2023-04-01,3,3
ARANI,chagas viviendas,viviendas positivas,2023-04-01,1,1
ARBIETO,chagas viviendas,viviendas positivas,2023-04-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2023-04-01,13,13
BETANZOS,chagas viviendas,viviendas positivas,2023-04-01,29,29
CAMARGO,chagas viviendas,viviendas positivas,2023-04-01,3,3
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2023-04-01,5,5
CAPINOTA,chagas viviendas,viviendas positivas,2023-04-01,8,8
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas positivas,2023-04-01,12,12
CKOCHAS,chagas viviendas,viviendas positivas,2023-04-01,2,2
CLIZA,chagas viviendas,viviendas positivas,2023-04-01,4,4
COCHABAMBA,chagas viviendas,viviendas positivas,2023-04-01,4,4
COLCAPIRHUA,chagas viviendas,viviendas positivas,2023-04-01,4,4
COTAGAITA,chagas viviendas,viviendas positivas,2023-04-01,2,2
CULPINA,chagas viviendas,viviendas positivas,2023-04-01,8,8
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2023-04-01,3,3
EL TORNO,chagas viviendas,viviendas positivas,2023-04-01,2,2
LAS CARRERAS,chagas viviendas,viviendas positivas,2023-04-01,3,3
MIZQUE,chagas viviendas,viviendas positivas,2023-04-01,1,1
OMEREQUE,chagas viviendas,viviendas positivas,2023-04-01,2,2
PASORAPA,chagas viviendas,viviendas positivas,2023-04-01,2,2
POJO (CBBA),chagas viviendas,viviendas positivas,2023-04-01,3,3
PUNA,chagas viviendas,viviendas positivas,2023-04-01,8,8
PUNATA,chagas viviendas,viviendas positivas,2023-04-01,6,6
QUILLACOLLO,chagas viviendas,viviendas positivas,2023-04-01,1,1
RAVELO,chagas viviendas,viviendas positivas,2023-04-01,9,9
SACABA,chagas viviendas,viviendas positivas,2023-04-01,1,1
SAIPINA,chagas viviendas,viviendas positivas,2023-04-01,9,9
SAN BENITO,chagas viviendas,viviendas positivas,2023-04-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2023-04-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2023-04-01,25,25
SANTIVAÑES,chagas viviendas,viviendas positivas,2023-04-01,3,3
SIPE SIPE,chagas viviendas,viviendas positivas,2023-04-01,9,9
TACOBAMBA,chagas viviendas,viviendas positivas,2023-04-01,494,494
TARATA,chagas viviendas,viviendas positivas,2023-04-01,1,1
TARIJA,chagas viviendas,viviendas positivas,2023-04-01,2,2
TIQUIPAYA,chagas viviendas,viviendas positivas,2023-04-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2023-04-01,6,6
TOTORA(CBBA),chagas viviendas,viviendas positivas,2023-04-01,4,4
TUPIZA,chagas viviendas,viviendas positivas,2023-04-01,6,6
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2023-04-01,2,2
VILA VILA,chagas viviendas,viviendas positivas,2023-04-01,3,3
VILLA RIVERO,chagas viviendas,viviendas positivas,2023-04-01,2,2
VILLA SERRANO,chagas viviendas,viviendas positivas,2023-04-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2023-04-01,3,3
YOTALA,chagas viviendas,viviendas positivas,2023-04-01,3,3
ACACIO,chagas viviendas,viviendas positivas,2023-05-01,2,2
AIQUILE,chagas viviendas,viviendas positivas,2023-05-01,11,11
ANZALDO,chagas viviendas,viviendas positivas,2023-05-01,10,10
ARANI,chagas viviendas,viviendas positivas,2023-05-01,6,6
ARBIETO,chagas viviendas,viviendas positivas,2023-05-01,9,9
ARQUE,chagas viviendas,viviendas positivas,2023-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2023-05-01,14,14
BETANZOS,chagas viviendas,viviendas positivas,2023-05-01,18,18
"CAIZA ""D""",chagas viviendas,viviendas positivas,2023-05-01,3,3
CAMARGO,chagas viviendas,viviendas positivas,2023-05-01,10,10
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2023-05-01,3,3
CAPINOTA,chagas viviendas,viviendas positivas,2023-05-01,7,7
CARAPARI,chagas viviendas,viviendas positivas,2023-05-01,3,3
CKOCHAS,chagas viviendas,viviendas positivas,2023-05-01,6,6
CLIZA,chagas viviendas,viviendas positivas,2023-05-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2023-05-01,16,16
COLCAPIRHUA,chagas viviendas,viviendas positivas,2023-05-01,8,8
CULPINA,chagas viviendas,viviendas positivas,2023-05-01,13,13
EL TORNO,chagas viviendas,viviendas positivas,2023-05-01,7,7
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2023-05-01,10,10
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2023-05-01,25,25
ICLA,chagas viviendas,viviendas positivas,2023-05-01,2,2
LURIBAY,chagas viviendas,viviendas positivas,2023-05-01,14,14
MIZQUE,chagas viviendas,viviendas positivas,2023-05-01,3,3
OMEREQUE,chagas viviendas,viviendas positivas,2023-05-01,11,11
PASORAPA,chagas viviendas,viviendas positivas,2023-05-01,2,2
POJO (CBBA),chagas viviendas,viviendas positivas,2023-05-01,3,3
PRESTO,chagas viviendas,viviendas positivas,2023-05-01,6,6
PUCARA,chagas viviendas,viviendas positivas,2023-05-01,3,3
PUNA,chagas viviendas,viviendas positivas,2023-05-01,6,6
PUNATA,chagas viviendas,viviendas positivas,2023-05-01,3,3
RAVELO,chagas viviendas,viviendas positivas,2023-05-01,10,10
SACABA,chagas viviendas,viviendas positivas,2023-05-01,1,1
SAIPINA,chagas viviendas,viviendas positivas,2023-05-01,6,6
SAN BENITO,chagas viviendas,viviendas positivas,2023-05-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2023-05-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2023-05-01,2,2
SANTIVAÑES,chagas viviendas,viviendas positivas,2023-05-01,1,1
SICAYA,chagas viviendas,viviendas positivas,2023-05-01,1,1
SIPE SIPE,chagas viviendas,viviendas positivas,2023-05-01,29,29
SUCRE,chagas viviendas,viviendas positivas,2023-05-01,23,23
TACOBAMBA,chagas viviendas,viviendas positivas,2023-05-01,11,11
TAPACARI,chagas viviendas,viviendas positivas,2023-05-01,1,1
TARATA,chagas viviendas,viviendas positivas,2023-05-01,2,2
TARIJA,chagas viviendas,viviendas positivas,2023-05-01,10,10
TOMINA,chagas viviendas,viviendas positivas,2023-05-01,6,6
TORO TORO,chagas viviendas,viviendas positivas,2023-05-01,14,14
TOTORA(CBBA),chagas viviendas,viviendas positivas,2023-05-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2023-05-01,8,8
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2023-05-01,1,1
VILA VILA,chagas viviendas,viviendas positivas,2023-05-01,3,3
VILLA MONTES,chagas viviendas,viviendas positivas,2023-05-01,10,10
VILLA RIVERO,chagas viviendas,viviendas positivas,2023-05-01,6,6
YACUIBA,chagas viviendas,viviendas positivas,2023-05-01,38,38
YOTALA,chagas viviendas,viviendas positivas,2023-05-01,1,1
ACACIO,chagas viviendas,viviendas positivas,2023-06-01,3,3
AIQUILE,chagas viviendas,viviendas positivas,2023-06-01,11,11
ANZALDO,chagas viviendas,viviendas positivas,2023-06-01,11,11
ARANI,chagas viviendas,viviendas positivas,2023-06-01,8,8
ARBIETO,chagas viviendas,viviendas positivas,2023-06-01,2,2
BETANZOS,chagas viviendas,viviendas positivas,2023-06-01,23,23
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2023-06-01,3,3
CAPINOTA,chagas viviendas,viviendas positivas,2023-06-01,5,5
CARAPARI,chagas viviendas,viviendas positivas,2023-06-01,6,6
CKOCHAS,chagas viviendas,viviendas positivas,2023-06-01,3,3
CLIZA,chagas viviendas,viviendas positivas,2023-06-01,4,4
COCHABAMBA,chagas viviendas,viviendas positivas,2023-06-01,2,2
