,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,3,88,67,90,70,160
ACHACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,48,39,145,124,193,163,356
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,15,18,14,17,29,35,64
AIQUILE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,22,15,90,75,112,90,202
ALALAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,1,3,4,3,5,8
ALCALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,75,83,0,0,75,83,158
ALTO BENI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,1,66,45,67,46,113
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,2,48,47,49,49,98
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,12,7,65,59,77,66,143
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,14,7,5,7,19,14,33
ANZALDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,17,19,8,7,25,26,51
APOLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,7,12,131,144,138,156,294
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,1,25,28,29,29,58
ARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,9,11,54,55,63,66,129
