,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,6,14,43,43,49,57,106
ACHACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,46,44,116,127,162,171,333
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,35,17,27,13,62,30,92
AIQUILE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,16,16,66,85,82,101,183
ALALAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,8,10,8,14,16,30
ALCALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,24,22,0,0,24,22,46
ALTO BENI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,7,63,32,68,39,107
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,3,4,48,40,51,44,95
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,6,24,20,26,26,52
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,3,14,13,18,16,34
ANZALDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,31,42,14,18,45,60,105
APOLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,11,9,90,89,101,98,199
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,1,20,22,20,23,43
ARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,21,10,60,46,81,56,137
