municipality,group,variable,month,Adultos(as) mayores de 60 años que reciben Complemento Nutricional,TOTAL
ACACIO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,615,615
ACHACACHI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,309,309
ACHOCALLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,679,679
AIQUILE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1432,1432
ALALAY,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,223,223
ALCALA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,6,6
ALTO BENI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,346,346
ANCORAIMES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,422,422
ANDAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,321,321
ANTEQUERA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,80,80
ANZALDO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,196,196
APOLO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,278,278
ARAMPAMPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,320,320
ARANI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,605,605
ARBIETO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,766,766
ARQUE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,454,454
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,54,54
ATOCHA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,189,189
AUCAPATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,83,83
AYATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,529,529
AYO AYO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,420,420
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1275,1275
BATALLAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,425,425
BELEN DE ANDAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,136,136
BELEN DE URMIRI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,164,164
BELLA FLOR,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,72,72
BERMEJO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,55,55
BETANZOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,2007,2007
BOLIVAR,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,412,412
BOLPEBRA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,37,37
BOYUIBE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,213,213
BUENA VISTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,320,320
CABEZAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,330,330
CAIROMA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,289,289
"CAIZA ""D""",micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,821,821
CAJUATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,47,47
CALACOTO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,384,384
CALAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,517,517
CAMARGO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,91,91
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,174,174
CAMIRI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,838,838
CAPINOTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,911,911
CAQUIAVIRI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,705,705
