municipality,group,variable,month,Mujeres embarazadas que reciben Alimento Complementario Nutri Mamá,TOTAL
ACACIO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,5,5
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,1,1
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,1,1
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,36,36
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,7,7
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,8,8
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,5,5
CARANAVI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,12,12
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,3,3
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,9,9
CHARAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,15,15
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,1,1
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,16,16
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,4,4
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,14,14
CUATRO CAÑADAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,157,157
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,1,1
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,80,80
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,5,5
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,7,7
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,35,35
LA PAZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,12,12
LAGUNILLAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,13,13
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,21,21
MOJINETE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,1,1
