municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
CHALLAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,48,48
CHAQUI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,9,9
CHARAGUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,45,45
CHARAÑA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
CHAYANTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,15,15
CHIMORE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,45,45
CHIPAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
CHOQUE COTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
CHUA COCANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,24,24
CHUMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,6,6
CKOCHAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,11,11
CLIZA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,30,30
COBIJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,62,62
COCAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,17,17
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,443,443
COIPASA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
COLCAPIRHUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,44,44
"COLCHA ""K""",micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,11,11
COLLANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,1,1
COLOMI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,34,34
COLPA BELGICA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,20,20
COLQUECHACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,37,37
COLQUENCHA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,12,12
COLQUIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,21,21
COMANCHE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
COMARAPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,21,21
CONCEPCION,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
COPACABANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,12,12
CORIPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,16,16
CORO CORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,9,9
COROICO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,16,16
CORQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
COTAGAITA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,25,25
COTOCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,108,108
CUATRO CAÑADAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,18,18
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,6,6
CUEVO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
CULPINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,20,20
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
CURVA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
DESAGUADERO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,6,6
EL ALTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,912,912
EL CHORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
EL PUENTE(STC),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,13,13
EL PUENTE(TJA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,6,6
EL TORNO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,77,77
EL VILLAR,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
ENTRE RIOS TRJ,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,27,27
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,65,65
ESCARA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
ESCOMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,7,7
EUCALIPTUS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,9,9
EUREKA (SANTOS MERCADO),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
EXALTACION,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
FERNANDEZ ALONSO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,21,21
FILADELFIA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,19,19
GAIOC JATUN AYLLU YURA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
GENERAL SAAVEDRA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,19,19
GIA-TIM,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,16,16
GUANAY,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,25,25
GUAQUI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
GUTIERREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
HUACARAJE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
HUACARETA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,12,12
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
HUANUNI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,22,22
HUARINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
HUATAJATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,1,1
HUAYLLAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
HUMANATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,6,6
ICHOCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,7,7
ICLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
INCAHUASI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,17,17
INGAVI (HUMAITA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
INQUISIVI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,13,13
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,28,28
IXIAMAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,12,12
JESUS DE MACHACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,18,18
LA ASUNTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,82,82
LA GUARDIA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,8,8
LA PAZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,660,660
LAGUNILLAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,12,12
LAJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,30,30
LAS CARRERAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
LICOMA PAMPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,6,6
LLALLAGUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,70,70
LLICA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
LURIBAY,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,13,13
MACHACAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
MACHARETI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
MAGDALENA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,18,18
MAIRANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,18,18
MALLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
MAPIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,32,32
MECAPACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,21,21
MINEROS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,28,28
MIZQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,47,47
MOCOMOCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,18,18
MOJOCOYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,9,9
MONTEAGUDO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,32,32
MONTERO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,195,195
MORO MORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,1,1
MOROCHATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
NAZACARA DE PACAJES,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
OCURI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,13,13
OKINAWA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
OMEREQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,7,7
ORURO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,389,389
