municipality,group,variable,month,Mujeres en periodo de lactancia que reciben Alimento Complementario Nutri Mamá,TOTAL
ACACIO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,1,1
ALALAY,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,32,32
ANCORAIMES,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,105,105
APOLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,16,16
ATOCHA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,23,23
CAMIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,17,17
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,7,7
CARIPUYO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,2,2
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,8,8
CHARAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,4,4
COCHABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,18,18
COLQUECHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,1,1
CUEVO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,1,1
EL ALTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,18,18
GUAYARAMERIN,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,21,21
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,7,7
ICHOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,35,35
LA PAZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,1040,1040
LAGUNILLAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,14,14
LLALLAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,6,6
MACHARETI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,3,3
MOJOCOYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,1,1
MONTEAGUDO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,58,58
OCURI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,1,1
PASORAPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,27,27
POCOATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,5,5
POCONA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,21,21
POJO (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,51,51
PORCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,109,109
SACABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,6,6
SACACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,4,4
SAN BORJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,3,3
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,38,38
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,53,53
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,31,31
SICAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,18,18
TARIJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,109,109
TINGUIPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,127,127
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,76,76
TOLATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,21,21
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,51,51
TUPIZA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,152,152
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,9,9
VINTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-01-01,791,791
ACACIO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,2,2
ACHACACHI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,39,39
ACHOCALLA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,85,85
ALALAY,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,27,27
