municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
COLOMI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,18,18
COLPA BELGICA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,6,6
COLQUECHACA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,28,28
COLQUENCHA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
COLQUIRI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,18,18
COMANCHE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
COMARAPA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,21,21
CONCEPCION,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,28,28
COPACABANA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,6,6
CORIPATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,17,17
CORO CORO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
COROICO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,14,14
CORQUE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
COTAGAITA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,11,11
COTOCA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,65,65
CUATRO CAÑADAS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,22,22
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
CUEVO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
CULPINA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,11,11
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
CURVA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
DESAGUADERO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
EL ALTO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,764,764
EL CHORO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
EL PUENTE(STC),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,6,6
EL PUENTE(TJA),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
EL TORNO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,45,45
EL VILLAR,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
ENTRE RIOS TRJ,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,33,33
ESCOMA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
EUCALIPTUS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
EXALTACION,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
FERNANDEZ ALONSO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
FILADELFIA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
GAIOC JATUN AYLLU YURA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
GENERAL SAAVEDRA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
GIA-TIM,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,14,14
GUANAY,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,13,13
GUAQUI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
GUAYARAMERIN,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,59,59
GUTIERREZ,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,7,7
HUACARAJE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
HUACARETA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
HUACHACALLA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
HUANUNI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,17,17
HUARINA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
HUATAJATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
HUAYLLAMARCA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
HUMANATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,9,9
ICHOCA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
ICLA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,10,10
INCAHUASI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,13,13
INGAVI (HUMAITA),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
INQUISIVI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,20,20
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
IXIAMAS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
JESUS DE MACHACA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
LA ASUNTA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,54,54
LA GUARDIA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,80,80
LA PAZ,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,653,653
LAGUNILLAS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
LAJA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
LAS CARRERAS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
LICOMA PAMPA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
LLALLAGUA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,60,60
LLICA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
LORETO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
LURIBAY,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,6,6
MACHACAMARCA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
MACHARETI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
MAIRANA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,16,16
MAPIRI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,13,13
MECAPACA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
MINEROS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,12,12
MIZQUE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,21,21
MOCOMOCO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,6,6
MOJOCOYA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
MONTEAGUDO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,15,15
MONTERO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,40,40
MOROCHATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,12,12
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
OCURI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,6,6
OKINAWA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
OMEREQUE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
ORURO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,374,374
PADCAYA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
PADILLA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
PAILON,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,35,35
PALCA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,11,11
PALOS BLANCOS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,30,30
PAMPA GRANDE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
PAPEL PAMPA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
PASORAPA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
PATACAMAYA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,27,27
PAZÑA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
PELECHUCO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
POCOATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,29,29
POCONA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,10,10
POJO (CBBA),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,11,11
POOPO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,6,6
PORCO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,12,12
POROMA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,11,11
PORONGO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
PORTACHUELO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,22,22
PORVENIR,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
POSTRER VALLE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
POTOSI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,43,43
PRESTO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
PUCARANI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,34,34
PUERTO ACOSTA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
PUERTO CARABUCO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,12,12
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
PUERTO PEREZ,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
PUERTO QUIJARRO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,18,18
PUERTO RICO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,32,32
PUERTO VILLARROEL,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,128,128
PUNA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,12,12
PUNATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,31,31
QUIABAYA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
QUILLACOLLO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,152,152
QUIME,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,11,11
RAVELO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
REYES,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,6,6
RIBERALTA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,238,238
ROBORE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,23,23
RURRENABAQUE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,9,9
SABAYA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
SACABA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,192,192
SACABAMBA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
SACACA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,15,15
SAIPINA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
SAMAIPATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
SAN AGUSTIN,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
SAN ANDRES,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,7,7
SAN BENITO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
SAN BORJA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,50,50
SAN BUENA VENTURA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,21,21
SAN CARLOS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,17,17
SAN IGNACIO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,7,7
SAN IGNACIO DE VELASCO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,93,93
SAN JAVIER(BNI),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
SAN JAVIER(STC),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,30,30
SAN JOAQUIN,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,25,25
SAN JULIAN,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
SAN LORENZO(PND),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
SAN LORENZO(TJA),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
SAN LUCAS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,29,29
SAN MATIAS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,17,17
SAN MIGUEL DE VELASCO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,14,14
SAN PEDRO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,32,32
SAN PEDRO DE CURAHUARA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,19,19
SAN RAFAEL,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
SAN RAMON BENI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
SAN RAMON SCZ,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
SANTA ANA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,21,21
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1368,1368
SANTA ROSA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,9,9
SANTA ROSA DEL SARA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
SANTIAGO DE CALLAPA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
SANTIAGO DE HUARI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
SANTIAGO DE HUATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
SANTIAGO DE MACHACA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,2,2
SANTIVAÑES,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,1,1
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,3,3
SAPAHAQUI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,6,6
SENA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,10,10
SHINAOTA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,35,35
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,15,15
SICAYA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,5,5
SIPE SIPE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,29,29
SOPACHUY,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
SORACACHI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,9,9
SORATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,12,12
SUCRE,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,381,381
TACACOMA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
TACOBAMBA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,10,10
TACOPAYA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
TAPACARI,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,19,19
TARABUCO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,8,8
TARACO,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
TARATA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,4,4
TARIJA,micronutrientes y lactancia materna,ninas(os) rn con lactancia materna inmediata,2024-01-01,224,224
