municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,3,3
ACHACACHI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,37,37
ACHOCALLA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,33,33
AIQUILE,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,14,14
ALALAY,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,1,1
ALCALA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,3,3
ALTO BENI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,11,11
ANCORAIMES,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,6,6
ANTEQUERA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,4,4
ANZALDO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,5,5
APOLO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,28,28
ARAMPAMPA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,1,1
ARANI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,13,13
ARBIETO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,23,23
ARQUE,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,10,10
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,3,3
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,13,13
AUCAPATA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,5,5
AYATA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,11,11
AYO AYO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,19,19
AZURDUY,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,19,19
BATALLAS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completa de hierro,2024-01-01,15,15
