municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
AYO AYO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,10,10
AZURDUY,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,18,18
BATALLAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,14,14
BAURES,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,10,10
BELEN DE ANDAMARCA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
BELEN DE URMIRI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
BELLA FLOR,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
BERMEJO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,16,16
BETANZOS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,26,26
BOLIVAR,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
BOLPEBRA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
BOYUIBE,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
BUENA VISTA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,10,10
CABEZAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,28,28
CAIROMA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,11,11
"CAIZA ""D""",micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
CAJUATA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
CALACOTO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
CALAMARCA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
CAMARGO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,15,15
CAMIRI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,8,8
CAPINOTA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,47,47
CAQUIAVIRI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
CARACOLLO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,14,14
CARANAVI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,16,16
CARAPARI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,9,9
CARIPUYO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,9,9
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
CHALLAPATA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,34,34
CHAQUI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
CHARAGUA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
CHARAÑA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
CHAYANTA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,11,11
CHIMORE,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
CHIPAYA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
CHOQUE COTA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,13,13
CHUMA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
CKOCHAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,15,15
CLIZA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
COBIJA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,29,29
COCAPATA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,27,27
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,163,163
COLCAPIRHUA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,18,18
"COLCHA ""K""",micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,10,10
COLOMI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,16,16
COLQUECHACA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,16,16
COLQUENCHA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
COLQUIRI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,9,9
COMANCHE,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
COMARAPA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,9,9
COMBAYA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
CONCEPCION,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,31,31
COPACABANA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
CORIPATA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
CORO CORO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
COROICO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,13,13
CORQUE,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,9,9
COTAGAITA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,11,11
COTOCA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
CUATRO CAÑADAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,18,18
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
CUEVO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
CULPINA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,17,17
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
DESAGUADERO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
EL ALTO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,604,604
EL CHORO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
EL PUENTE(STC),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,11,11
EL PUENTE(TJA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
EL TORNO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,28,28
EL VILLAR,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
ENTRE RIOS TRJ,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
ESCOMA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
EUCALIPTUS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
EXALTACION,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
FERNANDEZ ALONSO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
FILADELFIA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
GENERAL SAAVEDRA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
GIA-TIM,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
GUANAY,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,23,23
GUAQUI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,8,8
GUAYARAMERIN,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,34,34
HUACARAJE,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,29,29
HUACARETA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
HUANUNI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,37,37
HUAYLLAMARCA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
ICLA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
INCAHUASI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,10,10
INGAVI (HUMAITA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
INQUISIVI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
IXIAMAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
JESUS DE MACHACA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
LA ASUNTA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,43,43
LA GUARDIA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
LA PAZ,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,458,458
LAGUNILLAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,20,20
LAJA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,23,23
LAS CARRERAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
LICOMA PAMPA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
LLALLAGUA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,61,61
LLICA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
LORETO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
