municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,2,2
ACHACACHI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,44,44
ACHOCALLA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,14,14
AIQUILE,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,26,26
ALALAY,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,1,1
ALCALA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,1,1
ALTO BENI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,8,8
ANCORAIMES,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,6,6
ANDAMARCA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,3,3
ANZALDO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,4,4
APOLO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,20,20
ARAMPAMPA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,2,2
ARANI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,4,4
ARBIETO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,8,8
ARQUE,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,11,11
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,4,4
ATOCHA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,9,9
AUCAPATA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,5,5
AYATA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,7,7
AYO AYO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,17,17
AZURDUY,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,8,8
BATALLAS,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,17,17
BAURES,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,2,2
BERMEJO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,37,37
BETANZOS,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,19,19
BOLIVAR,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,6,6
BOYUIBE,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,1,1
BUENA VISTA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,3,3
CABEZAS,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,12,12
CAIROMA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,7,7
"CAIZA ""D""",micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,4,4
CAJUATA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,7,7
CALACOTO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,5,5
CALAMARCA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,5,5
CAMARGO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,20,20
CAMIRI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,41,41
CAPINOTA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,17,17
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,7,7
CARACOLLO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,12,12
CARANAVI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,78,78
CARAPARI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,7,7
CARIPUYO,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,4,4
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,8,8
CATACORA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,2,2
CHACARILLA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,2,2
CHALLAPATA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,38,38
CHAQUI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,5,5
CHARAGUA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,39,39
CHARAÑA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,3,3
CHAYANTA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,17,17
CHIMORE,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,25,25
CHIPAYA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,3,3
CHUA COCANI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,19,19
CHUMA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,10,10
CKOCHAS,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,23,23
CLIZA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,23,23
COBIJA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,110,110
COCAPATA,micronutrientes y lactancia materna,mujeres puerperas con dosis completa de hierro,2024-01-01,19,19
