municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
ACHACACHI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,40,40
ACHOCALLA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,45,45
AIQUILE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,22,22
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
ALCALA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
ALTO BENI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,8,8
ANCORAIMES,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
ANDAMARCA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
ANZALDO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
APOLO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,32,32
ARAMPAMPA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
ARANI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,12,12
ARBIETO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,20,20
ARQUE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,12,12
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,26,26
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
AUCAPATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
AYATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,8,8
AYO AYO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,28,28
AZURDUY,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
BATALLAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,18,18
BAURES,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
BELLA FLOR,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
BERMEJO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,30,30
BETANZOS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,35,35
BOLIVAR,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
BOYUIBE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,18,18
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,35,35
CAIROMA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,10,10
"CAIZA ""D""",micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,13,13
CAJUATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,20,20
