municipality,group,variable,month,Niñas(os) de 2 años a menores de 5 años con 1ra dosis vitamina A,TOTAL
ACACIO,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,13,13
ACHACACHI,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,59,59
ACHOCALLA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,77,77
AIQUILE,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,37,37
ALALAY,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,7,7
ALCALA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,7,7
ALTO BENI,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,28,28
ANCORAIMES,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,19,19
ANDAMARCA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,14,14
ANTEQUERA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,8,8
ANZALDO,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,8,8
APOLO,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,37,37
ARAMPAMPA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,13,13
ARANI,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,19,19
ARBIETO,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,56,56
ARQUE,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,33,33
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,100,100
ATOCHA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,28,28
AUCAPATA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,16,16
AYATA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,26,26
AYO AYO,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 1ra dosis vitamina a,2024-01-01,12,12
